table_id,category,product_name,value,source_id
0003015256,生産金額（百万円）,　　　　その他の固定抵抗器,11668.0,estat-manufacturing
0003015256,生産金額（百万円）,　　固定コンデンサ,487497.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　アルミ電解コンデンサ,150732.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　タンタル電解コンデンサ,51526.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　セラミックコンデンサ,233951.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　有機フィルムコンデンサ,10665.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　金属化有機フィルムコンデンサ,22985.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　その他の固定コンデンサ,17638.0,estat-manufacturing
0003015256,生産金額（百万円）,　　トランス（コイルを含む）,79472.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　鉄芯トランス,15034.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　フェライトコアトランス（高周波電源回路用のもの）,9578.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　インダクタ,24507.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　その他のトランス,30353.0,estat-manufacturing
0003015256,生産金額（百万円）,　　機能部品,166446.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　水晶振動子,45856.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　フィルタ,46899.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　複合部品,73691.0,estat-manufacturing
0003015256,生産金額（百万円）,　接続部品,555087.0,estat-manufacturing
0003015256,生産金額（百万円）,　　スイッチ(通信･電子装置用に限る),90186.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　キーボードスイッチ,14184.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　その他のスイッチ,76002.0,estat-manufacturing
0003015256,生産金額（百万円）,　　コネクタ,448750.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　同軸コネクタ,25911.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　プリント基板用コネクタ,223845.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　光コネクタ,6558.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　丸形コネクタ,15442.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　角形コネクタ,29020.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　その他のコネクタ,147974.0,estat-manufacturing
0003015256,生産金額（百万円）,　　リレー（有線通信機器用に限る）,15512.0,estat-manufacturing
0003015256,生産金額（百万円）,　電子回路基板,787192.0,estat-manufacturing
0003015256,生産金額（百万円）,　　リジッドプリント配線板,487461.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　片面プリント配線板,23686.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　両面プリント配線板,108515.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　多層プリント配線板（4層）,116119.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　多層プリント配線板（6～8層）,99620.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　多層プリント配線板（10層以上）,30730.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　ビルドアップ多層配線板,108791.0,estat-manufacturing
0003015256,生産金額（百万円）,　　フレキシブルプリント配線板,156147.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　片面フレキシブル配線板,66183.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　両面・多層フレキシブル配線板,89964.0,estat-manufacturing
0003015256,生産金額（百万円）,　　モジュール基板,141897.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　リジッド系モジュール基板,79514.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　その他のモジュール基板,62383.0,estat-manufacturing
0003015256,生産金額（百万円）,　　その他の電子回路基板,1687.0,estat-manufacturing
0003015256,生産金額（百万円）,　変換部品,61050.0,estat-manufacturing
0003015256,生産金額（百万円）,　　音響部品（スピーカ・マイクロホン）,21157.0,estat-manufacturing
0003015256,生産金額（百万円）,　　磁気ヘッド,39893.0,estat-manufacturing
0003015256,生産金額（百万円）,　メモリ部品,247037.0,estat-manufacturing
0003015256,生産金額（百万円）,　　磁気テープ,177400.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　磁気録音・録画テープ,86332.0,estat-manufacturing
0003015256,生産金額（百万円）,　　　その他の磁気テープ,91068.0,estat-manufacturing
0003015256,生産金額（百万円）,　　光ディスク,68003.0,estat-manufacturing
0003015256,生産金額（百万円）,　　スイッチング電源,113973.0,estat-manufacturing
0003094991,受入,合計 (t),2521494.0,estat-manufacturing
0003094991,受入,フェロマンガン 計 (t),528174.0,estat-manufacturing
0003094991,受入,フェロマンガン 高炭素 (t),429299.0,estat-manufacturing
0003094991,受入,フェロマンガン 低炭素 (t),98875.0,estat-manufacturing
0003094991,受入,シリコマンガン (t),341346.0,estat-manufacturing
0003094991,受入,フェロシリコン (t),393946.0,estat-manufacturing
0003094991,受入,フェロクロム 計 (t),881014.0,estat-manufacturing
0003094991,受入,フェロクロム 高炭素 (t),831019.0,estat-manufacturing
0003094991,受入,フェロクロム 低炭素 (t),49995.0,estat-manufacturing
0003094991,受入,フェロニッケル (t),260413.0,estat-manufacturing
0003094991,受入,フェロタングステン (t),1407.0,estat-manufacturing
0003094991,受入,フェロモリブデン (t),5762.0,estat-manufacturing
0003094991,受入,フェロバナジウム (t),7883.0,estat-manufacturing
0003094991,受入,その他のフェロアロイ (t),101549.0,estat-manufacturing
0003094991,消費,合計 (t),2394599.0,estat-manufacturing
0003094991,消費,フェロマンガン 計 (t),517034.0,estat-manufacturing
0003094991,消費,フェロマンガン 高炭素 (t),419763.0,estat-manufacturing
0003094991,消費,フェロマンガン 低炭素 (t),97271.0,estat-manufacturing
0003094991,消費,シリコマンガン (t),332668.0,estat-manufacturing
0003094991,消費,フェロシリコン (t),386710.0,estat-manufacturing
0003094991,消費,フェロクロム 計 (t),808194.0,estat-manufacturing
0003094991,消費,フェロクロム 高炭素 (t),760340.0,estat-manufacturing
0003094991,消費,フェロクロム 低炭素 (t),47854.0,estat-manufacturing
0003094991,消費,フェロニッケル (t),236874.0,estat-manufacturing
0003094991,消費,フェロタングステン (t),1253.0,estat-manufacturing
0003094991,消費,フェロモリブデン (t),5421.0,estat-manufacturing
0003094991,消費,フェロバナジウム (t),7230.0,estat-manufacturing
0003094991,消費,その他のフェロアロイ (t),99215.0,estat-manufacturing
0003094991,在庫,合計 (t),353308.0,estat-manufacturing
0003094991,在庫,フェロマンガン 計 (t),25070.0,estat-manufacturing
0003094991,在庫,フェロマンガン 高炭素 (t),18875.0,estat-manufacturing
0003094991,在庫,フェロマンガン 低炭素 (t),6195.0,estat-manufacturing
0003094991,在庫,シリコマンガン (t),38890.0,estat-manufacturing
0003094991,在庫,フェロシリコン (t),29156.0,estat-manufacturing
0003094991,在庫,フェロクロム 計 (t),193774.0,estat-manufacturing
0003094991,在庫,フェロクロム 高炭素 (t),184758.0,estat-manufacturing
0003094991,在庫,フェロクロム 低炭素 (t),9016.0,estat-manufacturing
0003094991,在庫,フェロニッケル (t),49452.0,estat-manufacturing
0003094991,在庫,フェロタングステン (t),412.0,estat-manufacturing
0003094991,在庫,フェロモリブデン (t),1276.0,estat-manufacturing
0003094991,在庫,フェロバナジウム (t),1332.0,estat-manufacturing
0003094991,在庫,その他のフェロアロイ (t),13946.0,estat-manufacturing
0003095001,計,生産 (t),86171136.0,estat-manufacturing
0003095001,計,受入 (t),4795332.0,estat-manufacturing
0003095001,計,消費 (t),85509958.0,estat-manufacturing
0003095001,計,出荷　販売 (t),4197992.0,estat-manufacturing
0003095001,計,出荷 その他 (t),370370.0,estat-manufacturing
0003095001,計,在庫 (t),1119048.0,estat-manufacturing
0003095001,製鋼用銑,生産 (t),85599251.0,estat-manufacturing
0003095001,製鋼用銑,受入 (t),4733744.0,estat-manufacturing
0003095001,製鋼用銑,出荷　販売 (t),3649149.0,estat-manufacturing
0003095001,製鋼用銑,出荷 その他 (t),370042.0,estat-manufacturing
0003095001,製鋼用銑,在庫 (t),1021410.0,estat-manufacturing
0003095001,鋳物用銑,生産 (t),571885.0,estat-manufacturing
0003095001,鋳物用銑,受入 (t),25134.0,estat-manufacturing
0003095001,鋳物用銑,出荷　販売 (t),548843.0,estat-manufacturing
0003095001,鋳物用銑,出荷 その他 (t),328.0,estat-manufacturing
0003095001,鋳物用銑,在庫 (t),89423.0,estat-manufacturing
0003095001,鋳鉄管用,受入 (t),36454.0,estat-manufacturing
0003095001,鋳鉄管用,在庫 (t),8215.0,estat-manufacturing
0003095001,製鋼用・鋳物用　転炉用,消費 (t),84696050.0,estat-manufacturing
0003095001,製鋼用・鋳物用　電気炉用,消費 (t),779073.0,estat-manufacturing
0003095001,製鋼用・鋳物用　鋳鉄管用,消費 (t),34835.0,estat-manufacturing
