industry_category,year,value,unit,gender,source_id
Ｄ建設業,2020,3447458.0,人,男,estat-national-census
Ｄ建設業,2015,4125103.0,人,男,estat-national-census
Ｄ建設業,2020,4008793.0,人,男,estat-national-census
Ｄ建設業,1995,1050000.0,人,女,estat-national-census
Ｄ建設業,2000,942000.0,人,女,estat-national-census
Ｄ建設業,2005,788226.0,人,女,estat-national-census
Ｄ建設業,2010,677054.0,人,女,estat-national-census
Ｄ建設業,2015,691776.0,人,女,estat-national-census
Ｄ建設業,2020,736594.0,人,女,estat-national-census
Ｄ建設業,2015,779427.0,人,女,estat-national-census
Ｄ建設業,2020,848582.0,人,女,estat-national-census
Ｅ製造業,1995,13166000.0,人,総数,estat-national-census
Ｅ製造業,2000,11999000.0,人,総数,estat-national-census
Ｅ製造業,2005,10485635.0,人,総数,estat-national-census
Ｅ製造業,2010,9626184.0,人,総数,estat-national-census
Ｅ製造業,2015,9557215.0,人,総数,estat-national-census
Ｅ製造業,2020,9056536.0,人,総数,estat-national-census
Ｅ製造業,2015,10760061.0,人,総数,estat-national-census
Ｅ製造業,2020,10439466.0,人,総数,estat-national-census
Ｅ製造業,1995,8414000.0,人,男,estat-national-census
Ｅ製造業,2000,7832000.0,人,男,estat-national-census
Ｅ製造業,2005,7068116.0,人,男,estat-national-census
Ｅ製造業,2010,6645831.0,人,男,estat-national-census
Ｅ製造業,2015,6620497.0,人,男,estat-national-census
Ｅ製造業,2020,6211896.0,人,男,estat-national-census
Ｅ製造業,2015,7479131.0,人,男,estat-national-census
Ｅ製造業,2020,7195460.0,人,男,estat-national-census
Ｅ製造業,1995,4752000.0,人,女,estat-national-census
Ｅ製造業,2000,4168000.0,人,女,estat-national-census
Ｅ製造業,2005,3417519.0,人,女,estat-national-census
Ｅ製造業,2010,2980353.0,人,女,estat-national-census
Ｅ製造業,2015,2936718.0,人,女,estat-national-census
Ｅ製造業,2020,2844640.0,人,女,estat-national-census
Ｅ製造業,2015,3280930.0,人,女,estat-national-census
Ｅ製造業,2020,3244006.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,1995,354000.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2000,338000.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2005,295145.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2010,284473.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2015,283193.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2020,275595.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2015,319501.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2020,317856.0,人,総数,estat-national-census
Ｆ電気・ガス・熱供給・水道業,1995,305000.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2000,294000.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2005,259133.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2010,244678.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2015,242260.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2020,229062.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2015,273497.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2020,264445.0,人,男,estat-national-census
Ｆ電気・ガス・熱供給・水道業,1995,50000.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2000,44000.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2005,36012.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2010,39795.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2015,40933.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2020,46533.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2015,46004.0,人,女,estat-national-census
Ｆ電気・ガス・熱供給・水道業,2020,53411.0,人,女,estat-national-census
Ｇ情報通信業,1995,1307000.0,人,総数,estat-national-census
Ｇ情報通信業,2000,1555000.0,人,総数,estat-national-census
Ｇ情報通信業,2005,1612836.0,人,総数,estat-national-census
Ｇ情報通信業,2010,1626714.0,人,総数,estat-national-census
Ｇ情報通信業,2015,1680205.0,人,総数,estat-national-census
Ｇ情報通信業,2020,1955619.0,人,総数,estat-national-census
Ｇ情報通信業,2015,2145325.0,人,総数,estat-national-census
Ｇ情報通信業,2020,2518801.0,人,総数,estat-national-census
Ｇ情報通信業,1995,945000.0,人,男,estat-national-census
Ｇ情報通信業,2000,1110000.0,人,男,estat-national-census
Ｇ情報通信業,2005,1180411.0,人,男,estat-national-census
Ｇ情報通信業,2010,1179227.0,人,男,estat-national-census
Ｇ情報通信業,2015,1230784.0,人,男,estat-national-census
Ｇ情報通信業,2020,1381459.0,人,男,estat-national-census
Ｇ情報通信業,2015,1571395.0,人,男,estat-national-census
Ｇ情報通信業,2020,1787855.0,人,男,estat-national-census
Ｇ情報通信業,1995,363000.0,人,女,estat-national-census
Ｇ情報通信業,2000,445000.0,人,女,estat-national-census
Ｇ情報通信業,2005,432425.0,人,女,estat-national-census
Ｇ情報通信業,2010,447487.0,人,女,estat-national-census
Ｇ情報通信業,2015,449421.0,人,女,estat-national-census
Ｇ情報通信業,2020,574160.0,人,女,estat-national-census
Ｇ情報通信業,2015,573930.0,人,女,estat-national-census
Ｇ情報通信業,2020,730946.0,人,女,estat-national-census
Ｈ運輸業，郵便業,1995,3250000.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2000,3218000.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2005,3170769.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2010,3219050.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2015,3044741.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2020,3117623.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2015,3509763.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,2020,3680454.0,人,総数,estat-national-census
Ｈ運輸業，郵便業,1995,2792000.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2000,2717000.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2005,2633104.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2010,2617889.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2015,2452308.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2020,2423004.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2015,2830594.0,人,男,estat-national-census
Ｈ運輸業，郵便業,2020,2868222.0,人,男,estat-national-census
Ｈ運輸業，郵便業,1995,458000.0,人,女,estat-national-census
Ｈ運輸業，郵便業,2000,501000.0,人,女,estat-national-census
