value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,05,10～14年,2021000000,2021年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,05,10～14年,2020000000,2020年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,06,15年以上,2023000000,2023年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,06,15年以上,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,06,15年以上,2021000000,2021年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,02,～19歳,06,15年以上,2020000000,2020年,千円
280.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,01,経験年数計,2023000000,2023年,千円
338.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,01,経験年数計,2022000000,2022年,千円
256.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,01,経験年数計,2021000000,2021年,千円
256.3,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,01,経験年数計,2020000000,2020年,千円
261.3,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,02,0年,2023000000,2023年,千円
203.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,02,0年,2022000000,2022年,千円
254.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,02,0年,2021000000,2021年,千円
315.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,02,0年,2020000000,2020年,千円
289.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,03,1～4年,2023000000,2023年,千円
371.9,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,03,1～4年,2022000000,2022年,千円
260.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,03,1～4年,2021000000,2021年,千円
233.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,03,1～4年,2020000000,2020年,千円
266.1,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,04,5～9年,2023000000,2023年,千円
403.5,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,04,5～9年,2022000000,2022年,千円
219.3,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,04,5～9年,2021000000,2021年,千円
198.4,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,04,5～9年,2020000000,2020年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,05,10～14年,2023000000,2023年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,05,10～14年,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,05,10～14年,2021000000,2021年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,05,10～14年,2020000000,2020年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,06,15年以上,2023000000,2023年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,06,15年以上,2022000000,2022年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,06,15年以上,2021000000,2021年,千円
-,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,03,20～24歳,06,15年以上,2020000000,2020年,千円
470.2,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,01,経験年数計,2023000000,2023年,千円
357.2,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,01,経験年数計,2022000000,2022年,千円
359.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,01,経験年数計,2021000000,2021年,千円
333.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,01,経験年数計,2020000000,2020年,千円
429.1,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,02,0年,2023000000,2023年,千円
402.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,02,0年,2022000000,2022年,千円
319.6,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,02,0年,2021000000,2021年,千円
394.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,02,0年,2020000000,2020年,千円
466.5,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,03,1～4年,2023000000,2023年,千円
372.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,03,1～4年,2022000000,2022年,千円
344.5,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,03,1～4年,2021000000,2021年,千円
326.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,03,1～4年,2020000000,2020年,千円
492.3,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,04,5～9年,2023000000,2023年,千円
344.0,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,04,5～9年,2022000000,2022年,千円
389.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,04,5～9年,2021000000,2021年,千円
325.8,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,04,5～9年,2020000000,2020年,千円
311.7,42,所定内給与額,1031,管理的職業従事者,01,企業規模計（10人以上）,04,25～29歳,05,10～14年,2023000000,2023年,千円
