value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,cat05,cat05_label,time,time_label,unit
40.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210060,Ｄ０８ 設備工事業(平成21年以降),2009000000,2009年,歳
41.6,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2015000000,2015年,歳
41.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2014000000,2014年,歳
41.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2013000000,2013年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2012000000,2012年,歳
41.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2011000000,2011年,歳
40.9,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2010000000,2010年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210070,Ｅ 製造業(平成21年以降),2009000000,2009年,歳
43.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2015000000,2015年,歳
43.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2014000000,2014年,歳
43.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2013000000,2013年,歳
44.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2012000000,2012年,歳
43.3,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2011000000,2011年,歳
43.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2010000000,2010年,歳
44.0,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210080,Ｅ０９ 食料品製造業(平成21年以降),2009000000,2009年,歳
42.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2015000000,2015年,歳
41.1,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2014000000,2014年,歳
41.8,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2013000000,2013年,歳
41.2,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2012000000,2012年,歳
41.5,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2011000000,2011年,歳
42.4,33,年齢,01,男女計,01,生産労働者（学歴計）,01,企業規模計（10人以上）,010,年齢計,210090,Ｅ１０ 飲料・たばこ・飼料製造業(平成21年以降),2010000000,2010年,歳
