value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
47.5,01,年齢,01,男女計,01,学歴計,01,年齢計,01,Ｔ１ 産業計,2022000000,2022年,歳
46.9,01,年齢,01,男女計,01,学歴計,01,年齢計,01,Ｔ１ 産業計,2021000000,2021年,歳
55.0,01,年齢,01,男女計,01,学歴計,01,年齢計,02,Ｃ 鉱業，採石業，砂利採取業,2022000000,2022年,歳
55.3,01,年齢,01,男女計,01,学歴計,01,年齢計,02,Ｃ 鉱業，採石業，砂利採取業,2021000000,2021年,歳
48.4,01,年齢,01,男女計,01,学歴計,01,年齢計,03,Ｄ 建設業,2022000000,2022年,歳
48.6,01,年齢,01,男女計,01,学歴計,01,年齢計,03,Ｄ 建設業,2021000000,2021年,歳
49.6,01,年齢,01,男女計,01,学歴計,01,年齢計,07,Ｅ 製造業,2022000000,2022年,歳
47.7,01,年齢,01,男女計,01,学歴計,01,年齢計,07,Ｅ 製造業,2021000000,2021年,歳
47.5,01,年齢,01,男女計,01,学歴計,01,年齢計,32,Ｆ 電気・ガス・熱供給・水道業,2022000000,2022年,歳
46.8,01,年齢,01,男女計,01,学歴計,01,年齢計,32,Ｆ 電気・ガス・熱供給・水道業,2021000000,2021年,歳
37.9,01,年齢,01,男女計,01,学歴計,01,年齢計,37,Ｇ 情報通信業,2022000000,2022年,歳
45.8,01,年齢,01,男女計,01,学歴計,01,年齢計,37,Ｇ 情報通信業,2021000000,2021年,歳
51.7,01,年齢,01,男女計,01,学歴計,01,年齢計,43,Ｈ 運輸業，郵便業,2022000000,2022年,歳
51.2,01,年齢,01,男女計,01,学歴計,01,年齢計,43,Ｈ 運輸業，郵便業,2021000000,2021年,歳
48.0,01,年齢,01,男女計,01,学歴計,01,年齢計,52,Ｉ 卸売業，小売業,2022000000,2022年,歳
47.1,01,年齢,01,男女計,01,学歴計,01,年齢計,52,Ｉ 卸売業，小売業,2021000000,2021年,歳
47.7,01,年齢,01,男女計,01,学歴計,01,年齢計,67,Ｊ 金融業，保険業,2022000000,2022年,歳
49.1,01,年齢,01,男女計,01,学歴計,01,年齢計,67,Ｊ 金融業，保険業,2021000000,2021年,歳
46.4,01,年齢,01,男女計,01,学歴計,01,年齢計,74,Ｋ 不動産業，物品賃貸業,2022000000,2022年,歳
47.8,01,年齢,01,男女計,01,学歴計,01,年齢計,74,Ｋ 不動産業，物品賃貸業,2021000000,2021年,歳
44.4,01,年齢,01,男女計,01,学歴計,01,年齢計,78,Ｌ 学術研究，専門・技術サービス業,2022000000,2022年,歳
46.2,01,年齢,01,男女計,01,学歴計,01,年齢計,78,Ｌ 学術研究，専門・技術サービス業,2021000000,2021年,歳
44.0,01,年齢,01,男女計,01,学歴計,01,年齢計,83,Ｍ 宿泊業，飲食サービス業,2022000000,2022年,歳
45.7,01,年齢,01,男女計,01,学歴計,01,年齢計,83,Ｍ 宿泊業，飲食サービス業,2021000000,2021年,歳
43.4,01,年齢,01,男女計,01,学歴計,01,年齢計,87,Ｎ 生活関連サービス業，娯楽業,2022000000,2022年,歳
41.8,01,年齢,01,男女計,01,学歴計,01,年齢計,87,Ｎ 生活関連サービス業，娯楽業,2021000000,2021年,歳
44.6,01,年齢,01,男女計,01,学歴計,01,年齢計,91,Ｏ 教育，学習支援業,2022000000,2022年,歳
44.1,01,年齢,01,男女計,01,学歴計,01,年齢計,91,Ｏ 教育，学習支援業,2021000000,2021年,歳
46.4,01,年齢,01,男女計,01,学歴計,01,年齢計,94,Ｐ 医療，福祉,2022000000,2022年,歳
43.7,01,年齢,01,男女計,01,学歴計,01,年齢計,94,Ｐ 医療，福祉,2021000000,2021年,歳
49.9,01,年齢,01,男女計,01,学歴計,01,年齢計,98,Ｑ 複合サービス事業,2022000000,2022年,歳
48.9,01,年齢,01,男女計,01,学歴計,01,年齢計,98,Ｑ 複合サービス事業,2021000000,2021年,歳
49.3,01,年齢,01,男女計,01,学歴計,01,年齢計,101,Ｒ サービス業（他に分類されないもの）,2022000000,2022年,歳
47.9,01,年齢,01,男女計,01,学歴計,01,年齢計,101,Ｒ サービス業（他に分類されないもの）,2021000000,2021年,歳
19.1,01,年齢,01,男女計,01,学歴計,02,～19歳,01,Ｔ１ 産業計,2022000000,2022年,歳
19.0,01,年齢,01,男女計,01,学歴計,02,～19歳,01,Ｔ１ 産業計,2021000000,2021年,歳
-,01,年齢,01,男女計,01,学歴計,02,～19歳,02,Ｃ 鉱業，採石業，砂利採取業,2022000000,2022年,歳
19.5,01,年齢,01,男女計,01,学歴計,02,～19歳,02,Ｃ 鉱業，採石業，砂利採取業,2021000000,2021年,歳
19.0,01,年齢,01,男女計,01,学歴計,02,～19歳,03,Ｄ 建設業,2022000000,2022年,歳
18.9,01,年齢,01,男女計,01,学歴計,02,～19歳,03,Ｄ 建設業,2021000000,2021年,歳
19.4,01,年齢,01,男女計,01,学歴計,02,～19歳,07,Ｅ 製造業,2022000000,2022年,歳
19.1,01,年齢,01,男女計,01,学歴計,02,～19歳,07,Ｅ 製造業,2021000000,2021年,歳
-,01,年齢,01,男女計,01,学歴計,02,～19歳,32,Ｆ 電気・ガス・熱供給・水道業,2022000000,2022年,歳
-,01,年齢,01,男女計,01,学歴計,02,～19歳,32,Ｆ 電気・ガス・熱供給・水道業,2021000000,2021年,歳
19.3,01,年齢,01,男女計,01,学歴計,02,～19歳,37,Ｇ 情報通信業,2022000000,2022年,歳
18.5,01,年齢,01,男女計,01,学歴計,02,～19歳,37,Ｇ 情報通信業,2021000000,2021年,歳
19.5,01,年齢,01,男女計,01,学歴計,02,～19歳,43,Ｈ 運輸業，郵便業,2022000000,2022年,歳
18.7,01,年齢,01,男女計,01,学歴計,02,～19歳,43,Ｈ 運輸業，郵便業,2021000000,2021年,歳
19.0,01,年齢,01,男女計,01,学歴計,02,～19歳,52,Ｉ 卸売業，小売業,2022000000,2022年,歳
19.2,01,年齢,01,男女計,01,学歴計,02,～19歳,52,Ｉ 卸売業，小売業,2021000000,2021年,歳
-,01,年齢,01,男女計,01,学歴計,02,～19歳,67,Ｊ 金融業，保険業,2022000000,2022年,歳
19.5,01,年齢,01,男女計,01,学歴計,02,～19歳,67,Ｊ 金融業，保険業,2021000000,2021年,歳
19.4,01,年齢,01,男女計,01,学歴計,02,～19歳,74,Ｋ 不動産業，物品賃貸業,2022000000,2022年,歳
18.6,01,年齢,01,男女計,01,学歴計,02,～19歳,74,Ｋ 不動産業，物品賃貸業,2021000000,2021年,歳
19.5,01,年齢,01,男女計,01,学歴計,02,～19歳,78,Ｌ 学術研究，専門・技術サービス業,2022000000,2022年,歳
18.6,01,年齢,01,男女計,01,学歴計,02,～19歳,78,Ｌ 学術研究，専門・技術サービス業,2021000000,2021年,歳
18.4,01,年齢,01,男女計,01,学歴計,02,～19歳,83,Ｍ 宿泊業，飲食サービス業,2022000000,2022年,歳
19.5,01,年齢,01,男女計,01,学歴計,02,～19歳,83,Ｍ 宿泊業，飲食サービス業,2021000000,2021年,歳
19.4,01,年齢,01,男女計,01,学歴計,02,～19歳,87,Ｎ 生活関連サービス業，娯楽業,2022000000,2022年,歳
18.6,01,年齢,01,男女計,01,学歴計,02,～19歳,87,Ｎ 生活関連サービス業，娯楽業,2021000000,2021年,歳
-,01,年齢,01,男女計,01,学歴計,02,～19歳,91,Ｏ 教育，学習支援業,2022000000,2022年,歳
-,01,年齢,01,男女計,01,学歴計,02,～19歳,91,Ｏ 教育，学習支援業,2021000000,2021年,歳
19.2,01,年齢,01,男女計,01,学歴計,02,～19歳,94,Ｐ 医療，福祉,2022000000,2022年,歳
19.2,01,年齢,01,男女計,01,学歴計,02,～19歳,94,Ｐ 医療，福祉,2021000000,2021年,歳
19.5,01,年齢,01,男女計,01,学歴計,02,～19歳,98,Ｑ 複合サービス事業,2022000000,2022年,歳
18.5,01,年齢,01,男女計,01,学歴計,02,～19歳,98,Ｑ 複合サービス事業,2021000000,2021年,歳
19.1,01,年齢,01,男女計,01,学歴計,02,～19歳,101,Ｒ サービス業（他に分類されないもの）,2022000000,2022年,歳
19.1,01,年齢,01,男女計,01,学歴計,02,～19歳,101,Ｒ サービス業（他に分類されないもの）,2021000000,2021年,歳
22.9,01,年齢,01,男女計,01,学歴計,03,20～24歳,01,Ｔ１ 産業計,2022000000,2022年,歳
23.0,01,年齢,01,男女計,01,学歴計,03,20～24歳,01,Ｔ１ 産業計,2021000000,2021年,歳
23.9,01,年齢,01,男女計,01,学歴計,03,20～24歳,02,Ｃ 鉱業，採石業，砂利採取業,2022000000,2022年,歳
22.5,01,年齢,01,男女計,01,学歴計,03,20～24歳,02,Ｃ 鉱業，採石業，砂利採取業,2021000000,2021年,歳
22.6,01,年齢,01,男女計,01,学歴計,03,20～24歳,03,Ｄ 建設業,2022000000,2022年,歳
22.8,01,年齢,01,男女計,01,学歴計,03,20～24歳,03,Ｄ 建設業,2021000000,2021年,歳
22.8,01,年齢,01,男女計,01,学歴計,03,20～24歳,07,Ｅ 製造業,2022000000,2022年,歳
23.3,01,年齢,01,男女計,01,学歴計,03,20～24歳,07,Ｅ 製造業,2021000000,2021年,歳
23.6,01,年齢,01,男女計,01,学歴計,03,20～24歳,32,Ｆ 電気・ガス・熱供給・水道業,2022000000,2022年,歳
22.0,01,年齢,01,男女計,01,学歴計,03,20～24歳,32,Ｆ 電気・ガス・熱供給・水道業,2021000000,2021年,歳
23.3,01,年齢,01,男女計,01,学歴計,03,20～24歳,37,Ｇ 情報通信業,2022000000,2022年,歳
