value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
34470,06-2019,集計世帯数（概数）,00,平均,00,総数,00000,全国,2019000000,2019年
2350,06-2019,集計世帯数（概数）,01,35歳未満,00,総数,00000,全国,2019000000,2019年
4500,06-2019,集計世帯数（概数）,02,35～44,00,総数,00000,全国,2019000000,2019年
5890,06-2019,集計世帯数（概数）,03,45～54,00,総数,00000,全国,2019000000,2019年
6490,06-2019,集計世帯数（概数）,04,55～64,00,総数,00000,全国,2019000000,2019年
8670,06-2019,集計世帯数（概数）,05,65～74,00,総数,00000,全国,2019000000,2019年
6580,06-2019,集計世帯数（概数）,06,75歳以上,00,総数,00000,全国,2019000000,2019年
42594119,07-2019,世帯数分布,00,平均,00,総数,00000,全国,2019000000,2019年
5426695,07-2019,世帯数分布,01,35歳未満,00,総数,00000,全国,2019000000,2019年
6200019,07-2019,世帯数分布,02,35～44,00,総数,00000,全国,2019000000,2019年
7568834,07-2019,世帯数分布,03,45～54,00,総数,00000,全国,2019000000,2019年
7006995,07-2019,世帯数分布,04,55～64,00,総数,00000,全国,2019000000,2019年
8402405,07-2019,世帯数分布,05,65～74,00,総数,00000,全国,2019000000,2019年
7989171,07-2019,世帯数分布,06,75歳以上,00,総数,00000,全国,2019000000,2019年
98334365,27-2019,世帯人員数,00,平均,00,総数,00000,全国,2019000000,2019年
9939927,27-2019,世帯人員数,01,35歳未満,00,総数,00000,全国,2019000000,2019年
17589310,27-2019,世帯人員数,02,35～44,00,総数,00000,全国,2019000000,2019年
20513320,27-2019,世帯人員数,03,45～54,00,総数,00000,全国,2019000000,2019年
16851375,27-2019,世帯人員数,04,55～64,00,総数,00000,全国,2019000000,2019年
18121123,27-2019,世帯人員数,05,65～74,00,総数,00000,全国,2019000000,2019年
15319311,27-2019,世帯人員数,06,75歳以上,00,総数,00000,全国,2019000000,2019年
