value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
4012,003,人口・１０－１４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
7949,004,人口・１５－１９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
8272,004,人口・１５－１９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
8980,004,人口・１５－１９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
10007,004,人口・１５－１９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
9898,004,人口・１５－１９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4040,004,人口・１５－１９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4224,004,人口・１５－１９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4600,004,人口・１５－１９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
5122,004,人口・１５－１９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
5077,004,人口・１５－１９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
3908,004,人口・１５－１９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4049,004,人口・１５－１９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4380,004,人口・１５－１９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4885,004,人口・１５－１９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4821,004,人口・１５－１９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
9072,005,人口・２０－２４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
7841,005,人口・２０－２４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
8201,005,人口・２０－２４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
8800,005,人口・２０－２４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
9392,005,人口・２０－２４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4564,005,人口・２０－２４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3960,005,人口・２０－２４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4166,005,人口・２０－２４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4468,005,人口・２０－２４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4783,005,人口・２０－２４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4508,005,人口・２０－２４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
3881,005,人口・２０－２４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4035,005,人口・２０－２４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4332,005,人口・２０－２４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4609,005,人口・２０－２４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
10795,006,人口・２５－２９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
9041,006,人口・２５－２９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
7823,006,人口・２５－２９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
8071,006,人口・２５－２９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
7983,006,人口・２５－２９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
5426,006,人口・２５－２９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4545,006,人口・２５－２９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3948,006,人口・２５－２９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4078,006,人口・２５－２９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4040,006,人口・２５－２９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
5368,006,人口・２５－２９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4496,006,人口・２５－２９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
3875,006,人口・２５－２９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3992,006,人口・２５－２９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3944,006,人口・２５－２９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
9246,007,人口・３０－３４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
10772,007,人口・３０－３４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
9054,007,人口・３０－３４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
7788,007,人口・３０－３４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
7749,007,人口・３０－３４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4625,007,人口・３０－３４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
5422,007,人口・３０－３４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4558,007,人口・３０－３４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3925,007,人口・３０－３４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3914,007,人口・３０－３４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4621,007,人口・３０－３４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
5350,007,人口・３０－３４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4496,007,人口・３０－３４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
3862,007,人口・３０－３４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
3836,007,人口・３０－３４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
8422,008,人口・３５－３９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
9202,008,人口・３５－３９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
10738,008,人口・３５－３９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
9004,008,人口・３５－３９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
8609,008,人口・３５－３９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4213,008,人口・３５－３９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4595,008,人口・３５－３９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
5398,008,人口・３５－３９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4525,008,人口・３５－３９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4334,008,人口・３５－３９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4210,008,人口・３５－３９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4607,008,人口・３５－３９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
5340,008,人口・３５－３９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4479,008,人口・３５－３９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4275,008,人口・３５－３９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
8224,009,人口・４０－４４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
8338,009,人口・４０－４４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
9135,009,人口・４０－４４歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
10658,009,人口・４０－４４歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
11257,009,人口・４０－４４歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4125,009,人口・４０－４４歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4159,009,人口・４０－４４歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4552,009,人口・４０－４４歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
5350,009,人口・４０－４４歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
5656,009,人口・４０－４４歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
4099,009,人口・４０－４４歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4179,009,人口・４０－４４歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4583,009,人口・４０－４４歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
5308,009,人口・４０－４４歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
5601,009,人口・４０－４４歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
7361,010,人口・４５－４９歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
8090,010,人口・４５－４９歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
8237,010,人口・４５－４９歳,000,総数,003,１９８５年,00000,全国,1991000000,1991年,千人・％
9018,010,人口・４５－４９歳,000,総数,004,１９９０年,00000,全国,1991000000,1991年,千人・％
8602,010,人口・４５－４９歳,000,総数,005,１９９１年,00000,全国,1991000000,1991年,千人・％
3657,010,人口・４５－４９歳,001,男,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4033,010,人口・４５－４９歳,001,男,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4092,010,人口・４５－４９歳,001,男,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4482,010,人口・４５－４９歳,001,男,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4284,010,人口・４５－４９歳,001,男,005,１９９１年,00000,全国,1991000000,1991年,千人・％
3705,010,人口・４５－４９歳,002,女,001,１９７５年,00000,全国,1991000000,1991年,千人・％
4057,010,人口・４５－４９歳,002,女,002,１９８０年,00000,全国,1991000000,1991年,千人・％
4144,010,人口・４５－４９歳,002,女,003,１９８５年,00000,全国,1991000000,1991年,千人・％
4536,010,人口・４５－４９歳,002,女,004,１９９０年,00000,全国,1991000000,1991年,千人・％
4318,010,人口・４５－４９歳,002,女,005,１９９１年,00000,全国,1991000000,1991年,千人・％
5782,011,人口・５０－５４歳,000,総数,001,１９７５年,00000,全国,1991000000,1991年,千人・％
7200,011,人口・５０－５４歳,000,総数,002,１９８０年,00000,全国,1991000000,1991年,千人・％
