value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
258,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2024000000,2024年
540,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2024000000,2024年
162,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2024000000,2024年
129,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2024000000,2024年
42,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2024000000,2024年
153,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2024000000,2024年
104,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2024000000,2024年
506,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2024000000,2024年
247,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2024000000,2024年
199,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2024000000,2024年
121,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2024000000,2024年
24,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2024000000,2024年
256,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2024000000,2024年
135,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2024000000,2024年
708,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2024000000,2024年
25616,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2024000000,2024年
68,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2024000000,2024年
255,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2024000000,2024年
246,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,03000,岩手県,2024000000,2024年
584,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,04000,宮城県,2024000000,2024年
213,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,05000,秋田県,2024000000,2024年
322,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,06000,山形県,2024000000,2024年
320,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,07000,福島県,2024000000,2024年
898,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,08000,茨城県,2024000000,2024年
554,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,09000,栃木県,2024000000,2024年
381,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,10000,群馬県,2024000000,2024年
2144,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,11000,埼玉県,2024000000,2024年
1038,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,12000,千葉県,2024000000,2024年
6143,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,13000,東京都,2024000000,2024年
2869,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,14000,神奈川県,2024000000,2024年
427,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,15000,新潟県,2024000000,2024年
98,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,16000,富山県,2024000000,2024年
103,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,17000,石川県,2024000000,2024年
95,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,18000,福井県,2024000000,2024年
125,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,19000,山梨県,2024000000,2024年
423,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,20000,長野県,2024000000,2024年
270,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,21000,岐阜県,2024000000,2024年
650,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,22000,静岡県,2024000000,2024年
1523,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,23000,愛知県,2024000000,2024年
130,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,24000,三重県,2024000000,2024年
281,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,25000,滋賀県,2024000000,2024年
441,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,26000,京都府,2024000000,2024年
1196,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,27000,大阪府,2024000000,2024年
852,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,28000,兵庫県,2024000000,2024年
265,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,29000,奈良県,2024000000,2024年
104,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,30000,和歌山県,2024000000,2024年
22,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2024000000,2024年
29,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2024000000,2024年
152,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2024000000,2024年
306,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2024000000,2024年
141,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2024000000,2024年
122,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2024000000,2024年
42,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2024000000,2024年
125,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2024000000,2024年
99,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2024000000,2024年
357,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2024000000,2024年
178,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2024000000,2024年
171,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2024000000,2024年
100,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2024000000,2024年
