value,cat01,cat01_label,cat02,cat02_label
36,010010,企業数,0010,経営組織別計
36,010010,企業数,0020,会社
-,010010,企業数,0030,会社以外の法人・団体
-,010010,企業数,0040,個人経営
36,010010,企業数,0130,資本金規模別計
9,010010,企業数,0140,５千万円未満
6,010010,企業数,0150,５千万円以上１億円未満
15,010010,企業数,0160,１億円以上１０億円未満
6,010010,企業数,0170,１０億円以上
-,010010,企業数,0180,資本金なし
36,010010,企業数,0190,従業者規模別計
3,010010,企業数,0200,４人以下
1,010010,企業数,0210,５人～９人
5,010010,企業数,0220,１０人～２９人
2,010010,企業数,0230,３０人～４９人
10,010010,企業数,0240,５０人～９９人
9,010010,企業数,0250,１００人～２９９人
6,010010,企業数,0260,３００人以上
36,010010,企業数,0270,クレジットカード業務，割賦　金融業務の従事者規模別計
3,010010,企業数,0280,４人以下
3,010010,企業数,0290,５人～９人
4,010010,企業数,0300,１０人～２９人
4,010010,企業数,0310,３０人～４９人
10,010010,企業数,0320,５０人～９９人
8,010010,企業数,0330,１００人～２９９人
4,010010,企業数,0340,３００人以上
36,010010,企業数,0350,年間売上高（年間取扱高）規模別計
2,010010,企業数,0360,１億円未満
2,010010,企業数,0370,１億円以上１０億円未満
8,010010,企業数,0380,１０億円以上１００億円未満
15,010010,企業数,0390,１００億円以上５００億円未満
3,010010,企業数,0400,５００億円以上１千億円未満
6,010010,企業数,0410,１千億円以上
36,010010,企業数,0420,専業割合別計
4,010010,企業数,0430,５０％未満
27,010010,企業数,0440,５０％以上１００％未満
5,010010,企業数,0450,１００％
36,010010,企業数,0460,加盟店数規模別計
12,010010,企業数,0470,１００店未満
2,010010,企業数,0480,１００店以上３００店未満
1,010010,企業数,0490,３００店以上５００店未満
2,010010,企業数,0500,５００店以上１千店未満
12,010010,企業数,0510,１千店以上１万店未満
4,010010,企業数,0520,１万店以上１０万店未満
3,010010,企業数,0530,１０万店以上
36,010010,企業数,0540,個人会員数規模別計
3,010010,企業数,0550,５千人未満
1,010010,企業数,0560,５千人以上１万人未満
8,010010,企業数,0570,１万人以上５万人未満
2,010010,企業数,0580,５万人以上１０万人未満
15,010010,企業数,0590,１０万人以上５０万人未満
3,010010,企業数,0600,５０万人以上１００万人未満
4,010010,企業数,0610,１００万人以上
20864,010020,従業者数Ａ（人）,0010,経営組織別計
20864,010020,従業者数Ａ（人）,0020,会社
-,010020,従業者数Ａ（人）,0030,会社以外の法人・団体
-,010020,従業者数Ａ（人）,0040,個人経営
20864,010020,従業者数Ａ（人）,0130,資本金規模別計
367,010020,従業者数Ａ（人）,0140,５千万円未満
286,010020,従業者数Ａ（人）,0150,５千万円以上１億円未満
2094,010020,従業者数Ａ（人）,0160,１億円以上１０億円未満
18117,010020,従業者数Ａ（人）,0170,１０億円以上
-,010020,従業者数Ａ（人）,0180,資本金なし
20864,010020,従業者数Ａ（人）,0190,従業者規模別計
10,010020,従業者数Ａ（人）,0200,４人以下
8,010020,従業者数Ａ（人）,0210,５人～９人
71,010020,従業者数Ａ（人）,0220,１０人～２９人
76,010020,従業者数Ａ（人）,0230,３０人～４９人
784,010020,従業者数Ａ（人）,0240,５０人～９９人
1491,010020,従業者数Ａ（人）,0250,１００人～２９９人
18424,010020,従業者数Ａ（人）,0260,３００人以上
20864,010020,従業者数Ａ（人）,0270,クレジットカード業務，割賦　金融業務の従事者規模別計
10,010020,従業者数Ａ（人）,0280,４人以下
97,010020,従業者数Ａ（人）,0290,５人～９人
60,010020,従業者数Ａ（人）,0300,１０人～２９人
224,010020,従業者数Ａ（人）,0310,３０人～４９人
932,010020,従業者数Ａ（人）,0320,５０人～９９人
2010,010020,従業者数Ａ（人）,0330,１００人～２９９人
17531,010020,従業者数Ａ（人）,0340,３００人以上
20864,010020,従業者数Ａ（人）,0350,年間売上高（年間取扱高）規模別計
7,010020,従業者数Ａ（人）,0360,１億円未満
14,010020,従業者数Ａ（人）,0370,１億円以上１０億円未満
241,010020,従業者数Ａ（人）,0380,１０億円以上１００億円未満
1611,010020,従業者数Ａ（人）,0390,１００億円以上５００億円未満
883,010020,従業者数Ａ（人）,0400,５００億円以上１千億円未満
18108,010020,従業者数Ａ（人）,0410,１千億円以上
20864,010020,従業者数Ａ（人）,0420,専業割合別計
13444,010020,従業者数Ａ（人）,0430,５０％未満
7330,010020,従業者数Ａ（人）,0440,５０％以上１００％未満
90,010020,従業者数Ａ（人）,0450,１００％
20864,010020,従業者数Ａ（人）,0460,加盟店数規模別計
1692,010020,従業者数Ａ（人）,0470,１００店未満
14,010020,従業者数Ａ（人）,0480,１００店以上３００店未満
30,010020,従業者数Ａ（人）,0490,３００店以上５００店未満
20,010020,従業者数Ａ（人）,0500,５００店以上１千店未満
1099,010020,従業者数Ａ（人）,0510,１千店以上１万店未満
1325,010020,従業者数Ａ（人）,0520,１万店以上１０万店未満
16684,010020,従業者数Ａ（人）,0530,１０万店以上
20864,010020,従業者数Ａ（人）,0540,個人会員数規模別計
18,010020,従業者数Ａ（人）,0550,５千人未満
97,010020,従業者数Ａ（人）,0560,５千人以上１万人未満
186,010020,従業者数Ａ（人）,0570,１万人以上５万人未満
108,010020,従業者数Ａ（人）,0580,５万人以上１０万人未満
