value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
101.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016001212,2016年12月
102.1,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016001111,2016年11月
102.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016001010,2016年10月
101.6,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000909,2016年9月
101.7,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000808,2016年8月
101.5,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000707,2016年7月
101.7,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000606,2016年6月
102,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000505,2016年5月
102,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000404,2016年4月
102,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000303,2016年3月
101.7,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000202,2016年2月
101.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000101,2016年1月
101.8,1,指数,0001,0001 総合,13A01,13100 東京都区部,2016000000,2016年
102.1,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015100000,2015年度
101.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015001212,2015年12月
101.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015001111,2015年11月
102.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015001010,2015年10月
102.2,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000909,2015年9月
102.2,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000808,2015年8月
102,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000707,2015年7月
102.2,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000606,2015年6月
102.6,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000505,2015年5月
102.4,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000404,2015年4月
102.1,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000303,2015年3月
101.6,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000202,2015年2月
101.6,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000101,2015年1月
102.1,1,指数,0001,0001 総合,13A01,13100 東京都区部,2015000000,2015年
101.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014100000,2014年度
101.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014001212,2014年12月
101.8,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014001111,2014年11月
102.2,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014001010,2014年10月
102.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000909,2014年9月
102.1,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000808,2014年8月
101.8,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000707,2014年7月
101.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000606,2014年6月
102.1,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000505,2014年5月
101.7,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000404,2014年4月
99.8,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000303,2014年3月
99.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000202,2014年2月
99.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000101,2014年1月
101.4,1,指数,0001,0001 総合,13A01,13100 東京都区部,2014000000,2014年
99.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013100000,2013年度
99.7,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013001212,2013年12月
99.7,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013001111,2013年11月
99.6,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013001010,2013年10月
99.5,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000909,2013年9月
99.3,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000808,2013年8月
99,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000707,2013年7月
98.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000606,2013年6月
99,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000505,2013年5月
98.9,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000404,2013年4月
98.5,1,指数,0001,0001 総合,13A01,13100 東京都区部,2013000303,2013年3月
