value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
123611167,T01,総数,000,総数,001,総人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
829452,T01,総数,000,総数,002,総人口・死亡者数,00000,全国,1991000000,1991年,人
38026,T01,総数,000,総数,003,総人口・入国超過,00000,全国,1991000000,1991年,人
124043418,T01,総数,000,総数,004,総人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
122721397,T01,総数,000,総数,005,日本人人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
824738,T01,総数,000,総数,006,日本人人口・死亡者数,00000,全国,1991000000,1991年,人
-18919,T01,総数,000,総数,007,日本人人口・入国超過,00000,全国,1991000000,1991年,人
8659,T01,総数,000,総数,008,日本人人口・国籍の異動による純増,00000,全国,1991000000,1991年,人
123102184,T01,総数,000,総数,009,日本人人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
60696724,T01,総数,001,男,001,総人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
450645,T01,総数,001,男,002,総人口・死亡者数,00000,全国,1991000000,1991年,人
29804,T01,総数,001,男,003,総人口・入国超過,00000,全国,1991000000,1991年,人
60904565,T01,総数,001,男,004,総人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
60248969,T01,総数,001,男,005,日本人人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
447664,T01,総数,001,男,006,日本人人口・死亡者数,00000,全国,1991000000,1991年,人
-5497,T01,総数,001,男,007,日本人人口・入国超過,00000,全国,1991000000,1991年,人
4342,T01,総数,001,男,008,日本人人口・国籍の異動による純増,00000,全国,1991000000,1991年,人
60424812,T01,総数,001,男,009,日本人人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
62914443,T01,総数,002,女,001,総人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
378807,T01,総数,002,女,002,総人口・死亡者数,00000,全国,1991000000,1991年,人
8222,T01,総数,002,女,003,総人口・入国超過,00000,全国,1991000000,1991年,人
63138853,T01,総数,002,女,004,総人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
62472428,T01,総数,002,女,005,日本人人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
377074,T01,総数,002,女,006,日本人人口・死亡者数,00000,全国,1991000000,1991年,人
-13422,T01,総数,002,女,007,日本人人口・入国超過,00000,全国,1991000000,1991年,人
4317,T01,総数,002,女,008,日本人人口・国籍の異動による純増,00000,全国,1991000000,1991年,人
62677372,T01,総数,002,女,009,日本人人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
1223677,400,0歳未満,000,総数,001,総人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
4475,400,0歳未満,000,総数,002,総人口・死亡者数,00000,全国,1991000000,1991年,人
-1716,400,0歳未満,000,総数,003,総人口・入国超過,00000,全国,1991000000,1991年,人
-,400,0歳未満,000,総数,004,総人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
1215785,400,0歳未満,000,総数,005,日本人人口・平成２年１０月１日人口,00000,全国,1991000000,1991年,人
4439,400,0歳未満,000,総数,006,日本人人口・死亡者数,00000,全国,1991000000,1991年,人
-2122,400,0歳未満,000,総数,007,日本人人口・入国超過,00000,全国,1991000000,1991年,人
12,400,0歳未満,000,総数,008,日本人人口・国籍の異動による純増,00000,全国,1991000000,1991年,人
-,400,0歳未満,000,総数,009,日本人人口・平成３年１０月１日人口,00000,全国,1991000000,1991年,人
