value,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,39B20,高知県　高知中央・高吾・土長,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,39B30,高知県　高幡,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,39B40,高知県　幡多,1997000000,1997年
21,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40000,福岡県,1997000000,1997年
18,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B01,福岡県　人口10万以上市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B02,福岡県　人口5～10万市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B03,福岡県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B04,福岡県　町村,1997000000,1997年
10,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B10,福岡県　福岡,1997000000,1997年
4,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B20,福岡県　北九州,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B30,福岡県　筑豊,1997000000,1997年
6,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,40B40,福岡県　筑後,1997000000,1997年
4,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41000,佐賀県,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B01,佐賀県　人口10万以上市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B02,佐賀県　人口5～10万市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B03,佐賀県　人口5万未満市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B04,佐賀県　町村,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B10,佐賀県　佐城,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B20,佐賀県　三神,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B30,佐賀県　東松,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,41B40,佐賀県　西杵藤,1997000000,1997年
4,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42000,長崎県,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B01,長崎県　人口10万以上市,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B02,長崎県　人口5～10万市,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B03,長崎県　人口5万未満市,1997000000,1997年
2,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B04,長崎県　町村,1997000000,1997年
3,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B10,長崎県　長崎,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B20,長崎県　県央・島原,1997000000,1997年
-,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B30,長崎県　県北,1997000000,1997年
1,330,量販専門店　ディスカウント販売無し,005,住宅地周辺商店街以外,42B40,長崎県　離島,1997000000,1997年
