value,cat01,cat01_label,cat02,cat02_label
1051,010010,経営組織別計,010010,企業数
25113,010010,経営組織別計,010020,従業者数Ａ（人）
25424,010010,経営組織別計,010030,従事者数（人）
21867,010010,経営組織別計,010040,調査対象業務の従事者数Ｂ（人）
1026693,010010,経営組織別計,010050,年間売上高計Ｃ(百万円）
842108,010010,経営組織別計,010060,調査対象業務の年間売上高（主業）Ｄ(百万円）
184585,010010,経営組織別計,010070,その他業務の年間売上高（従業）(百万円）
24,010010,経営組織別計,020010,１企業所当たり従業者数（人）
21,010010,経営組織別計,020020,１企業所当たり調査対象業務の従事者数
97687,010010,経営組織別計,020030,１企業所当たり年間売上高（万円）
80124,010010,経営組織別計,020040,１企業所当たり調査対象業務による年間売上高（万円）
4088,010010,経営組織別計,020050,従業者１人当たりの年間売上高Ｃ／Ａ（万円）
3851,010010,経営組織別計,020060,調査対象業務従事者１人当たりの業務の年間売上高Ｄ／Ｂ（万円）
917,010020,会社,010010,企業数
24617,010020,会社,010020,従業者数Ａ（人）
24938,010020,会社,010030,従事者数（人）
21443,010020,会社,010040,調査対象業務の従事者数Ｂ（人）
1023379,010020,会社,010050,年間売上高計Ｃ(百万円）
839431,010020,会社,010060,調査対象業務の年間売上高（主業）Ｄ(百万円）
183948,010020,会社,010070,その他業務の年間売上高（従業）(百万円）
27,010020,会社,020010,１企業所当たり従業者数（人）
23,010020,会社,020020,１企業所当たり調査対象業務の従事者数
111601,010020,会社,020030,１企業所当たり年間売上高（万円）
91541,010020,会社,020040,１企業所当たり調査対象業務による年間売上高（万円）
4157,010020,会社,020050,従業者１人当たりの年間売上高Ｃ／Ａ（万円）
3915,010020,会社,020060,調査対象業務従事者１人当たりの業務の年間売上高Ｄ／Ｂ（万円）
3,010030,会社以外の法人・団体,010010,企業数
79,010030,会社以外の法人・団体,010020,従業者数Ａ（人）
79,010030,会社以外の法人・団体,010030,従事者数（人）
30,010030,会社以外の法人・団体,010040,調査対象業務の従事者数Ｂ（人）
1930,010030,会社以外の法人・団体,010050,年間売上高計Ｃ(百万円）
1343,010030,会社以外の法人・団体,010060,調査対象業務の年間売上高（主業）Ｄ(百万円）
587,010030,会社以外の法人・団体,010070,その他業務の年間売上高（従業）(百万円）
26,010030,会社以外の法人・団体,020010,１企業所当たり従業者数（人）
10,010030,会社以外の法人・団体,020020,１企業所当たり調査対象業務の従事者数
64341,010030,会社以外の法人・団体,020030,１企業所当たり年間売上高（万円）
44776,010030,会社以外の法人・団体,020040,１企業所当たり調査対象業務による年間売上高（万円）
2443,010030,会社以外の法人・団体,020050,従業者１人当たりの年間売上高Ｃ／Ａ（万円）
