value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label,unit
127767994,T01,総数,000,総数,001,総人口・2005年10月1日現在人口,00000,全国,2006000000,2006年,人
1090152,T01,総数,000,総数,002,総人口・死亡者数（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
1221,T01,総数,000,総数,003,総人口・入国超過（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
127769510,T01,総数,000,総数,004,総人口・2006年10月1日現在人口,00000,全国,2006000000,2006年,人
126204902,T01,総数,000,総数,005,日本人人口・2005年10月1日現在人口,00000,全国,2006000000,2006年,人
1084315,T01,総数,000,総数,006,日本人人口・死亡者数（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
-59896,T01,総数,000,総数,007,日本人人口・入国超過（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
15203,T01,総数,000,総数,008,日本人人口・国籍の異動による純増（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
126154344,T01,総数,000,総数,009,日本人人口・2006年10月1日現在人口,00000,全国,2006000000,2006年,人
62348977,T01,総数,001,男,001,総人口・2005年10月1日現在人口,00000,全国,2006000000,2006年,人
585799,T01,総数,001,男,002,総人口・死亡者数（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
6851,T01,総数,001,男,003,総人口・入国超過（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
62329662,T01,総数,001,男,004,総人口・2006年10月1日現在人口,00000,全国,2006000000,2006年,人
61617893,T01,総数,001,男,005,日本人人口・2005年10月1日現在人口,00000,全国,2006000000,2006年,人
582318,T01,総数,001,男,006,日本人人口・死亡者数（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
-27338,T01,総数,001,男,007,日本人人口・入国超過（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
6446,T01,総数,001,男,008,日本人人口・国籍の異動による純増（2005年10月1日～2006年9月30日）,00000,全国,2006000000,2006年,人
61568146,T01,総数,001,男,009,日本人人口・2006年10月1日現在人口,00000,全国,2006000000,2006年,人
