value,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
20296,301,総数,401,総数,001,総数,00000,全国,1997000000,1997年
3883,301,総数,401,総数,001,総数,00012,大都市,1997000000,1997年
8715,301,総数,401,総数,001,総数,00013,中都市,1997000000,1997年
1380,301,総数,401,総数,001,総数,00014,人口50～100万未満市,1997000000,1997年
3629,301,総数,401,総数,001,総数,00015,人口30～50万未満市,1997000000,1997年
3706,301,総数,401,総数,001,総数,00016,人口15～30万未満市,1997000000,1997年
5751,301,総数,401,総数,001,総数,00018,小都市Ａ,1997000000,1997年
2610,301,総数,401,総数,001,総数,00019,人口10～15万未満市,1997000000,1997年
3141,301,総数,401,総数,001,総数,00020,人口5～10万未満市,1997000000,1997年
1084,301,総数,401,総数,001,総数,00021,小都市Ｂ,1997000000,1997年
863,301,総数,401,総数,001,総数,00022,町村,1997000000,1997年
1104,301,総数,401,総数,001,総数,01000,北海道,1997000000,1997年
292,301,総数,401,総数,001,総数,02000,青森県,1997000000,1997年
212,301,総数,401,総数,001,総数,03000,岩手県,1997000000,1997年
398,301,総数,401,総数,001,総数,04000,宮城県,1997000000,1997年
206,301,総数,401,総数,001,総数,05000,秋田県,1997000000,1997年
307,301,総数,401,総数,001,総数,06000,山形県,1997000000,1997年
335,301,総数,401,総数,001,総数,07000,福島県,1997000000,1997年
427,301,総数,401,総数,001,総数,08000,茨城県,1997000000,1997年
347,301,総数,401,総数,001,総数,09000,栃木県,1997000000,1997年
411,301,総数,401,総数,001,総数,10000,群馬県,1997000000,1997年
1061,301,総数,401,総数,001,総数,11000,埼玉県,1997000000,1997年
740,301,総数,401,総数,001,総数,12000,千葉県,1997000000,1997年
1660,301,総数,401,総数,001,総数,13000,東京都,1997000000,1997年
1084,301,総数,401,総数,001,総数,14000,神奈川県,1997000000,1997年
428,301,総数,401,総数,001,総数,15000,新潟県,1997000000,1997年
259,301,総数,401,総数,001,総数,16000,富山県,1997000000,1997年
245,301,総数,401,総数,001,総数,17000,石川県,1997000000,1997年
201,301,総数,401,総数,001,総数,18000,福井県,1997000000,1997年
112,301,総数,401,総数,001,総数,19000,山梨県,1997000000,1997年
391,301,総数,401,総数,001,総数,20000,長野県,1997000000,1997年
267,301,総数,401,総数,001,総数,21000,岐阜県,1997000000,1997年
590,301,総数,401,総数,001,総数,22000,静岡県,1997000000,1997年
1276,301,総数,401,総数,001,総数,23000,愛知県,1997000000,1997年
302,301,総数,401,総数,001,総数,24000,三重県,1997000000,1997年
161,301,総数,401,総数,001,総数,25000,滋賀県,1997000000,1997年
346,301,総数,401,総数,001,総数,26000,京都府,1997000000,1997年
1283,301,総数,401,総数,001,総数,27000,大阪府,1997000000,1997年
736,301,総数,401,総数,001,総数,28000,兵庫県,1997000000,1997年
196,301,総数,401,総数,001,総数,29000,奈良県,1997000000,1997年
173,301,総数,401,総数,001,総数,30000,和歌山県,1997000000,1997年
153,301,総数,401,総数,001,総数,31000,鳥取県,1997000000,1997年
146,301,総数,401,総数,001,総数,32000,島根県,1997000000,1997年
399,301,総数,401,総数,001,総数,33000,岡山県,1997000000,1997年
625,301,総数,401,総数,001,総数,34000,広島県,1997000000,1997年
317,301,総数,401,総数,001,総数,35000,山口県,1997000000,1997年
123,301,総数,401,総数,001,総数,36000,徳島県,1997000000,1997年
165,301,総数,401,総数,001,総数,37000,香川県,1997000000,1997年
234,301,総数,401,総数,001,総数,38000,愛媛県,1997000000,1997年
154,301,総数,401,総数,001,総数,39000,高知県,1997000000,1997年
995,301,総数,401,総数,001,総数,40000,福岡県,1997000000,1997年
133,301,総数,401,総数,001,総数,41000,佐賀県,1997000000,1997年
181,301,総数,401,総数,001,総数,42000,長崎県,1997000000,1997年
233,301,総数,401,総数,001,総数,43000,熊本県,1997000000,1997年
288,301,総数,401,総数,001,総数,44000,大分県,1997000000,1997年
211,301,総数,401,総数,001,総数,45000,宮崎県,1997000000,1997年
228,301,総数,401,総数,001,総数,46000,鹿児島県,1997000000,1997年
