value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,unit
127692273,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01000,総数,00000,全国,人
1086889,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,02001,0歳未満,00000,全国,人
1100953,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01001,0歳,00000,全国,人
1086880,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01002,1歳,00000,全国,人
1074548,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01003,2歳,00000,全国,人
1050986,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01004,3歳,00000,全国,人
1091409,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01005,4歳,00000,全国,人
1115271,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01006,5歳,00000,全国,人
1147498,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01007,6歳,00000,全国,人
1162063,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01008,7歳,00000,全国,人
1181369,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01009,8歳,00000,全国,人
1180853,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01010,9歳,00000,全国,人
1194971,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01011,10歳,00000,全国,人
1189561,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01012,11歳,00000,全国,人
1184564,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01013,12歳,00000,全国,人
1207161,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01014,13歳,00000,全国,人
1208149,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01015,14歳,00000,全国,人
1190807,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01016,15歳,00000,全国,人
1212693,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01017,16歳,00000,全国,人
1211376,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01018,17歳,00000,全国,人
1244982,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01019,18歳,00000,全国,人
1295358,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01020,19歳,00000,全国,人
1344147,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01021,20歳,00000,全国,人
1385750,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01022,21歳,00000,全国,人
1415060,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01023,22歳,00000,全国,人
1465470,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01024,23歳,00000,全国,人
1494684,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01025,24歳,00000,全国,人
1499597,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01026,25歳,00000,全国,人
1483321,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01027,26歳,00000,全国,人
1496327,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01028,27歳,00000,全国,人
1555911,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01029,28歳,00000,全国,人
1594937,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01030,29歳,00000,全国,人
1658817,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01031,30歳,00000,全国,人
1703530,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01032,31歳,00000,全国,人
1788170,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01033,32歳,00000,全国,人
1873668,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01034,33歳,00000,全国,人
1971451,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01035,34歳,00000,全国,人
2007811,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01036,35歳,00000,全国,人
1968787,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01037,36歳,00000,全国,人
1923748,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01038,37歳,00000,全国,人
1869398,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01039,38歳,00000,全国,人
1839018,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01040,39歳,00000,全国,人
1804867,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01041,40歳,00000,全国,人
1798798,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01042,41歳,00000,全国,人
1411293,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01043,42歳,00000,全国,人
1750534,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01044,43歳,00000,全国,人
1640901,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01045,44歳,00000,全国,人
1598350,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01046,45歳,00000,全国,人
1546424,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01047,46歳,00000,全国,人
1526951,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01048,47歳,00000,全国,人
1539384,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01049,48歳,00000,全国,人
1570064,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01050,49歳,00000,全国,人
1527261,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01051,50歳,00000,全国,人
1487373,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01052,51歳,00000,全国,人
1565887,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01053,52歳,00000,全国,人
1620323,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01054,53歳,00000,全国,人
1620905,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01055,54歳,00000,全国,人
1724832,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01056,55歳,00000,全国,人
1820634,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01057,56歳,00000,全国,人
1932509,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01058,57歳,00000,全国,人
2080001,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01059,58歳,00000,全国,人
2279650,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01060,59歳,00000,全国,人
2260955,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01061,60歳,00000,全国,人
2145994,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01062,61歳,00000,全国,人
1344579,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01063,62歳,00000,全国,人
1444863,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01064,63歳,00000,全国,人
1761595,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01065,64歳,00000,全国,人
1709539,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01066,65歳,00000,全国,人
1751824,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01067,66歳,00000,全国,人
1699784,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01068,67歳,00000,全国,人
1542481,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01069,68歳,00000,全国,人
1337014,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01070,69歳,00000,全国,人
1420388,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01071,70歳,00000,全国,人
1450462,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01072,71歳,00000,全国,人
1441333,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01073,72歳,00000,全国,人
1367101,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01074,73歳,00000,全国,人
1278078,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01075,74歳,00000,全国,人
1262102,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01076,75歳,00000,全国,人
1212244,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01077,76歳,00000,全国,人
1149199,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01078,77歳,00000,全国,人
1067164,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01079,78歳,00000,全国,人
1014713,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01080,79歳,00000,全国,人
953214,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01081,80歳,00000,全国,人
886786,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01082,81歳,00000,全国,人
835885,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01083,82歳,00000,全国,人
745157,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01084,83歳,00000,全国,人
638234,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01085,84歳,00000,全国,人
560548,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01086,85歳,00000,全国,人
495110,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01087,86歳,00000,全国,人
429869,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01088,87歳,00000,全国,人
400969,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,01089,88歳,00000,全国,人
1567094,008,人口,019,総人口 　　2008年10月1日現在人口,000,男女計,02092,89＋90以上,00000,全国,人
62251004,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01000,総数,00000,全国,人
557785,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,02001,0歳未満,00000,全国,人
564723,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01001,0歳,00000,全国,人
557657,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01002,1歳,00000,全国,人
551353,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01003,2歳,00000,全国,人
536972,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01004,3歳,00000,全国,人
558305,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01005,4歳,00000,全国,人
571703,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01006,5歳,00000,全国,人
588164,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01007,6歳,00000,全国,人
595941,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01008,7歳,00000,全国,人
606727,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01009,8歳,00000,全国,人
605327,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01010,9歳,00000,全国,人
612219,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01011,10歳,00000,全国,人
608860,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01012,11歳,00000,全国,人
606958,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01013,12歳,00000,全国,人
618043,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01014,13歳,00000,全国,人
619150,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01015,14歳,00000,全国,人
610474,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01016,15歳,00000,全国,人
622219,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01017,16歳,00000,全国,人
620834,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01018,17歳,00000,全国,人
636418,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01019,18歳,00000,全国,人
662235,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01020,19歳,00000,全国,人
688250,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01021,20歳,00000,全国,人
709790,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01022,21歳,00000,全国,人
729352,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01023,22歳,00000,全国,人
754812,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01024,23歳,00000,全国,人
767866,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01025,24歳,00000,全国,人
769488,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01026,25歳,00000,全国,人
756157,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01027,26歳,00000,全国,人
763283,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01028,27歳,00000,全国,人
792345,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01029,28歳,00000,全国,人
811042,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01030,29歳,00000,全国,人
841618,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01031,30歳,00000,全国,人
864751,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01032,31歳,00000,全国,人
907878,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01033,32歳,00000,全国,人
950894,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01034,33歳,00000,全国,人
1000337,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01035,34歳,00000,全国,人
1015788,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01036,35歳,00000,全国,人
997609,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01037,36歳,00000,全国,人
972759,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01038,37歳,00000,全国,人
945129,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01039,38歳,00000,全国,人
927194,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01040,39歳,00000,全国,人
910329,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01041,40歳,00000,全国,人
907664,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01042,41歳,00000,全国,人
709669,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01043,42歳,00000,全国,人
881551,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01044,43歳,00000,全国,人
826894,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01045,44歳,00000,全国,人
803961,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01046,45歳,00000,全国,人
776972,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01047,46歳,00000,全国,人
767442,008,人口,019,総人口 　　2008年10月1日現在人口,001,男,01048,47歳,00000,全国,人
