value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label,unit
105.0,009,9歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1501,009,9歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
769,009,9歳,006,日本人・男,00000,全国,1991000000,1991年,千人
732,009,9歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.0,009,9歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1531,010,10歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
785,010,10歳,002,総人口・男,00000,全国,1991000000,1991年,千人
746,010,10歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.3,010,10歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1521,010,10歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
780,010,10歳,006,日本人・男,00000,全国,1991000000,1991年,千人
741,010,10歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.3,010,10歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1599,011,11歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
820,011,11歳,002,総人口・男,00000,全国,1991000000,1991年,千人
779,011,11歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.3,011,11歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1589,011,11歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
815,011,11歳,006,日本人・男,00000,全国,1991000000,1991年,千人
774,011,11歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.3,011,11歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1640,012,12歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
842,012,12歳,002,総人口・男,00000,全国,1991000000,1991年,千人
798,012,12歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.5,012,12歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1630,012,12歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
837,012,12歳,006,日本人・男,00000,全国,1991000000,1991年,千人
793,012,12歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.5,012,12歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1710,013,13歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
876,013,13歳,002,総人口・男,00000,全国,1991000000,1991年,千人
834,013,13歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.1,013,13歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1699,013,13歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
871,013,13歳,006,日本人・男,00000,全国,1991000000,1991年,千人
829,013,13歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.1,013,13歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1754,014,14歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
900,014,14歳,002,総人口・男,00000,全国,1991000000,1991年,千人
855,014,14歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.3,014,14歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1744,014,14歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
894,014,14歳,006,日本人・男,00000,全国,1991000000,1991年,千人
849,014,14歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.3,014,14歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1845,015,15歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
947,015,15歳,002,総人口・男,00000,全国,1991000000,1991年,千人
898,015,15歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.5,015,15歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1834,015,15歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
942,015,15歳,006,日本人・男,00000,全国,1991000000,1991年,千人
893,015,15歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.5,015,15歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
1926,016,16歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
988,016,16歳,002,総人口・男,00000,全国,1991000000,1991年,千人
938,016,16歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.4,016,16歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
1914,016,16歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
982,016,16歳,006,日本人・男,00000,全国,1991000000,1991年,千人
932,016,16歳,007,日本人・女,00000,全国,1991000000,1991年,千人
105.4,016,16歳,008,日本人・人口性比,00000,全国,1991000000,1991年,女＝１００
2035,017,17歳,001,総人口・男女計,00000,全国,1991000000,1991年,千人
1045,017,17歳,002,総人口・男,00000,全国,1991000000,1991年,千人
989,017,17歳,003,総人口・女,00000,全国,1991000000,1991年,千人
105.7,017,17歳,004,総人口・人口性比,00000,全国,1991000000,1991年,女＝１００
2022,017,17歳,005,日本人・男女計,00000,全国,1991000000,1991年,千人
1039,017,17歳,006,日本人・男,00000,全国,1991000000,1991年,千人
983,017,17歳,007,日本人・女,00000,全国,1991000000,1991年,千人
