value,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label
18730,301,総数,411,総数,001,総数,00000,全国,1997000000,1997年
3489,301,総数,411,総数,001,総数,00012,大都市,1997000000,1997年
8088,301,総数,411,総数,001,総数,00013,中都市,1997000000,1997年
1278,301,総数,411,総数,001,総数,00014,人口50～100万未満市,1997000000,1997年
3381,301,総数,411,総数,001,総数,00015,人口30～50万未満市,1997000000,1997年
3429,301,総数,411,総数,001,総数,00016,人口15～30万未満市,1997000000,1997年
5360,301,総数,411,総数,001,総数,00018,小都市Ａ,1997000000,1997年
2440,301,総数,411,総数,001,総数,00019,人口10～15万未満市,1997000000,1997年
2920,301,総数,411,総数,001,総数,00020,人口5～10万未満市,1997000000,1997年
1005,301,総数,411,総数,001,総数,00021,小都市Ｂ,1997000000,1997年
788,301,総数,411,総数,001,総数,00022,町村,1997000000,1997年
1045,301,総数,411,総数,001,総数,01000,北海道,1997000000,1997年
268,301,総数,411,総数,001,総数,02000,青森県,1997000000,1997年
199,301,総数,411,総数,001,総数,03000,岩手県,1997000000,1997年
370,301,総数,411,総数,001,総数,04000,宮城県,1997000000,1997年
195,301,総数,411,総数,001,総数,05000,秋田県,1997000000,1997年
291,301,総数,411,総数,001,総数,06000,山形県,1997000000,1997年
307,301,総数,411,総数,001,総数,07000,福島県,1997000000,1997年
395,301,総数,411,総数,001,総数,08000,茨城県,1997000000,1997年
330,301,総数,411,総数,001,総数,09000,栃木県,1997000000,1997年
373,301,総数,411,総数,001,総数,10000,群馬県,1997000000,1997年
988,301,総数,411,総数,001,総数,11000,埼玉県,1997000000,1997年
694,301,総数,411,総数,001,総数,12000,千葉県,1997000000,1997年
1499,301,総数,411,総数,001,総数,13000,東京都,1997000000,1997年
986,301,総数,411,総数,001,総数,14000,神奈川県,1997000000,1997年
407,301,総数,411,総数,001,総数,15000,新潟県,1997000000,1997年
242,301,総数,411,総数,001,総数,16000,富山県,1997000000,1997年
231,301,総数,411,総数,001,総数,17000,石川県,1997000000,1997年
187,301,総数,411,総数,001,総数,18000,福井県,1997000000,1997年
103,301,総数,411,総数,001,総数,19000,山梨県,1997000000,1997年
371,301,総数,411,総数,001,総数,20000,長野県,1997000000,1997年
249,301,総数,411,総数,001,総数,21000,岐阜県,1997000000,1997年
534,301,総数,411,総数,001,総数,22000,静岡県,1997000000,1997年
1197,301,総数,411,総数,001,総数,23000,愛知県,1997000000,1997年
