value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
43,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,31000,鳥取県,2023100000,2023年度,戸・件
79,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,32000,島根県,2023100000,2023年度,戸・件
241,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,33000,岡山県,2023100000,2023年度,戸・件
546,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,34000,広島県,2023100000,2023年度,戸・件
196,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,35000,山口県,2023100000,2023年度,戸・件
149,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,36000,徳島県,2023100000,2023年度,戸・件
87,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,37000,香川県,2023100000,2023年度,戸・件
190,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,38000,愛媛県,2023100000,2023年度,戸・件
148,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,39000,高知県,2023100000,2023年度,戸・件
612,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,40000,福岡県,2023100000,2023年度,戸・件
210,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,41000,佐賀県,2023100000,2023年度,戸・件
243,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,42000,長崎県,2023100000,2023年度,戸・件
185,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,43000,熊本県,2023100000,2023年度,戸・件
47,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,44000,大分県,2023100000,2023年度,戸・件
300,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,45000,宮崎県,2023100000,2023年度,戸・件
107,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,46000,鹿児島県,2023100000,2023年度,戸・件
842,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,11,計,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,47000,沖縄県,2023100000,2023年度,戸・件
27281,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,00000,全国,2023100000,2023年度,戸・件
53,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,01000,北海道,2023100000,2023年度,戸・件
264,100,建築により除却住宅を伴う新設住宅着工戸数,11,計,12,持家,001,再建築後の利用関係,001,建築を伴う除却住宅の関係,02000,青森県,2023100000,2023年度,戸・件
