value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
8876,2,勤労者世帯,001,平均,00030,特別収入,00000,全国,1984000000,1984年
8832,2,勤労者世帯,001,平均,00030,特別収入,00415,3大都市圏平均,1984000000,1984年
4134,2,勤労者世帯,001,平均,00031,受贈金,00000,全国,1984000000,1984年
3879,2,勤労者世帯,001,平均,00031,受贈金,00415,3大都市圏平均,1984000000,1984年
4743,2,勤労者世帯,001,平均,00032,その他,00000,全国,1984000000,1984年
4953,2,勤労者世帯,001,平均,00032,その他,00415,3大都市圏平均,1984000000,1984年
204798,2,勤労者世帯,001,平均,00033,実収入以外の収入,00000,全国,1984000000,1984年
232692,2,勤労者世帯,001,平均,00033,実収入以外の収入,00415,3大都市圏平均,1984000000,1984年
184650,2,勤労者世帯,001,平均,00034,貯金引出,00000,全国,1984000000,1984年
210915,2,勤労者世帯,001,平均,00034,貯金引出,00415,3大都市圏平均,1984000000,1984年
2262,2,勤労者世帯,001,平均,00035,保険取金,00000,全国,1984000000,1984年
2058,2,勤労者世帯,001,平均,00035,保険取金,00415,3大都市圏平均,1984000000,1984年
2533,2,勤労者世帯,001,平均,00036,土地家屋借入金,00000,全国,1984000000,1984年
3051,2,勤労者世帯,001,平均,00036,土地家屋借入金,00415,3大都市圏平均,1984000000,1984年
1377,2,勤労者世帯,001,平均,00037,他の借入金,00000,全国,1984000000,1984年
1181,2,勤労者世帯,001,平均,00037,他の借入金,00415,3大都市圏平均,1984000000,1984年
6078,2,勤労者世帯,001,平均,00038,月賦,00000,全国,1984000000,1984年
5217,2,勤労者世帯,001,平均,00038,月賦,00415,3大都市圏平均,1984000000,1984年
5349,2,勤労者世帯,001,平均,00039,掛け買い,00000,全国,1984000000,1984年
6289,2,勤労者世帯,001,平均,00039,掛け買い,00415,3大都市圏平均,1984000000,1984年
876,2,勤労者世帯,001,平均,00040,有価証券売却,00000,全国,1984000000,1984年
1388,2,勤労者世帯,001,平均,00040,有価証券売却,00415,3大都市圏平均,1984000000,1984年
1197,2,勤労者世帯,001,平均,00041,財産売却,00000,全国,1984000000,1984年
2150,2,勤労者世帯,001,平均,00041,財産売却,00415,3大都市圏平均,1984000000,1984年
478,2,勤労者世帯,001,平均,00042,（「実収入以外の収入」のその他）,00000,全国,1984000000,1984年
443,2,勤労者世帯,001,平均,00042,（「実収入以外の収入」のその他）,00415,3大都市圏平均,1984000000,1984年
90586,2,勤労者世帯,001,平均,00043,繰入金,00000,全国,1984000000,1984年
95355,2,勤労者世帯,001,平均,00043,繰入金,00415,3大都市圏平均,1984000000,1984年
14948,2,勤労者世帯,001,平均,00044,現物収入,00000,全国,1984000000,1984年
14432,2,勤労者世帯,001,平均,00044,現物収入,00415,3大都市圏平均,1984000000,1984年
573,2,勤労者世帯,001,平均,00045,現物給与,00000,全国,1984000000,1984年
785,2,勤労者世帯,001,平均,00045,現物給与,00415,3大都市圏平均,1984000000,1984年
14375,2,勤労者世帯,001,平均,00046,自家産物・その他,00000,全国,1984000000,1984年
13647,2,勤労者世帯,001,平均,00046,自家産物・その他,00415,3大都市圏平均,1984000000,1984年
316778,2,勤労者世帯,001,平均,00047,可処分所得,00000,全国,1984000000,1984年
331350,2,勤労者世帯,001,平均,00047,可処分所得,00415,3大都市圏平均,1984000000,1984年
671248,2,勤労者世帯,001,平均,00048,支出総額,00000,全国,1984000000,1984年
723478,2,勤労者世帯,001,平均,00048,支出総額,00415,3大都市圏平均,1984000000,1984年
332273,2,勤労者世帯,001,平均,00049,実支出,00000,全国,1984000000,1984年
351088,2,勤労者世帯,001,平均,00049,実支出,00415,3大都市圏平均,1984000000,1984年
273188,2,勤労者世帯,001,平均,00050,消費支出,00000,全国,1984000000,1984年
287006,2,勤労者世帯,001,平均,00050,消費支出,00415,3大都市圏平均,1984000000,1984年
76663,2,勤労者世帯,001,平均,00051,食料,00000,全国,1984000000,1984年
82369,2,勤労者世帯,001,平均,00051,食料,00415,3大都市圏平均,1984000000,1984年
9382,2,勤労者世帯,001,平均,00052,穀類,00000,全国,1984000000,1984年
10080,2,勤労者世帯,001,平均,00052,穀類,00415,3大都市圏平均,1984000000,1984年
5692,2,勤労者世帯,001,平均,00053,米類,00000,全国,1984000000,1984年
5936,2,勤労者世帯,001,平均,00053,米類,00415,3大都市圏平均,1984000000,1984年
2086,2,勤労者世帯,001,平均,00054,パン,00000,全国,1984000000,1984年
2415,2,勤労者世帯,001,平均,00054,パン,00415,3大都市圏平均,1984000000,1984年
1316,2,勤労者世帯,001,平均,00055,めん類,00000,全国,1984000000,1984年
1409,2,勤労者世帯,001,平均,00055,めん類,00415,3大都市圏平均,1984000000,1984年
287,2,勤労者世帯,001,平均,00056,穀粉・その他,00000,全国,1984000000,1984年
320,2,勤労者世帯,001,平均,00056,穀粉・その他,00415,3大都市圏平均,1984000000,1984年
10431,2,勤労者世帯,001,平均,00057,魚介類,00000,全国,1984000000,1984年
10452,2,勤労者世帯,001,平均,00057,魚介類,00415,3大都市圏平均,1984000000,1984年
6823,2,勤労者世帯,001,平均,00058,生鮮魚介,00000,全国,1984000000,1984年
6818,2,勤労者世帯,001,平均,00058,生鮮魚介,00415,3大都市圏平均,1984000000,1984年
2179,2,勤労者世帯,001,平均,00059,塩干魚介,00000,全国,1984000000,1984年
2188,2,勤労者世帯,001,平均,00059,塩干魚介,00415,3大都市圏平均,1984000000,1984年
906,2,勤労者世帯,001,平均,00060,魚肉練製品,00000,全国,1984000000,1984年
920,2,勤労者世帯,001,平均,00060,魚肉練製品,00415,3大都市圏平均,1984000000,1984年
523,2,勤労者世帯,001,平均,00061,他の魚介加工品,00000,全国,1984000000,1984年
525,2,勤労者世帯,001,平均,00061,他の魚介加工品,00415,3大都市圏平均,1984000000,1984年
8641,2,勤労者世帯,001,平均,00062,肉類,00000,全国,1984000000,1984年
9642,2,勤労者世帯,001,平均,00062,肉類,00415,3大都市圏平均,1984000000,1984年
7229,2,勤労者世帯,001,平均,00063,生鮮肉,00000,全国,1984000000,1984年
8004,2,勤労者世帯,001,平均,00063,生鮮肉,00415,3大都市圏平均,1984000000,1984年
1412,2,勤労者世帯,001,平均,00064,加工肉,00000,全国,1984000000,1984年
1638,2,勤労者世帯,001,平均,00064,加工肉,00415,3大都市圏平均,1984000000,1984年
4084,2,勤労者世帯,001,平均,00065,乳卵類,00000,全国,1984000000,1984年
4280,2,勤労者世帯,001,平均,00065,乳卵類,00415,3大都市圏平均,1984000000,1984年
2111,2,勤労者世帯,001,平均,00066,牛乳,00000,全国,1984000000,1984年
2155,2,勤労者世帯,001,平均,00066,牛乳,00415,3大都市圏平均,1984000000,1984年
688,2,勤労者世帯,001,平均,00067,乳製品,00000,全国,1984000000,1984年
788,2,勤労者世帯,001,平均,00067,乳製品,00415,3大都市圏平均,1984000000,1984年
1285,2,勤労者世帯,001,平均,00068,卵,00000,全国,1984000000,1984年
1337,2,勤労者世帯,001,平均,00068,卵,00415,3大都市圏平均,1984000000,1984年
9087,2,勤労者世帯,001,平均,00069,野菜・海草,00000,全国,1984000000,1984年
9975,2,勤労者世帯,001,平均,00069,野菜・海草,00415,3大都市圏平均,1984000000,1984年
6116,2,勤労者世帯,001,平均,00070,生鮮野菜,00000,全国,1984000000,1984年
6843,2,勤労者世帯,001,平均,00070,生鮮野菜,00415,3大都市圏平均,1984000000,1984年
722,2,勤労者世帯,001,平均,00071,乾物・海草,00000,全国,1984000000,1984年
760,2,勤労者世帯,001,平均,00071,乾物・海草,00415,3大都市圏平均,1984000000,1984年
1037,2,勤労者世帯,001,平均,00072,大豆加工品,00000,全国,1984000000,1984年
1073,2,勤労者世帯,001,平均,00072,大豆加工品,00415,3大都市圏平均,1984000000,1984年
1212,2,勤労者世帯,001,平均,00073,他の野菜・海草加工品,00000,全国,1984000000,1984年
1299,2,勤労者世帯,001,平均,00073,他の野菜・海草加工品,00415,3大都市圏平均,1984000000,1984年
4447,2,勤労者世帯,001,平均,00074,果物,00000,全国,1984000000,1984年
4601,2,勤労者世帯,001,平均,00074,果物,00415,3大都市圏平均,1984000000,1984年
4363,2,勤労者世帯,001,平均,00075,生鮮果物,00000,全国,1984000000,1984年
4513,2,勤労者世帯,001,平均,00075,生鮮果物,00415,3大都市圏平均,1984000000,1984年
84,2,勤労者世帯,001,平均,00076,果物加工品,00000,全国,1984000000,1984年
88,2,勤労者世帯,001,平均,00076,果物加工品,00415,3大都市圏平均,1984000000,1984年
3058,2,勤労者世帯,001,平均,00077,油脂・調味料,00000,全国,1984000000,1984年
3126,2,勤労者世帯,001,平均,00077,油脂・調味料,00415,3大都市圏平均,1984000000,1984年
499,2,勤労者世帯,001,平均,00078,油脂,00000,全国,1984000000,1984年
507,2,勤労者世帯,001,平均,00078,油脂,00415,3大都市圏平均,1984000000,1984年
2559,2,勤労者世帯,001,平均,00079,調味料,00000,全国,1984000000,1984年
2619,2,勤労者世帯,001,平均,00079,調味料,00415,3大都市圏平均,1984000000,1984年
5423,2,勤労者世帯,001,平均,00080,菓子類,00000,全国,1984000000,1984年
5675,2,勤労者世帯,001,平均,00080,菓子類,00415,3大都市圏平均,1984000000,1984年
3495,2,勤労者世帯,001,平均,00081,調理食品,00000,全国,1984000000,1984年
3942,2,勤労者世帯,001,平均,00081,調理食品,00415,3大都市圏平均,1984000000,1984年
