value,cat01,cat01_label,area,area_label,time,time_label
24976,10100,販売額（１０億円）,00051,近畿,28000000,2016年
25551,10100,販売額（１０億円）,00051,近畿,29000000,2017年
25822,10100,販売額（１０億円）,00051,近畿,30000000,2018年
24930,10100,販売額（１０億円）,00051,近畿,28010000,2016年度
25710,10100,販売額（１０億円）,00051,近畿,29010000,2017年度
6347,10100,販売額（１０億円）,00051,近畿,30000103,2018年 1 ～ 3 月
6347,10100,販売額（１０億円）,00051,近畿,30000406,2018年 4 ～ 6 月
6279,10100,販売額（１０億円）,00051,近畿,30000709,2018年 7 ～ 9 月
6849,10100,販売額（１０億円）,00051,近畿,30001012,2018年10～12月
2097,10100,販売額（１０億円）,00051,近畿,30000101,2018年1月
1983,10100,販売額（１０億円）,00051,近畿,30000202,2018年2月
2268,10100,販売額（１０億円）,00051,近畿,30000303,2018年3月
2159,10100,販売額（１０億円）,00051,近畿,30000404,2018年4月
2093,10100,販売額（１０億円）,00051,近畿,30000505,2018年5月
2095,10100,販売額（１０億円）,00051,近畿,30000606,2018年6月
2213,10100,販売額（１０億円）,00051,近畿,30000707,2018年7月
2064,10100,販売額（１０億円）,00051,近畿,30000808,2018年8月
2002,10100,販売額（１０億円）,00051,近畿,30000909,2018年9月
2108,10100,販売額（１０億円）,00051,近畿,30001010,2018年10月
2182,10100,販売額（１０億円）,00051,近畿,30001111,2018年11月
2560,10100,販売額（１０億円）,00051,近畿,30001212,2018年12月
8357,10100,販売額（１０億円）,00053,中国,28000000,2016年
9157,10100,販売額（１０億円）,00053,中国,29000000,2017年
9415,10100,販売額（１０億円）,00053,中国,30000000,2018年
8638,10100,販売額（１０億円）,00053,中国,28010000,2016年度
9236,10100,販売額（１０億円）,00053,中国,29010000,2017年度
2304,10100,販売額（１０億円）,00053,中国,30000103,2018年 1 ～ 3 月
2271,10100,販売額（１０億円）,00053,中国,30000406,2018年 4 ～ 6 月
2366,10100,販売額（１０億円）,00053,中国,30000709,2018年 7 ～ 9 月
2474,10100,販売額（１０億円）,00053,中国,30001012,2018年10～12月
756,10100,販売額（１０億円）,00053,中国,30000101,2018年1月
718,10100,販売額（１０億円）,00053,中国,30000202,2018年2月
830,10100,販売額（１０億円）,00053,中国,30000303,2018年3月
760,10100,販売額（１０億円）,00053,中国,30000404,2018年4月
752,10100,販売額（１０億円）,00053,中国,30000505,2018年5月
759,10100,販売額（１０億円）,00053,中国,30000606,2018年6月
810,10100,販売額（１０億円）,00053,中国,30000707,2018年7月
804,10100,販売額（１０億円）,00053,中国,30000808,2018年8月
752,10100,販売額（１０億円）,00053,中国,30000909,2018年9月
765,10100,販売額（１０億円）,00053,中国,30001010,2018年10月
776,10100,販売額（１０億円）,00053,中国,30001111,2018年11月
933,10100,販売額（１０億円）,00053,中国,30001212,2018年12月
4384,10100,販売額（１０億円）,00054,四国,28000000,2016年
4506,10100,販売額（１０億円）,00054,四国,29000000,2017年
4456,10100,販売額（１０億円）,00054,四国,30000000,2018年
4424,10100,販売額（１０億円）,00054,四国,28010000,2016年度
4473,10100,販売額（１０億円）,00054,四国,29010000,2017年度
1089,10100,販売額（１０億円）,00054,四国,30000103,2018年 1 ～ 3 月
1073,10100,販売額（１０億円）,00054,四国,30000406,2018年 4 ～ 6 月
1109,10100,販売額（１０億円）,00054,四国,30000709,2018年 7 ～ 9 月
1185,10100,販売額（１０億円）,00054,四国,30001012,2018年10～12月
359,10100,販売額（１０億円）,00054,四国,30000101,2018年1月
345,10100,販売額（１０億円）,00054,四国,30000202,2018年2月
385,10100,販売額（１０億円）,00054,四国,30000303,2018年3月
362,10100,販売額（１０億円）,00054,四国,30000404,2018年4月
362,10100,販売額（１０億円）,00054,四国,30000505,2018年5月
349,10100,販売額（１０億円）,00054,四国,30000606,2018年6月
379,10100,販売額（１０億円）,00054,四国,30000707,2018年7月
378,10100,販売額（１０億円）,00054,四国,30000808,2018年8月
352,10100,販売額（１０億円）,00054,四国,30000909,2018年9月
372,10100,販売額（１０億円）,00054,四国,30001010,2018年10月
377,10100,販売額（１０億円）,00054,四国,30001111,2018年11月
436,10100,販売額（１０億円）,00054,四国,30001212,2018年12月
16765,10100,販売額（１０億円）,00059,九州・沖縄,28000000,2016年
17197,10100,販売額（１０億円）,00059,九州・沖縄,29000000,2017年
17085,10100,販売額（１０億円）,00059,九州・沖縄,30000000,2018年
16957,10100,販売額（１０億円）,00059,九州・沖縄,28010000,2016年度
17149,10100,販売額（１０億円）,00059,九州・沖縄,29010000,2017年度
4178,10100,販売額（１０億円）,00059,九州・沖縄,30000103,2018年 1 ～ 3 月
4265,10100,販売額（１０億円）,00059,九州・沖縄,30000406,2018年 4 ～ 6 月
4222,10100,販売額（１０億円）,00059,九州・沖縄,30000709,2018年 7 ～ 9 月
4421,10100,販売額（１０億円）,00059,九州・沖縄,30001012,2018年10～12月
1383,10100,販売額（１０億円）,00059,九州・沖縄,30000101,2018年1月
1293,10100,販売額（１０億円）,00059,九州・沖縄,30000202,2018年2月
1501,10100,販売額（１０億円）,00059,九州・沖縄,30000303,2018年3月
1445,10100,販売額（１０億円）,00059,九州・沖縄,30000404,2018年4月
1430,10100,販売額（１０億円）,00059,九州・沖縄,30000505,2018年5月
1390,10100,販売額（１０億円）,00059,九州・沖縄,30000606,2018年6月
1450,10100,販売額（１０億円）,00059,九州・沖縄,30000707,2018年7月
1415,10100,販売額（１０億円）,00059,九州・沖縄,30000808,2018年8月
1357,10100,販売額（１０億円）,00059,九州・沖縄,30000909,2018年9月
1387,10100,販売額（１０億円）,00059,九州・沖縄,30001010,2018年10月
1408,10100,販売額（１０億円）,00059,九州・沖縄,30001111,2018年11月
1626,10100,販売額（１０億円）,00059,九州・沖縄,30001212,2018年12月
2.6,10900,前年（度、同期、同月）比（％）,00042,北海道,28000000,2016年
-0.2,10900,前年（度、同期、同月）比（％）,00042,北海道,29000000,2017年
-3.9,10900,前年（度、同期、同月）比（％）,00042,北海道,30000000,2018年
1.6,10900,前年（度、同期、同月）比（％）,00042,北海道,28010000,2016年度
-1.7,10900,前年（度、同期、同月）比（％）,00042,北海道,29010000,2017年度
-6.7,10900,前年（度、同期、同月）比（％）,00042,北海道,30000103,2018年 1 ～ 3 月
-4.5,10900,前年（度、同期、同月）比（％）,00042,北海道,30000406,2018年 4 ～ 6 月
-3.9,10900,前年（度、同期、同月）比（％）,00042,北海道,30000709,2018年 7 ～ 9 月
-0.5,10900,前年（度、同期、同月）比（％）,00042,北海道,30001012,2018年10～12月
-8.3,10900,前年（度、同期、同月）比（％）,00042,北海道,30000101,2018年1月
-3.9,10900,前年（度、同期、同月）比（％）,00042,北海道,30000202,2018年2月
-7.5,10900,前年（度、同期、同月）比（％）,00042,北海道,30000303,2018年3月
-3.4,10900,前年（度、同期、同月）比（％）,00042,北海道,30000404,2018年4月
-4.8,10900,前年（度、同期、同月）比（％）,00042,北海道,30000505,2018年5月
-5.4,10900,前年（度、同期、同月）比（％）,00042,北海道,30000606,2018年6月
-5.5,10900,前年（度、同期、同月）比（％）,00042,北海道,30000707,2018年7月
