value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
12965,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,29000,奈良県,2015000000,2015年,経営体
21209,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,30000,和歌山県,2015000000,2015年,経営体
18108,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,31000,鳥取県,2015000000,2015年,経営体
19870,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,32000,島根県,2015000000,2015年,経営体
36023,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,33000,岡山県,2015000000,2015年,経営体
29365,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,34000,広島県,2015000000,2015年,経営体
21151,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,35000,山口県,2015000000,2015年,経営体
18277,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,36000,徳島県,2015000000,2015年,経営体
20814,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,37000,香川県,2015000000,2015年,経営体
26637,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,38000,愛媛県,2015000000,2015年,経営体
15702,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,39000,高知県,2015000000,2015年,経営体
35414,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,40000,福岡県,2015000000,2015年,経営体
16937,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,41000,佐賀県,2015000000,2015年,経営体
21871,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,42000,長崎県,2015000000,2015年,経営体
41273,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,43000,熊本県,2015000000,2015年,経営体
25212,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,44000,大分県,2015000000,2015年,経営体
25985,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,45000,宮崎県,2015000000,2015年,経営体
39182,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,46000,鹿児島県,2015000000,2015年,経営体
14816,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,47000,沖縄県,2015000000,2015年,経営体
320989,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,60010,関東農政局,2015000000,2015年,経営体
87727,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,60020,東海農政局,2015000000,2015年,経営体
205947,100,経営者_雇い入れた実経営体数又は実農家数,100,合計,100,合計,60030,中国四国農政局,2015000000,2015年,経営体
1616,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,00000,全国,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50010,北海道地方,2015000000,2015年,経営体
1616,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50020,都府県,2015000000,2015年,経営体
277,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50030,東北地方,2015000000,2015年,経営体
118,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50040,北陸地方,2015000000,2015年,経営体
477,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50050,関東・東山地方,2015000000,2015年,経営体
155,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50060,北関東地方,2015000000,2015年,経営体
322,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50070,南関東地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50080,東山地方,2015000000,2015年,経営体
412,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50090,東海地方,2015000000,2015年,経営体
34,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50100,近畿地方,2015000000,2015年,経営体
41,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50110,中国地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50120,山陰地方,2015000000,2015年,経営体
41,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50130,山陽地方,2015000000,2015年,経営体
32,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50140,四国地方,2015000000,2015年,経営体
225,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50150,九州地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50160,北九州地方,2015000000,2015年,経営体
225,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50170,南九州地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,50180,沖縄地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,01000,北海道,2015000000,2015年,経営体
19,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,02000,青森県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,03000,岩手県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,04000,宮城県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,05000,秋田県,2015000000,2015年,経営体
258,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,06000,山形県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,07000,福島県,2015000000,2015年,経営体
81,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,08000,茨城県,2015000000,2015年,経営体
48,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,09000,栃木県,2015000000,2015年,経営体
26,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,10000,群馬県,2015000000,2015年,経営体
14,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,11000,埼玉県,2015000000,2015年,経営体
303,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,12000,千葉県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,13000,東京都,2015000000,2015年,経営体
5,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,14000,神奈川県,2015000000,2015年,経営体
118,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,15000,新潟県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,16000,富山県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,17000,石川県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,18000,福井県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,19000,山梨県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,20000,長野県,2015000000,2015年,経営体
406,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,21000,岐阜県,2015000000,2015年,経営体
5,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,22000,静岡県,2015000000,2015年,経営体
1,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,23000,愛知県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,24000,三重県,2015000000,2015年,経営体
22,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,25000,滋賀県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,26000,京都府,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,27000,大阪府,2015000000,2015年,経営体
12,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,28000,兵庫県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,29000,奈良県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,30000,和歌山県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,31000,鳥取県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,32000,島根県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,33000,岡山県,2015000000,2015年,経営体
41,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,34000,広島県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,35000,山口県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,36000,徳島県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,37000,香川県,2015000000,2015年,経営体
32,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,38000,愛媛県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,39000,高知県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,40000,福岡県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,41000,佐賀県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,42000,長崎県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,43000,熊本県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,44000,大分県,2015000000,2015年,経営体
225,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,45000,宮崎県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,46000,鹿児島県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,47000,沖縄県,2015000000,2015年,経営体
482,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,60010,関東農政局,2015000000,2015年,経営体
407,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,60020,東海農政局,2015000000,2015年,経営体
73,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,120,農業振興地域_農用地区域,60030,中国四国農政局,2015000000,2015年,経営体
139,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,00000,全国,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50010,北海道地方,2015000000,2015年,経営体
139,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50020,都府県,2015000000,2015年,経営体
2,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50030,東北地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50040,北陸地方,2015000000,2015年,経営体
64,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50050,関東・東山地方,2015000000,2015年,経営体
51,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50060,北関東地方,2015000000,2015年,経営体
13,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50070,南関東地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50080,東山地方,2015000000,2015年,経営体
35,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50090,東海地方,2015000000,2015年,経営体
1,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50100,近畿地方,2015000000,2015年,経営体
3,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50110,中国地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50120,山陰地方,2015000000,2015年,経営体
3,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50130,山陽地方,2015000000,2015年,経営体
22,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50140,四国地方,2015000000,2015年,経営体
12,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50150,九州地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50160,北九州地方,2015000000,2015年,経営体
12,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50170,南九州地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,50180,沖縄地方,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,01000,北海道,2015000000,2015年,経営体
2,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,02000,青森県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,03000,岩手県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,04000,宮城県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,05000,秋田県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,06000,山形県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,07000,福島県,2015000000,2015年,経営体
15,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,08000,茨城県,2015000000,2015年,経営体
36,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,09000,栃木県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,10000,群馬県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,11000,埼玉県,2015000000,2015年,経営体
13,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,12000,千葉県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,13000,東京都,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,14000,神奈川県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,15000,新潟県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,16000,富山県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,17000,石川県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,18000,福井県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,19000,山梨県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,20000,長野県,2015000000,2015年,経営体
35,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,21000,岐阜県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,22000,静岡県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,23000,愛知県,2015000000,2015年,経営体
-,100,経営者_雇い入れた実経営体数又は実農家数,110,市街化区域のみ,130,農業振興地域_農用地区域外,24000,三重県,2015000000,2015年,経営体
