value,cat01,cat01_label,cat02,cat02_label,unit
5780,001,計,001,作付面積_実数,ha
33,001,計,002,作付面積_かんしょの作付面積に占める割合,%
2600,001,計,003,10ａ当たり収量,kg
150200,001,計,004,収穫量_実数,t
35,001,計,005,収穫量_かんしょの収穫量に占める割合,%
170,001,計,006,前年産との比較_作付面積_対差,ha
103,001,計,007,前年産との比較_作付面積_対比,%
87,001,計,008,前年産との比較_10a当たり収量_対比,%
-18200,001,計,009,前年産との比較_収穫量_対差,t
89,001,計,010,前年産との比較_収穫量_対比,%
137,45000,宮崎県,001,作付面積_実数,ha
5,45000,宮崎県,002,作付面積_かんしょの作付面積に占める割合,%
2810,45000,宮崎県,003,10ａ当たり収量,kg
3850,45000,宮崎県,004,収穫量_実数,t
5,45000,宮崎県,005,収穫量_かんしょの収穫量に占める割合,%
57,45000,宮崎県,006,前年産との比較_作付面積_対差,ha
171,45000,宮崎県,007,前年産との比較_作付面積_対比,%
89,45000,宮崎県,008,前年産との比較_10a当たり収量_対比,%
1320,45000,宮崎県,009,前年産との比較_収穫量_対差,t
152,45000,宮崎県,010,前年産との比較_収穫量_対比,%
5650,46000,鹿児島県,001,作付面積_実数,ha
40,46000,鹿児島県,002,作付面積_かんしょの作付面積に占める割合,%
2590,46000,鹿児島県,003,10ａ当たり収量,kg
146300,46000,鹿児島県,004,収穫量_実数,t
42,46000,鹿児島県,005,収穫量_かんしょの収穫量に占める割合,%
120,46000,鹿児島県,006,前年産との比較_作付面積_対差,ha
102,46000,鹿児島県,007,前年産との比較_作付面積_対比,%
86,46000,鹿児島県,008,前年産との比較_10a当たり収量_対比,%
-19600,46000,鹿児島県,009,前年産との比較_収穫量_対差,t
88,46000,鹿児島県,010,前年産との比較_収穫量_対比,%
