value,tab,tab_label,cat01,cat01_label,area,area_label,unit
109022,150,経営体数,11,沿岸漁業層,10010,全国,経営体
13904,150,経営体数,11,沿岸漁業層,10020,北海道,経営体
8669,150,経営体数,11,沿岸漁業層,10060,北海道太平洋北区,経営体
1524,150,経営体数,11,沿岸漁業層,10070,根室支庁,経営体
312,150,経営体数,11,沿岸漁業層,10090,羅臼町,経営体
30,150,経営体数,11,沿岸漁業層,10110,標津町,経営体
420,150,経営体数,11,沿岸漁業層,10130,別海町,経営体
762,150,経営体数,11,沿岸漁業層,10160,根室市,経営体
1455,150,経営体数,11,沿岸漁業層,10240,釧路支庁,経営体
522,150,経営体数,11,沿岸漁業層,10260,浜中町,経営体
449,150,経営体数,11,沿岸漁業層,10290,厚岸町,経営体
221,150,経営体数,11,沿岸漁業層,10310,釧路町,経営体
166,150,経営体数,11,沿岸漁業層,10330,釧路市,経営体
97,150,経営体数,11,沿岸漁業層,10370,白糠町,経営体
255,150,経営体数,11,沿岸漁業層,10430,十勝支庁,経営体
28,150,経営体数,11,沿岸漁業層,10450,浦幌町,経営体
30,150,経営体数,11,沿岸漁業層,10470,豊頃町,経営体
27,150,経営体数,11,沿岸漁業層,10490,大樹町,経営体
170,150,経営体数,11,沿岸漁業層,10510,広尾町,経営体
1375,150,経営体数,11,沿岸漁業層,10690,日高支庁,経営体
645,150,経営体数,11,沿岸漁業層,10710,えりも町,経営体
237,150,経営体数,11,沿岸漁業層,10740,様似町,経営体
221,150,経営体数,11,沿岸漁業層,10770,浦河町,経営体
200,150,経営体数,11,沿岸漁業層,10800,新ひだか町,経営体
17,150,経営体数,11,沿岸漁業層,10830,新冠町,経営体
55,150,経営体数,11,沿岸漁業層,10850,日高町,経営体
567,150,経営体数,11,沿岸漁業層,10890,胆振支庁,経営体
28,150,経営体数,11,沿岸漁業層,10910,むかわ町,経営体
13,150,経営体数,11,沿岸漁業層,10930,厚真町,経営体
55,150,経営体数,11,沿岸漁業層,10950,苫小牧市,経営体
169,150,経営体数,11,沿岸漁業層,10970,白老町,経営体
18,150,経営体数,11,沿岸漁業層,11000,登別市,経営体
56,150,経営体数,11,沿岸漁業層,11020,室蘭市,経営体
105,150,経営体数,11,沿岸漁業層,11040,伊達市,経営体
45,150,経営体数,11,沿岸漁業層,11070,洞爺湖町,経営体
78,150,経営体数,11,沿岸漁業層,11090,豊浦町,経営体
3493,150,経営体数,11,沿岸漁業層,11140,渡島支庁,経営体
100,150,経営体数,11,沿岸漁業層,11160,長万部町,経営体
321,150,経営体数,11,沿岸漁業層,11180,八雲町,経営体
420,150,経営体数,11,沿岸漁業層,11210,森町,経営体
339,150,経営体数,11,沿岸漁業層,11240,鹿部町,経営体
1863,150,経営体数,11,沿岸漁業層,11260,函館市,経営体
122,150,経営体数,11,沿岸漁業層,11460,北斗市,経営体
44,150,経営体数,11,沿岸漁業層,11510,木古内町,経営体
91,150,経営体数,11,沿岸漁業層,11530,知内町,経営体
193,150,経営体数,11,沿岸漁業層,11550,福島町,経営体
5235,150,経営体数,11,沿岸漁業層,11630,北海道日本海北区,経営体
1888,150,経営体数,11,沿岸漁業層,11640,宗谷支庁,経営体
297,150,経営体数,11,沿岸漁業層,11660,枝幸町,経営体
13,150,経営体数,11,沿岸漁業層,11680,浜頓別町,経営体
35,150,経営体数,11,沿岸漁業層,11700,猿払村,経営体
411,150,経営体数,11,沿岸漁業層,11720,稚内市,経営体
15,150,経営体数,11,沿岸漁業層,11750,豊富町,経営体
311,150,経営体数,11,沿岸漁業層,11770,利尻町,経営体
368,150,経営体数,11,沿岸漁業層,11800,利尻富士町,経営体
438,150,経営体数,11,沿岸漁業層,11830,礼文町,経営体
846,150,経営体数,11,沿岸漁業層,11880,網走支庁,経営体
50,150,経営体数,11,沿岸漁業層,11900,斜里町,経営体
-,150,経営体数,11,沿岸漁業層,11920,小清水町,経営体
58,150,経営体数,11,沿岸漁業層,11940,網走市,経営体
128,150,経営体数,11,沿岸漁業層,11960,北見市,経営体
99,150,経営体数,11,沿岸漁業層,11980,佐呂間町,経営体
208,150,経営体数,11,沿岸漁業層,12000,湧別町,経営体
73,150,経営体数,11,沿岸漁業層,12020,紋別市,経営体
95,150,経営体数,11,沿岸漁業層,12040,興部町,経営体
135,150,経営体数,11,沿岸漁業層,12060,雄武町,経営体
496,150,経営体数,11,沿岸漁業層,12190,留萌支庁,経営体
-,150,経営体数,11,沿岸漁業層,12210,幌延町,経営体
24,150,経営体数,11,沿岸漁業層,12230,天塩町,経営体
18,150,経営体数,11,沿岸漁業層,12250,遠別町,経営体
28,150,経営体数,11,沿岸漁業層,12270,初山別村,経営体
145,150,経営体数,11,沿岸漁業層,12290,羽幌町,経営体
65,150,経営体数,11,沿岸漁業層,12330,苫前町,経営体
45,150,経営体数,11,沿岸漁業層,12350,小平町,経営体
33,150,経営体数,11,沿岸漁業層,12370,留萌市,経営体
138,150,経営体数,11,沿岸漁業層,12390,増毛町,経営体
140,150,経営体数,11,沿岸漁業層,12410,石狩支庁,経営体
