value,cat01,cat01_label,time,time_label,unit
146000,001,作付面積,001,明.11,ha
154600,001,作付面積,002,明.12,ha
155000,001,作付面積,003,明.13,ha
157600,001,作付面積,004,明.14,ha
157000,001,作付面積,005,明.15,ha
158200,001,作付面積,006,明.16,ha
152500,001,作付面積,007,明.17,ha
…,001,作付面積,008,明.18,ha
…,001,作付面積,009,明.19,ha
157100,001,作付面積,010,明.20,ha
…,001,作付面積,011,明.21,ha
…,001,作付面積,012,明.22,ha
…,001,作付面積,013,明.23,ha
…,001,作付面積,014,明.24,ha
160500,001,作付面積,015,明.25,ha
…,001,作付面積,016,明.26,ha
170900,001,作付面積,017,明.27,ha
174500,001,作付面積,018,明.28,ha
169800,001,作付面積,019,明.29,ha
172700,001,作付面積,020,明.30,ha
178500,001,作付面積,021,明.31,ha
174700,001,作付面積,022,明.32,ha
167600,001,作付面積,023,明.33,ha
164600,001,作付面積,024,明.34,ha
164400,001,作付面積,025,明.35,ha
165600,001,作付面積,026,明.36,ha
166300,001,作付面積,027,明.37,ha
163100,001,作付面積,028,明.38,ha
159700,001,作付面積,029,明.39,ha
165300,001,作付面積,030,明.40,ha
164200,001,作付面積,031,明.41,ha
155900,001,作付面積,032,明.42,ha
155300,001,作付面積,033,明.43,ha
149800,001,作付面積,034,明.44,ha
145400,001,作付面積,035,大.元,ha
150200,001,作付面積,036,大.2,ha
160200,001,作付面積,037,大.3,ha
152900,001,作付面積,038,大.4,ha
147600,001,作付面積,039,大.5,ha
141600,001,作付面積,040,大.6,ha
135200,001,作付面積,041,大.7,ha
135600,001,作付面積,042,大.8,ha
136800,001,作付面積,043,大.9,ha
130400,001,作付面積,044,大.10,ha
126500,001,作付面積,045,大.11,ha
119000,001,作付面積,046,大.12,ha
116000,001,作付面積,047,大.13,ha
113700,001,作付面積,048,大.14,ha
107500,001,作付面積,049,昭.元,ha
105400,001,作付面積,050,昭.2,ha
100400,001,作付面積,051,昭.3,ha
89100,001,作付面積,052,昭.4,ha
96300,001,作付面積,053,昭.5,ha
105100,001,作付面積,054,昭.6,ha
103100,001,作付面積,055,昭.7,ha
100500,001,作付面積,056,昭.8,ha
102900,001,作付面積,057,昭.9,ha
96200,001,作付面積,058,昭.10,ha
95200,001,作付面積,059,昭.11,ha
89600,001,作付面積,060,昭.12,ha
84000,001,作付面積,061,昭.13,ha
80900,001,作付面積,062,昭.14,ha
83300,001,作付面積,063,昭.15,ha
84500,001,作付面積,064,昭.16,ha
83800,001,作付面積,065,昭.17,ha
87700,001,作付面積,066,昭.18,ha
73900,001,作付面積,067,昭.19,ha
69900,001,作付面積,068,昭.20,ha
68700,001,作付面積,069,昭.21,ha
63400,001,作付面積,070,昭.22,ha
62800,001,作付面積,071,昭.23,ha
60700,001,作付面積,072,昭.24,ha
68000,001,作付面積,073,昭.25,ha
63700,001,作付面積,074,昭.26,ha
57000,001,作付面積,075,昭.27,ha
52400,001,作付面積,076,昭.28,ha
50600,001,作付面積,077,昭.29,ha
48000,001,作付面積,078,昭.30,ha
48700,001,作付面積,079,昭.31,ha
47800,001,作付面積,080,昭.32,ha
47900,001,作付面積,081,昭.33,ha
46700,001,作付面積,082,昭.34,ha
47300,001,作付面積,083,昭.35,ha
43500,001,作付面積,084,昭.36,ha
39500,001,作付面積,085,昭.37,ha
37500,001,作付面積,086,昭.38,ha
34700,001,作付面積,087,昭.39,ha
31300,001,作付面積,088,昭.40,ha
28100,001,作付面積,089,昭.41,ha
25100,001,作付面積,090,昭.42,ha
23800,001,作付面積,091,昭.43,ha
20500,001,作付面積,092,昭.44,ha
18500,001,作付面積,093,昭.45,ha
…,001,作付面積,094,昭.46,ha
…,001,作付面積,095,昭.47,ha
…,001,作付面積,096,昭.48,ha
23300,001,作付面積,097,昭.49,ha
18300,001,作付面積,098,昭.50,ha
14700,001,作付面積,099,昭.51,ha
16600,001,作付面積,100,昭.52,ha
25100,001,作付面積,101,昭.53,ha
22500,001,作付面積,102,昭.54,ha
24200,001,作付面積,103,昭.55,ha
23100,001,作付面積,104,昭.56,ha
23700,001,作付面積,105,昭.57,ha
21100,001,作付面積,106,昭.58,ha
19200,001,作付面積,107,昭.59,ha
18700,001,作付面積,108,昭.60,ha
19600,001,作付面積,109,昭.61,ha
23600,001,作付面積,110,昭.62,ha
25700,001,作付面積,111,昭.63,ha
25900,001,作付面積,112,平.元,ha
27800,001,作付面積,113,平.2,ha
28100,001,作付面積,114,平.3,ha
24200,001,作付面積,115,平.4,ha
22600,001,作付面積,116,平.5,ha
20200,001,作付面積,117,平.6,ha
22600,001,作付面積,118,平.7,ha
26500,001,作付面積,119,平.8,ha
27700,001,作付面積,120,平.9,ha
34400,001,作付面積,121,平.10,ha
37100,001,作付面積,122,平.11,ha
37400,001,作付面積,123,平.12,ha
41800,001,作付面積,124,平.13,ha
41400,001,作付面積,125,平.14,ha
43500,001,作付面積,126,平.15,ha
43500,001,作付面積,127,平.16,ha
44700,001,作付面積,128,平.17,ha
44800,001,作付面積,129,平.18,ha
