value,cat01,cat01_label,cat02,cat02_label,unit
5340,001,計,001,作付面積_実数,ha
31,001,計,002,作付面積_かんしょの作付面積に占める割合,％
2460,001,計,003,10ａ当たり収量,kg
131500,001,計,004,収穫量_実数,ｔ
33,001,計,005,収穫量_かんしょの収穫量に占める割合,％
-270,001,計,006,前年産との比較_作付面積_対差,ha
95,001,計,007,前年産との比較_作付面積_対比,％
90,001,計,008,前年産との比較_10a当たり収量_対比,％
-21400,001,計,009,前年産との比較_収穫量_対差,ｔ
86,001,計,010,前年産との比較_収穫量_対比,％
140,002,宮崎県,001,作付面積_実数,ha
4,002,宮崎県,002,作付面積_かんしょの作付面積に占める割合,％
2560,002,宮崎県,003,10ａ当たり収量,kg
3580,002,宮崎県,004,収穫量_実数,ｔ
5,002,宮崎県,005,収穫量_かんしょの収穫量に占める割合,％
-20,002,宮崎県,006,前年産との比較_作付面積_対差,ha
88,002,宮崎県,007,前年産との比較_作付面積_対比,％
99,002,宮崎県,008,前年産との比較_10a当たり収量_対比,％
-550,002,宮崎県,009,前年産との比較_収穫量_対差,ｔ
87,002,宮崎県,010,前年産との比較_収穫量_対比,％
5200,003,鹿児島県,001,作付面積_実数,ha
38,003,鹿児島県,002,作付面積_かんしょの作付面積に占める割合,％
2460,003,鹿児島県,003,10ａ当たり収量,kg
127900,003,鹿児島県,004,収穫量_実数,ｔ
40,003,鹿児島県,005,収穫量_かんしょの収穫量に占める割合,％
-250,003,鹿児島県,006,前年産との比較_作付面積_対差,ha
95,003,鹿児島県,007,前年産との比較_作付面積_対比,％
90,003,鹿児島県,008,前年産との比較_10a当たり収量_対比,％
-20900,003,鹿児島県,009,前年産との比較_収穫量_対差,ｔ
86,003,鹿児島県,010,前年産との比較_収穫量_対比,％
