value,cat01,cat01_label,time,time_label,unit
5410,001,作付面積,001,明.38,ha
5730,001,作付面積,002,明.39,ha
6010,001,作付面積,003,明.40,ha
5950,001,作付面積,004,明.41,ha
6540,001,作付面積,005,明.42,ha
7040,001,作付面積,006,明.43,ha
7750,001,作付面積,007,明.44,ha
9960,001,作付面積,008,大.元,ha
9120,001,作付面積,009,大.2,ha
9450,001,作付面積,010,大.3,ha
10000,001,作付面積,011,大.4,ha
12200,001,作付面積,012,大.5,ha
13300,001,作付面積,013,大.6,ha
12500,001,作付面積,014,大.7,ha
11800,001,作付面積,015,大.8,ha
11300,001,作付面積,016,大.9,ha
11000,001,作付面積,017,大.10,ha
10200,001,作付面積,018,大.11,ha
9340,001,作付面積,019,大.12,ha
9440,001,作付面積,020,大.13,ha
8320,001,作付面積,021,大.14,ha
6670,001,作付面積,022,昭.元,ha
6020,001,作付面積,023,昭.2,ha
5830,001,作付面積,024,昭.3,ha
5810,001,作付面積,025,昭.4,ha
5670,001,作付面積,026,昭.5,ha
6160,001,作付面積,027,昭.6,ha
6320,001,作付面積,028,昭.7,ha
7060,001,作付面積,029,昭.8,ha
7510,001,作付面積,030,昭.9,ha
7510,001,作付面積,031,昭.10,ha
7780,001,作付面積,032,昭.11,ha
8150,001,作付面積,033,昭.12,ha
7960,001,作付面積,034,昭.13,ha
8190,001,作付面積,035,昭.14,ha
9300,001,作付面積,036,昭.15,ha
12000,001,作付面積,037,昭.16,ha
11000,001,作付面積,038,昭.17,ha
…,001,作付面積,039,昭.18,ha
…,001,作付面積,040,昭.19,ha
…,001,作付面積,041,昭.20,ha
5200,001,作付面積,042,昭.21,ha
5280,001,作付面積,043,昭.22,ha
7150,001,作付面積,044,昭.23,ha
7610,001,作付面積,045,昭.24,ha
19200,001,作付面積,046,昭.25,ha
23100,001,作付面積,047,昭.26,ha
25000,001,作付面積,048,昭.27,ha
24900,001,作付面積,049,昭.28,ha
26900,001,作付面積,050,昭.29,ha
25900,001,作付面積,051,昭.30,ha
31800,001,作付面積,052,昭.31,ha
39600,001,作付面積,053,昭.32,ha
43900,001,作付面積,054,昭.33,ha
42900,001,作付面積,055,昭.34,ha
54800,001,作付面積,056,昭.35,ha
65600,001,作付面積,057,昭.36,ha
64200,001,作付面積,058,昭.37,ha
61400,001,作付面積,059,昭.38,ha
62800,001,作付面積,060,昭.39,ha
66500,001,作付面積,061,昭.40,ha
64900,001,作付面積,062,昭.41,ha
61500,001,作付面積,063,昭.42,ha
59100,001,作付面積,064,昭.43,ha
59500,001,作付面積,065,昭.44,ha
60100,001,作付面積,066,昭.45,ha
57300,001,作付面積,067,昭.46,ha
52000,001,作付面積,068,昭.47,ha
47900,001,作付面積,069,昭.48,ha
46100,001,作付面積,070,昭.49,ha
40500,001,作付面積,071,昭.50,ha
37800,001,作付面積,072,昭.51,ha
35000,001,作付面積,073,昭.52,ha
34700,001,作付面積,074,昭.53,ha
33700,001,作付面積,075,昭.54,ha
33200,001,作付面積,076,昭.55,ha
31700,001,作付面積,077,昭.56,ha
30200,001,作付面積,078,昭.57,ha
29700,001,作付面積,079,昭.58,ha
