value,cat01,cat01_label,time,time_label,unit
63500,001,作付面積,001,昭.元,ha
61700,001,作付面積,002,昭.2,ha
64200,001,作付面積,003,昭.3,ha
82500,001,作付面積,004,昭.4,ha
97000,001,作付面積,005,昭.5,ha
82700,001,作付面積,006,昭.6,ha
81100,001,作付面積,007,昭.7,ha
92300,001,作付面積,008,昭.8,ha
82400,001,作付面積,009,昭.9,ha
82800,001,作付面積,010,昭.10,ha
87700,001,作付面積,011,昭.11,ha
90600,001,作付面積,012,昭.12,ha
87300,001,作付面積,013,昭.13,ha
95500,001,作付面積,014,昭.14,ha
97500,001,作付面積,015,昭.15,ha
63700,001,作付面積,016,昭.16,ha
54100,001,作付面積,017,昭.17,ha
41400,001,作付面積,018,昭.18,ha
21800,001,作付面積,019,昭.19,ha
16300,001,作付面積,020,昭.20,ha
18000,001,作付面積,021,昭.21,ha
17900,001,作付面積,022,昭.22,ha
24500,001,作付面積,023,昭.23,ha
22800,001,作付面積,024,昭.24,ha
35900,001,作付面積,025,昭.25,ha
42900,001,作付面積,026,昭.26,ha
55800,001,作付面積,027,昭.27,ha
68100,001,作付面積,028,昭.28,ha
85700,001,作付面積,029,昭.29,ha
96700,001,作付面積,030,昭.30,ha
85300,001,作付面積,031,昭.31,ha
94600,001,作付面積,032,昭.32,ha
105200,001,作付面積,033,昭.33,ha
102200,001,作付面積,034,昭.34,ha
89300,001,作付面積,035,昭.35,ha
78400,001,作付面積,036,昭.36,ha
84700,001,作付面積,037,昭.37,ha
95400,001,作付面積,038,昭.38,ha
87900,001,作付面積,039,昭.39,ha
92200,001,作付面積,040,昭.40,ha
91700,001,作付面積,041,昭.41,ha
79700,001,作付面積,042,昭.42,ha
68400,001,作付面積,043,昭.43,ha
63800,001,作付面積,044,昭.44,ha
73600,001,作付面積,045,昭.45,ha
62300,001,作付面積,046,昭.46,ha
53200,001,作付面積,047,昭.47,ha
44500,001,作付面積,048,昭.48,ha
42900,001,作付面積,049,昭.49,ha
44100,001,作付面積,050,昭.50,ha
46600,001,作付面積,051,昭.51,ha
43700,001,作付面積,052,昭.52,ha
26800,001,作付面積,053,昭.53,ha
21200,001,作付面積,054,昭.54,ha
23400,001,作付面積,055,昭.55,ha
