value,cat01,cat01_label,cat02,cat02_label,unit
4870,001,計,001,作付面積_実数,ha
31,001,計,002,作付面積_かんしょの作付面積に占める割合,％
2490,001,計,003,10ａ当たり収量,kg
121400,001,計,004,収穫量_実数,ｔ
32,001,計,005,収穫量_かんしょの収穫量に占める割合,％
-90,001,計,006,前年産との比較_作付面積_対差,ha
98,001,計,007,前年産との比較_作付面積_対比,％
94,001,計,008,前年産との比較_10a当たり収量_対比,％
-10300,001,計,009,前年産との比較_収穫量_対差,ｔ
92,001,計,010,前年産との比較_収穫量_対比,％
160,002,宮崎,001,作付面積_実数,ha
5,002,宮崎,002,作付面積_かんしょの作付面積に占める割合,％
2860,002,宮崎,003,10ａ当たり収量,kg
4580,002,宮崎,004,収穫量_実数,ｔ
5,002,宮崎,005,収穫量_かんしょの収穫量に占める割合,％
-10,002,宮崎,006,前年産との比較_作付面積_対差,ha
94,002,宮崎,007,前年産との比較_作付面積_対比,％
94,002,宮崎,008,前年産との比較_10a当たり収量_対比,％
-570,002,宮崎,009,前年産との比較_収穫量_対差,ｔ
89,002,宮崎,010,前年産との比較_収穫量_対比,％
4710,003,鹿児島,001,作付面積_実数,ha
38,003,鹿児島,002,作付面積_かんしょの作付面積に占める割合,％
2480,003,鹿児島,003,10ａ当たり収量,kg
116800,003,鹿児島,004,収穫量_実数,ｔ
40,003,鹿児島,005,収穫量_かんしょの収穫量に占める割合,％
-80,003,鹿児島,006,前年産との比較_作付面積_対差,ha
98,003,鹿児島,007,前年産との比較_作付面積_対比,％
94,003,鹿児島,008,前年産との比較_10a当たり収量_対比,％
-9700,003,鹿児島,009,前年産との比較_収穫量_対差,ｔ
92,003,鹿児島,010,前年産との比較_収穫量_対比,％
