value,cat01,cat01_label,cat02,cat02_label,unit
5140,001,計,001,作付面積_実数,ha
30,001,計,002,作付面積_かんしょの作付面積に占める割合,％
2810,001,計,003,10ａ当たり収量,kg
144200,001,計,004,収穫量_実数,ｔ
31,001,計,005,収穫量_かんしょの収穫量に占める割合,％
-200,001,計,006,前年産との比較_作付面積_対差,ha
96,001,計,007,前年産との比較_作付面積_対比,％
114,001,計,008,前年産との比較_10a当たり収量_対比,％
12700,001,計,009,前年産との比較_収穫量_対差,ｔ
110,001,計,010,前年産との比較_収穫量_対比,％
118,002,宮崎,001,作付面積_実数,ha
3,002,宮崎,002,作付面積_かんしょの作付面積に占める割合,％
3050,002,宮崎,003,10ａ当たり収量,kg
3600,002,宮崎,004,収穫量_実数,ｔ
4,002,宮崎,005,収穫量_かんしょの収穫量に占める割合,％
-22,002,宮崎,006,前年産との比較_作付面積_対差,ha
84,002,宮崎,007,前年産との比較_作付面積_対比,％
119,002,宮崎,008,前年産との比較_10a当たり収量_対比,％
20,002,宮崎,009,前年産との比較_収穫量_対差,ｔ
101,002,宮崎,010,前年産との比較_収穫量_対比,％
5020,003,鹿児島,001,作付面積_実数,ha
37,003,鹿児島,002,作付面積_かんしょの作付面積に占める割合,％
2800,003,鹿児島,003,10ａ当たり収量,kg
140600,003,鹿児島,004,収穫量_実数,ｔ
38,003,鹿児島,005,収穫量_かんしょの収穫量に占める割合,％
-180,003,鹿児島,006,前年産との比較_作付面積_対差,ha
97,003,鹿児島,007,前年産との比較_作付面積_対比,％
114,003,鹿児島,008,前年産との比較_10a当たり収量_対比,％
12700,003,鹿児島,009,前年産との比較_収穫量_対差,ｔ
110,003,鹿児島,010,前年産との比較_収穫量_対比,％
