value,tab,tab_label,cat01,cat01_label,area,area_label,unit
14780,150,経営体数,11,計,10020,北海道,経営体
9115,150,経営体数,11,計,10060,北海道太平洋北区,経営体
1663,150,経営体数,11,計,10070,根室支庁,経営体
381,150,経営体数,11,計,10090,羅臼町,経営体
381,150,経営体数,11,計,10100,羅臼,経営体
31,150,経営体数,11,計,10110,標津町,経営体
31,150,経営体数,11,計,10120,標津,経営体
422,150,経営体数,11,計,10130,別海町,経営体
298,150,経営体数,11,計,10140,野付,経営体
124,150,経営体数,11,計,10150,別海,経営体
829,150,経営体数,11,計,10160,根室市,経営体
117,150,経営体数,11,計,10170,湾中,経営体
83,150,経営体数,11,計,10180,根室,経営体
393,150,経営体数,11,計,10190,歯舞,経営体
53,150,経営体数,11,計,10200,花咲,経営体
183,150,経営体数,11,計,10210,落石,経営体
1532,150,経営体数,11,計,10240,釧路支庁,経営体
528,150,経営体数,11,計,10260,浜中町,経営体
377,150,経営体数,11,計,10270,浜中,経営体
151,150,経営体数,11,計,10280,散布,経営体
473,150,経営体数,11,計,10290,厚岸町,経営体
473,150,経営体数,11,計,10300,厚岸,経営体
223,150,経営体数,11,計,10310,釧路町,経営体
223,150,経営体数,11,計,10320,昆布森,経営体
189,150,経営体数,11,計,10330,釧路市,経営体
125,150,経営体数,11,計,10340,釧路東部,経営体
64,150,経営体数,11,計,10350,釧路,経営体
-,150,経営体数,11,計,10360,音別,経営体
119,150,経営体数,11,計,10370,白糠町,経営体
119,150,経営体数,11,計,10380,白糠,経営体
282,150,経営体数,11,計,10430,十勝支庁,経営体
28,150,経営体数,11,計,10450,浦幌町,経営体
28,150,経営体数,11,計,10460,厚内,経営体
30,150,経営体数,11,計,10470,豊頃町,経営体
30,150,経営体数,11,計,10480,大津,経営体
36,150,経営体数,11,計,10490,大樹町,経営体
36,150,経営体数,11,計,10500,大樹,経営体
188,150,経営体数,11,計,10510,広尾町,経営体
188,150,経営体数,11,計,10520,広尾,経営体
1401,150,経営体数,11,計,10690,日高支庁,経営体
650,150,経営体数,11,計,10710,えりも町,経営体
196,150,経営体数,11,計,10720,庶野,経営体
454,150,経営体数,11,計,10730,えりも,経営体
240,150,経営体数,11,計,10740,様似町,経営体
138,150,経営体数,11,計,10750,冬島,経営体
102,150,経営体数,11,計,10760,様似,経営体
226,150,経営体数,11,計,10770,浦河町,経営体
131,150,経営体数,11,計,10780,浦河,経営体
95,150,経営体数,11,計,10790,荻伏,経営体
208,150,経営体数,11,計,10800,新ひだか町,経営体
101,150,経営体数,11,計,10810,三石,経営体
107,150,経営体数,11,計,10820,静内,経営体
18,150,経営体数,11,計,10830,新冠町,経営体
18,150,経営体数,11,計,10840,新冠,経営体
59,150,経営体数,11,計,10850,日高町,経営体
59,150,経営体数,11,計,10860,門別,経営体
647,150,経営体数,11,計,10890,胆振支庁,経営体
29,150,経営体数,11,計,10910,むかわ町,経営体
29,150,経営体数,11,計,10920,鵡川,経営体
13,150,経営体数,11,計,10930,厚真町,経営体
13,150,経営体数,11,計,10940,厚真,経営体
63,150,経営体数,11,計,10950,苫小牧市,経営体
63,150,経営体数,11,計,10960,苫小牧,経営体
205,150,経営体数,11,計,10970,白老町,経営体
146,150,経営体数,11,計,10980,白老,経営体
59,150,経営体数,11,計,10990,虎杖浜,経営体
48,150,経営体数,11,計,11000,登別市,経営体
48,150,経営体数,11,計,11010,登別,経営体
59,150,経営体数,11,計,11020,室蘭市,経営体
59,150,経営体数,11,計,11030,室蘭,経営体
106,150,経営体数,11,計,11040,伊達市,経営体
49,150,経営体数,11,計,11050,伊達,経営体
57,150,経営体数,11,計,11060,有珠,経営体
46,150,経営体数,11,計,11070,洞爺湖町,経営体
46,150,経営体数,11,計,11080,虻田,経営体
78,150,経営体数,11,計,11090,豊浦町,経営体
78,150,経営体数,11,計,11100,豊浦,経営体
3590,150,経営体数,11,計,11140,渡島支庁,経営体
101,150,経営体数,11,計,11160,長万部町,経営体
101,150,経営体数,11,計,11170,長万部,経営体
322,150,経営体数,11,計,11180,八雲町,経営体
159,150,経営体数,11,計,11190,八雲,経営体
163,150,経営体数,11,計,11200,落部,経営体
437,150,経営体数,11,計,11210,森町,経営体
255,150,経営体数,11,計,11220,森,経営体
182,150,経営体数,11,計,11230,砂原,経営体
350,150,経営体数,11,計,11240,鹿部町,経営体
350,150,経営体数,11,計,11250,鹿部,経営体
1908,150,経営体数,11,計,11260,函館市,経営体
181,150,経営体数,11,計,11270,大船,経営体
92,150,経営体数,11,計,11280,臼尻,経営体
42,150,経営体数,11,計,11290,安浦,経営体
89,150,経営体数,11,計,11300,川汲,経営体
260,150,経営体数,11,計,11310,尾札部,経営体
174,150,経営体数,11,計,11320,木直,経営体
102,150,経営体数,11,計,11330,椴法華,経営体
96,150,経営体数,11,計,11340,恵山,経営体
33,150,経営体数,11,計,11350,古武井,経営体
141,150,経営体数,11,計,11360,尻岸内,経営体
45,150,経営体数,11,計,11370,日浦,経営体
106,150,経営体数,11,計,11380,東戸井,経営体
162,150,経営体数,11,計,11390,戸井西部,経営体
69,150,経営体数,11,計,11400,小安,経営体
64,150,経営体数,11,計,11410,石崎,経営体
87,150,経営体数,11,計,11420,銭亀沢,経営体
21,150,経営体数,11,計,11430,宇賀,経営体
45,150,経営体数,11,計,11440,根崎,経営体
99,150,経営体数,11,計,11450,函館,経営体
123,150,経営体数,11,計,11460,北斗市,経営体
75,150,経営体数,11,計,11470,上磯,経営体
35,150,経営体数,11,計,11480,茂辺地,経営体
11,150,経営体数,11,計,11490,当別,経営体
2,150,経営体数,11,計,11500,地区設定外,経営体
45,150,経営体数,11,計,11510,木古内町,経営体
45,150,経営体数,11,計,11520,木古内,経営体
92,150,経営体数,11,計,11530,知内町,経営体
