value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,area,area_label,time,time_label
58615,004,従業者数　総数,003,A農業，林業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
329598,004,従業者数　総数,003,A農業，林業,001,民営,000,総数,00000,全国,2009000000,2009年
64140,004,従業者数　総数,003,A農業，林業,001,民営,003,有給役員,00000,全国,2009000000,2009年
207495,004,従業者数　総数,003,A農業，林業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
121859,004,従業者数　総数,003,A農業，林業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
85636,004,従業者数　総数,003,A農業，林業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
57963,004,従業者数　総数,003,A農業，林業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
278171,004,従業者数　総数,004,01農業,000,総数,000,総数,00000,全国,2009000000,2009年
52490,004,従業者数　総数,004,01農業,000,総数,003,有給役員,00000,全国,2009000000,2009年
173850,004,従業者数　総数,004,01農業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
97238,004,従業者数　総数,004,01農業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
76612,004,従業者数　総数,004,01農業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
51831,004,従業者数　総数,004,01農業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
276877,004,従業者数　総数,004,01農業,001,民営,000,総数,00000,全国,2009000000,2009年
52490,004,従業者数　総数,004,01農業,001,民営,003,有給役員,00000,全国,2009000000,2009年
172745,004,従業者数　総数,004,01農業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
96668,004,従業者数　総数,004,01農業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
76077,004,従業者数　総数,004,01農業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
51642,004,従業者数　総数,004,01農業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
1597,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,000,総数,000,総数,00000,全国,2009000000,2009年
208,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,000,総数,003,有給役員,00000,全国,2009000000,2009年
1340,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
1086,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
254,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
49,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
1597,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,001,民営,000,総数,00000,全国,2009000000,2009年
208,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,001,民営,003,有給役員,00000,全国,2009000000,2009年
1340,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
1086,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
254,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
49,004,従業者数　総数,005,010管理，補助的経済活動を行う事業所,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
117665,004,従業者数　総数,006,011耕種農業,000,総数,000,総数,00000,全国,2009000000,2009年
19253,004,従業者数　総数,006,011耕種農業,000,総数,003,有給役員,00000,全国,2009000000,2009年
67906,004,従業者数　総数,006,011耕種農業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
29066,004,従業者数　総数,006,011耕種農業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
38840,004,従業者数　総数,006,011耕種農業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
30506,004,従業者数　総数,006,011耕種農業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
117544,004,従業者数　総数,006,011耕種農業,001,民営,000,総数,00000,全国,2009000000,2009年
19253,004,従業者数　総数,006,011耕種農業,001,民営,003,有給役員,00000,全国,2009000000,2009年
67796,004,従業者数　総数,006,011耕種農業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
29015,004,従業者数　総数,006,011耕種農業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
38781,004,従業者数　総数,006,011耕種農業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
30495,004,従業者数　総数,006,011耕種農業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
70120,004,従業者数　総数,007,012畜産農業,000,総数,000,総数,00000,全国,2009000000,2009年
11172,004,従業者数　総数,007,012畜産農業,000,総数,003,有給役員,00000,全国,2009000000,2009年
54159,004,従業者数　総数,007,012畜産農業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
37441,004,従業者数　総数,007,012畜産農業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
16718,004,従業者数　総数,007,012畜産農業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
4789,004,従業者数　総数,007,012畜産農業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
69779,004,従業者数　総数,007,012畜産農業,001,民営,000,総数,00000,全国,2009000000,2009年
11172,004,従業者数　総数,007,012畜産農業,001,民営,003,有給役員,00000,全国,2009000000,2009年
53872,004,従業者数　総数,007,012畜産農業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
37261,004,従業者数　総数,007,012畜産農業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
16611,004,従業者数　総数,007,012畜産農業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
4735,004,従業者数　総数,007,012畜産農業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
67369,004,従業者数　総数,008,013農業サービス業,000,総数,000,総数,00000,全国,2009000000,2009年
17908,004,従業者数　総数,008,013農業サービス業,000,総数,003,有給役員,00000,全国,2009000000,2009年
35374,004,従業者数　総数,008,013農業サービス業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
20479,004,従業者数　総数,008,013農業サービス業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
14895,004,従業者数　総数,008,013農業サービス業,000,総数,006,正社員・正職員以外,00000,全国,2009000000,2009年
14087,004,従業者数　総数,008,013農業サービス業,000,総数,007,臨時雇用者,00000,全国,2009000000,2009年
66547,004,従業者数　総数,008,013農業サービス業,001,民営,000,総数,00000,全国,2009000000,2009年
17908,004,従業者数　総数,008,013農業サービス業,001,民営,003,有給役員,00000,全国,2009000000,2009年
34671,004,従業者数　総数,008,013農業サービス業,001,民営,004,常用雇用者,00000,全国,2009000000,2009年
20143,004,従業者数　総数,008,013農業サービス業,001,民営,005,正社員・正職員,00000,全国,2009000000,2009年
14528,004,従業者数　総数,008,013農業サービス業,001,民営,006,正社員・正職員以外,00000,全国,2009000000,2009年
13968,004,従業者数　総数,008,013農業サービス業,001,民営,007,臨時雇用者,00000,全国,2009000000,2009年
21420,004,従業者数　総数,009,014園芸サービス業,000,総数,000,総数,00000,全国,2009000000,2009年
3949,004,従業者数　総数,009,014園芸サービス業,000,総数,003,有給役員,00000,全国,2009000000,2009年
15071,004,従業者数　総数,009,014園芸サービス業,000,総数,004,常用雇用者,00000,全国,2009000000,2009年
9166,004,従業者数　総数,009,014園芸サービス業,000,総数,005,正社員・正職員,00000,全国,2009000000,2009年
