value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
184,002,事業所数（事業内容等不詳を含む）,001,総数,01393,黒松内町,2009000000,2009年
351,002,事業所数（事業内容等不詳を含む）,001,総数,01394,蘭越町,2009000000,2009年
290,002,事業所数（事業内容等不詳を含む）,001,総数,01395,ニセコ町,2009000000,2009年
118,002,事業所数（事業内容等不詳を含む）,001,総数,01396,真狩村,2009000000,2009年
139,002,事業所数（事業内容等不詳を含む）,001,総数,01397,留寿都村,2009000000,2009年
154,002,事業所数（事業内容等不詳を含む）,001,総数,01398,喜茂別町,2009000000,2009年
219,002,事業所数（事業内容等不詳を含む）,001,総数,01399,京極町,2009000000,2009年
1021,002,事業所数（事業内容等不詳を含む）,001,総数,01400,倶知安町,2009000000,2009年
303,002,事業所数（事業内容等不詳を含む）,001,総数,01401,共和町,2009000000,2009年
1036,002,事業所数（事業内容等不詳を含む）,001,総数,01402,岩内町,2009000000,2009年
125,002,事業所数（事業内容等不詳を含む）,001,総数,01403,泊村,2009000000,2009年
96,002,事業所数（事業内容等不詳を含む）,001,総数,01404,神恵内村,2009000000,2009年
187,002,事業所数（事業内容等不詳を含む）,001,総数,01405,積丹町,2009000000,2009年
233,002,事業所数（事業内容等不詳を含む）,001,総数,01406,古平町,2009000000,2009年
201,002,事業所数（事業内容等不詳を含む）,001,総数,01407,仁木町,2009000000,2009年
1128,002,事業所数（事業内容等不詳を含む）,001,総数,01408,余市町,2009000000,2009年
92,002,事業所数（事業内容等不詳を含む）,001,総数,01409,赤井川村,2009000000,2009年
3894,002,事業所数（事業内容等不詳を含む）,001,総数,01420,空知支庁,2009000000,2009年
288,002,事業所数（事業内容等不詳を含む）,001,総数,01423,南幌町,2009000000,2009年
318,002,事業所数（事業内容等不詳を含む）,001,総数,01424,奈井江町,2009000000,2009年
162,002,事業所数（事業内容等不詳を含む）,001,総数,01425,上砂川町,2009000000,2009年
349,002,事業所数（事業内容等不詳を含む）,001,総数,01427,由仁町,2009000000,2009年
558,002,事業所数（事業内容等不詳を含む）,001,総数,01428,長沼町,2009000000,2009年
748,002,事業所数（事業内容等不詳を含む）,001,総数,01429,栗山町,2009000000,2009年
190,002,事業所数（事業内容等不詳を含む）,001,総数,01430,月形町,2009000000,2009年
110,002,事業所数（事業内容等不詳を含む）,001,総数,01431,浦臼町,2009000000,2009年
250,002,事業所数（事業内容等不詳を含む）,001,総数,01432,新十津川町,2009000000,2009年
182,002,事業所数（事業内容等不詳を含む）,001,総数,01433,妹背牛町,2009000000,2009年
145,002,事業所数（事業内容等不詳を含む）,001,総数,01434,秩父別町,2009000000,2009年
131,002,事業所数（事業内容等不詳を含む）,001,総数,01436,雨竜町,2009000000,2009年
132,002,事業所数（事業内容等不詳を含む）,001,総数,01437,北竜町,2009000000,2009年
199,002,事業所数（事業内容等不詳を含む）,001,総数,01438,沼田町,2009000000,2009年
132,002,事業所数（事業内容等不詳を含む）,001,総数,01439,幌加内町,2009000000,2009年
4858,002,事業所数（事業内容等不詳を含む）,001,総数,01450,上川支庁,2009000000,2009年
274,002,事業所数（事業内容等不詳を含む）,001,総数,01452,鷹栖町,2009000000,2009年
338,002,事業所数（事業内容等不詳を含む）,001,総数,01453,東神楽町,2009000000,2009年
386,002,事業所数（事業内容等不詳を含む）,001,総数,01454,当麻町,2009000000,2009年
225,002,事業所数（事業内容等不詳を含む）,001,総数,01455,比布町,2009000000,2009年
187,002,事業所数（事業内容等不詳を含む）,001,総数,01456,愛別町,2009000000,2009年
277,002,事業所数（事業内容等不詳を含む）,001,総数,01457,上川町,2009000000,2009年
317,002,事業所数（事業内容等不詳を含む）,001,総数,01458,東川町,2009000000,2009年
597,002,事業所数（事業内容等不詳を含む）,001,総数,01459,美瑛町,2009000000,2009年
565,002,事業所数（事業内容等不詳を含む）,001,総数,01460,上富良野町,2009000000,2009年
188,002,事業所数（事業内容等不詳を含む）,001,総数,01461,中富良野町,2009000000,2009年
191,002,事業所数（事業内容等不詳を含む）,001,総数,01462,南富良野町,2009000000,2009年
106,002,事業所数（事業内容等不詳を含む）,001,総数,01463,占冠村,2009000000,2009年
242,002,事業所数（事業内容等不詳を含む）,001,総数,01464,和寒町,2009000000,2009年
181,002,事業所数（事業内容等不詳を含む）,001,総数,01465,剣淵町,2009000000,2009年
252,002,事業所数（事業内容等不詳を含む）,001,総数,01468,下川町,2009000000,2009年
307,002,事業所数（事業内容等不詳を含む）,001,総数,01469,美深町,2009000000,2009年
74,002,事業所数（事業内容等不詳を含む）,001,総数,01470,音威子府村,2009000000,2009年
151,002,事業所数（事業内容等不詳を含む）,001,総数,01471,中川 町,2009000000,2009年
2179,002,事業所数（事業内容等不詳を含む）,001,総数,01480,留萌支庁,2009000000,2009年
318,002,事業所数（事業内容等不詳を含む）,001,総数,01481,増毛町,2009000000,2009年
212,002,事業所数（事業内容等不詳を含む）,001,総数,01482,小平町,2009000000,2009年
214,002,事業所数（事業内容等不詳を含む）,001,総数,01483,苫前町,2009000000,2009年
645,002,事業所数（事業内容等不詳を含む）,001,総数,01484,羽幌町,2009000000,2009年
97,002,事業所数（事業内容等不詳を含む）,001,総数,01485,初山別村,2009000000,2009年
220,002,事業所数（事業内容等不詳を含む）,001,総数,01486,遠別町,2009000000,2009年
258,002,事業所数（事業内容等不詳を含む）,001,総数,01487,天塩町,2009000000,2009年
215,002,事業所数（事業内容等不詳を含む）,001,総数,01488,幌延町,2009000000,2009年
2117,002,事業所数（事業内容等不詳を含む）,001,総数,01510,宗谷支庁,2009000000,2009年
145,002,事業所数（事業内容等不詳を含む）,001,総数,01511,猿払村,2009000000,2009年
269,002,事業所数（事業内容等不詳を含む）,001,総数,01512,浜頓別町,2009000000,2009年
127,002,事業所数（事業内容等不詳を含む）,001,総数,01513,中頓別町,2009000000,2009年
552,002,事業所数（事業内容等不詳を含む）,001,総数,01514,枝幸町,2009000000,2009年
277,002,事業所数（事業内容等不詳を含む）,001,総数,01516,豊富町,2009000000,2009年
271,002,事業所数（事業内容等不詳を含む）,001,総数,01517,礼文町,2009000000,2009年
214,002,事業所数（事業内容等不詳を含む）,001,総数,01518,利尻町,2009000000,2009年
