value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
44708,811,事業所数,100,合計,1750,E製造業,2012000000,2012年
7346,811,事業所数,100,合計,1760,09食料品製造業,2012000000,2012年
687,811,事業所数,100,合計,2400,10飲料・たばこ・飼料製造業,2012000000,2012年
2070,811,事業所数,100,合計,2690,11繊維工業,2012000000,2012年
606,811,事業所数,100,合計,3560,12木材・木製品製造業（家具を除く）,2012000000,2012年
534,811,事業所数,100,合計,3870,13家具・装備品製造業,2012000000,2012年
1541,811,事業所数,100,合計,4070,14パルプ・紙・紙加工品製造業,2012000000,2012年
2055,811,事業所数,100,合計,4370,15印刷・同関連業,2012000000,2012年
2087,811,事業所数,100,合計,4550,16化学工業,2012000000,2012年
103,811,事業所数,100,合計,5120,17石油製品・石炭製品製造業,2012000000,2012年
3059,811,事業所数,100,合計,5270,18プラスチック製品製造業（別掲を除く）,2012000000,2012年
618,811,事業所数,100,合計,5690,19ゴム製品製造業,2012000000,2012年
146,811,事業所数,100,合計,5950,20なめし革・同製品・毛皮製造業,2012000000,2012年
1495,811,事業所数,100,合計,6200,21窯業・土石製品製造業,2012000000,2012年
1236,811,事業所数,100,合計,6870,22鉄鋼業,2012000000,2012年
786,811,事業所数,100,合計,7270,23非鉄金属製造業,2012000000,2012年
3928,811,事業所数,100,合計,7620,24金属製品製造業,2012000000,2012年
1531,811,事業所数,100,合計,8160,25はん用機械器具製造業,2012000000,2012年
3540,811,事業所数,100,合計,8480,26生産用機械器具製造業,2012000000,2012年
1153,811,事業所数,100,合計,8930,27業務用機械器具製造業,2012000000,2012年
2055,811,事業所数,100,合計,9320,28電子部品・デバイス・電子回路製造業,2012000000,2012年
2727,811,事業所数,100,合計,9630,29電気機械器具製造業,2012000000,2012年
805,811,事業所数,100,合計,10060,30情報通信機械器具製造業,2012000000,2012年
3749,811,事業所数,100,合計,10320,31輸送用機械器具製造業,2012000000,2012年
851,811,事業所数,100,合計,10650,32その他の製造業,2012000000,2012年
1383,811,事業所数,110,500m2未満,1750,E製造業,2012000000,2012年
294,811,事業所数,110,500m2未満,1760,09食料品製造業,2012000000,2012年
4,811,事業所数,110,500m2未満,2400,10飲料・たばこ・飼料製造業,2012000000,2012年
65,811,事業所数,110,500m2未満,2690,11繊維工業,2012000000,2012年
5,811,事業所数,110,500m2未満,3560,12木材・木製品製造業（家具を除く）,2012000000,2012年
13,811,事業所数,110,500m2未満,3870,13家具・装備品製造業,2012000000,2012年
43,811,事業所数,110,500m2未満,4070,14パルプ・紙・紙加工品製造業,2012000000,2012年
168,811,事業所数,110,500m2未満,4370,15印刷・同関連業,2012000000,2012年
28,811,事業所数,110,500m2未満,4550,16化学工業,2012000000,2012年
1,811,事業所数,110,500m2未満,5120,17石油製品・石炭製品製造業,2012000000,2012年
66,811,事業所数,110,500m2未満,5270,18プラスチック製品製造業（別掲を除く）,2012000000,2012年
14,811,事業所数,110,500m2未満,5690,19ゴム製品製造業,2012000000,2012年
20,811,事業所数,110,500m2未満,5950,20なめし革・同製品・毛皮製造業,2012000000,2012年
51,811,事業所数,110,500m2未満,6200,21窯業・土石製品製造業,2012000000,2012年
31,811,事業所数,110,500m2未満,6870,22鉄鋼業,2012000000,2012年
18,811,事業所数,110,500m2未満,7270,23非鉄金属製造業,2012000000,2012年
83,811,事業所数,110,500m2未満,7620,24金属製品製造業,2012000000,2012年
18,811,事業所数,110,500m2未満,8160,25はん用機械器具製造業,2012000000,2012年
49,811,事業所数,110,500m2未満,8480,26生産用機械器具製造業,2012000000,2012年
46,811,事業所数,110,500m2未満,8930,27業務用機械器具製造業,2012000000,2012年
80,811,事業所数,110,500m2未満,9320,28電子部品・デバイス・電子回路製造業,2012000000,2012年
84,811,事業所数,110,500m2未満,9630,29電気機械器具製造業,2012000000,2012年
25,811,事業所数,110,500m2未満,10060,30情報通信機械器具製造業,2012000000,2012年
141,811,事業所数,110,500m2未満,10320,31輸送用機械器具製造業,2012000000,2012年
36,811,事業所数,110,500m2未満,10650,32その他の製造業,2012000000,2012年
2086,811,事業所数,120,500m2以上1000m2未満,1750,E製造業,2012000000,2012年
506,811,事業所数,120,500m2以上1000m2未満,1760,09食料品製造業,2012000000,2012年
12,811,事業所数,120,500m2以上1000m2未満,2400,10飲料・たばこ・飼料製造業,2012000000,2012年
134,811,事業所数,120,500m2以上1000m2未満,2690,11繊維工業,2012000000,2012年
9,811,事業所数,120,500m2以上1000m2未満,3560,12木材・木製品製造業（家具を除く）,2012000000,2012年
15,811,事業所数,120,500m2以上1000m2未満,3870,13家具・装備品製造業,2012000000,2012年
37,811,事業所数,120,500m2以上1000m2未満,4070,14パルプ・紙・紙加工品製造業,2012000000,2012年
257,811,事業所数,120,500m2以上1000m2未満,4370,15印刷・同関連業,2012000000,2012年
43,811,事業所数,120,500m2以上1000m2未満,4550,16化学工業,2012000000,2012年
2,811,事業所数,120,500m2以上1000m2未満,5120,17石油製品・石炭製品製造業,2012000000,2012年
122,811,事業所数,120,500m2以上1000m2未満,5270,18プラスチック製品製造業（別掲を除く）,2012000000,2012年
28,811,事業所数,120,500m2以上1000m2未満,5690,19ゴム製品製造業,2012000000,2012年
16,811,事業所数,120,500m2以上1000m2未満,5950,20なめし革・同製品・毛皮製造業,2012000000,2012年
27,811,事業所数,120,500m2以上1000m2未満,6200,21窯業・土石製品製造業,2012000000,2012年
9,811,事業所数,120,500m2以上1000m2未満,6870,22鉄鋼業,2012000000,2012年
10,811,事業所数,120,500m2以上1000m2未満,7270,23非鉄金属製造業,2012000000,2012年
116,811,事業所数,120,500m2以上1000m2未満,7620,24金属製品製造業,2012000000,2012年
31,811,事業所数,120,500m2以上1000m2未満,8160,25はん用機械器具製造業,2012000000,2012年
119,811,事業所数,120,500m2以上1000m2未満,8480,26生産用機械器具製造業,2012000000,2012年
73,811,事業所数,120,500m2以上1000m2未満,8930,27業務用機械器具製造業,2012000000,2012年
118,811,事業所数,120,500m2以上1000m2未満,9320,28電子部品・デバイス・電子回路製造業,2012000000,2012年
201,811,事業所数,120,500m2以上1000m2未満,9630,29電気機械器具製造業,2012000000,2012年
59,811,事業所数,120,500m2以上1000m2未満,10060,30情報通信機械器具製造業,2012000000,2012年
96,811,事業所数,120,500m2以上1000m2未満,10320,31輸送用機械器具製造業,2012000000,2012年
46,811,事業所数,120,500m2以上1000m2未満,10650,32その他の製造業,2012000000,2012年
7352,811,事業所数,130,1000m2以上3000m2未満,1750,E製造業,2012000000,2012年
1546,811,事業所数,130,1000m2以上3000m2未満,1760,09食料品製造業,2012000000,2012年
38,811,事業所数,130,1000m2以上3000m2未満,2400,10飲料・たばこ・飼料製造業,2012000000,2012年
444,811,事業所数,130,1000m2以上3000m2未満,2690,11繊維工業,2012000000,2012年
39,811,事業所数,130,1000m2以上3000m2未満,3560,12木材・木製品製造業（家具を除く）,2012000000,2012年
62,811,事業所数,130,1000m2以上3000m2未満,3870,13家具・装備品製造業,2012000000,2012年
197,811,事業所数,130,1000m2以上3000m2未満,4070,14パルプ・紙・紙加工品製造業,2012000000,2012年
619,811,事業所数,130,1000m2以上3000m2未満,4370,15印刷・同関連業,2012000000,2012年
155,811,事業所数,130,1000m2以上3000m2未満,4550,16化学工業,2012000000,2012年
4,811,事業所数,130,1000m2以上3000m2未満,5120,17石油製品・石炭製品製造業,2012000000,2012年
457,811,事業所数,130,1000m2以上3000m2未満,5270,18プラスチック製品製造業（別掲を除く）,2012000000,2012年
108,811,事業所数,130,1000m2以上3000m2未満,5690,19ゴム製品製造業,2012000000,2012年
39,811,事業所数,130,1000m2以上3000m2未満,5950,20なめし革・同製品・毛皮製造業,2012000000,2012年
124,811,事業所数,130,1000m2以上3000m2未満,6200,21窯業・土石製品製造業,2012000000,2012年
60,811,事業所数,130,1000m2以上3000m2未満,6870,22鉄鋼業,2012000000,2012年
58,811,事業所数,130,1000m2以上3000m2未満,7270,23非鉄金属製造業,2012000000,2012年
612,811,事業所数,130,1000m2以上3000m2未満,7620,24金属製品製造業,2012000000,2012年
224,811,事業所数,130,1000m2以上3000m2未満,8160,25はん用機械器具製造業,2012000000,2012年
562,811,事業所数,130,1000m2以上3000m2未満,8480,26生産用機械器具製造業,2012000000,2012年
254,811,事業所数,130,1000m2以上3000m2未満,8930,27業務用機械器具製造業,2012000000,2012年
365,811,事業所数,130,1000m2以上3000m2未満,9320,28電子部品・デバイス・電子回路製造業,2012000000,2012年
614,811,事業所数,130,1000m2以上3000m2未満,9630,29電気機械器具製造業,2012000000,2012年
175,811,事業所数,130,1000m2以上3000m2未満,10060,30情報通信機械器具製造業,2012000000,2012年
412,811,事業所数,130,1000m2以上3000m2未満,10320,31輸送用機械器具製造業,2012000000,2012年
184,811,事業所数,130,1000m2以上3000m2未満,10650,32その他の製造業,2012000000,2012年
5786,811,事業所数,140,3000m2以上5000m2未満,1750,E製造業,2012000000,2012年
1234,811,事業所数,140,3000m2以上5000m2未満,1760,09食料品製造業,2012000000,2012年
46,811,事業所数,140,3000m2以上5000m2未満,2400,10飲料・たばこ・飼料製造業,2012000000,2012年
294,811,事業所数,140,3000m2以上5000m2未満,2690,11繊維工業,2012000000,2012年
35,811,事業所数,140,3000m2以上5000m2未満,3560,12木材・木製品製造業（家具を除く）,2012000000,2012年
55,811,事業所数,140,3000m2以上5000m2未満,3870,13家具・装備品製造業,2012000000,2012年
145,811,事業所数,140,3000m2以上5000m2未満,4070,14パルプ・紙・紙加工品製造業,2012000000,2012年
309,811,事業所数,140,3000m2以上5000m2未満,4370,15印刷・同関連業,2012000000,2012年
125,811,事業所数,140,3000m2以上5000m2未満,4550,16化学工業,2012000000,2012年
4,811,事業所数,140,3000m2以上5000m2未満,5120,17石油製品・石炭製品製造業,2012000000,2012年
406,811,事業所数,140,3000m2以上5000m2未満,5270,18プラスチック製品製造業（別掲を除く）,2012000000,2012年
65,811,事業所数,140,3000m2以上5000m2未満,5690,19ゴム製品製造業,2012000000,2012年
25,811,事業所数,140,3000m2以上5000m2未満,5950,20なめし革・同製品・毛皮製造業,2012000000,2012年
111,811,事業所数,140,3000m2以上5000m2未満,6200,21窯業・土石製品製造業,2012000000,2012年
83,811,事業所数,140,3000m2以上5000m2未満,6870,22鉄鋼業,2012000000,2012年
69,811,事業所数,140,3000m2以上5000m2未満,7270,23非鉄金属製造業,2012000000,2012年
570,811,事業所数,140,3000m2以上5000m2未満,7620,24金属製品製造業,2012000000,2012年
197,811,事業所数,140,3000m2以上5000m2未満,8160,25はん用機械器具製造業,2012000000,2012年
530,811,事業所数,140,3000m2以上5000m2未満,8480,26生産用機械器具製造業,2012000000,2012年
160,811,事業所数,140,3000m2以上5000m2未満,8930,27業務用機械器具製造業,2012000000,2012年
242,811,事業所数,140,3000m2以上5000m2未満,9320,28電子部品・デバイス・電子回路製造業,2012000000,2012年
429,811,事業所数,140,3000m2以上5000m2未満,9630,29電気機械器具製造業,2012000000,2012年
101,811,事業所数,140,3000m2以上5000m2未満,10060,30情報通信機械器具製造業,2012000000,2012年
441,811,事業所数,140,3000m2以上5000m2未満,10320,31輸送用機械器具製造業,2012000000,2012年
110,811,事業所数,140,3000m2以上5000m2未満,10650,32その他の製造業,2012000000,2012年
8648,811,事業所数,150,5000m2以上1万m2未満,1750,E製造業,2012000000,2012年
1417,811,事業所数,150,5000m2以上1万m2未満,1760,09食料品製造業,2012000000,2012年
109,811,事業所数,150,5000m2以上1万m2未満,2400,10飲料・たばこ・飼料製造業,2012000000,2012年
442,811,事業所数,150,5000m2以上1万m2未満,2690,11繊維工業,2012000000,2012年
104,811,事業所数,150,5000m2以上1万m2未満,3560,12木材・木製品製造業（家具を除く）,2012000000,2012年
104,811,事業所数,150,5000m2以上1万m2未満,3870,13家具・装備品製造業,2012000000,2012年
314,811,事業所数,150,5000m2以上1万m2未満,4070,14パルプ・紙・紙加工品製造業,2012000000,2012年
335,811,事業所数,150,5000m2以上1万m2未満,4370,15印刷・同関連業,2012000000,2012年
258,811,事業所数,150,5000m2以上1万m2未満,4550,16化学工業,2012000000,2012年
14,811,事業所数,150,5000m2以上1万m2未満,5120,17石油製品・石炭製品製造業,2012000000,2012年
644,811,事業所数,150,5000m2以上1万m2未満,5270,18プラスチック製品製造業（別掲を除く）,2012000000,2012年
119,811,事業所数,150,5000m2以上1万m2未満,5690,19ゴム製品製造業,2012000000,2012年
22,811,事業所数,150,5000m2以上1万m2未満,5950,20なめし革・同製品・毛皮製造業,2012000000,2012年
190,811,事業所数,150,5000m2以上1万m2未満,6200,21窯業・土石製品製造業,2012000000,2012年
177,811,事業所数,150,5000m2以上1万m2未満,6870,22鉄鋼業,2012000000,2012年
128,811,事業所数,150,5000m2以上1万m2未満,7270,23非鉄金属製造業,2012000000,2012年
904,811,事業所数,150,5000m2以上1万m2未満,7620,24金属製品製造業,2012000000,2012年
326,811,事業所数,150,5000m2以上1万m2未満,8160,25はん用機械器具製造業,2012000000,2012年
879,811,事業所数,150,5000m2以上1万m2未満,8480,26生産用機械器具製造業,2012000000,2012年
218,811,事業所数,150,5000m2以上1万m2未満,8930,27業務用機械器具製造業,2012000000,2012年
356,811,事業所数,150,5000m2以上1万m2未満,9320,28電子部品・デバイス・電子回路製造業,2012000000,2012年
