value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
44708,811,事業所数,100,合計,00000,全国,2012000000,2012年
1162,811,事業所数,100,合計,01000,北海道,2012000000,2012年
384,811,事業所数,100,合計,02000,青森県,2012000000,2012年
597,811,事業所数,100,合計,03000,岩手県,2012000000,2012年
637,811,事業所数,100,合計,04000,宮城県,2012000000,2012年
476,811,事業所数,100,合計,05000,秋田県,2012000000,2012年
725,811,事業所数,100,合計,06000,山形県,2012000000,2012年
1028,811,事業所数,100,合計,07000,福島県,2012000000,2012年
1441,811,事業所数,100,合計,08000,茨城県,2012000000,2012年
1131,811,事業所数,100,合計,09000,栃木県,2012000000,2012年
1213,811,事業所数,100,合計,10000,群馬県,2012000000,2012年
2414,811,事業所数,100,合計,11000,埼玉県,2012000000,2012年
1276,811,事業所数,100,合計,12000,千葉県,2012000000,2012年
1609,811,事業所数,100,合計,13000,東京都,2012000000,2012年
1937,811,事業所数,100,合計,14000,神奈川県,2012000000,2012年
1269,811,事業所数,100,合計,15000,新潟県,2012000000,2012年
762,811,事業所数,100,合計,16000,富山県,2012000000,2012年
563,811,事業所数,100,合計,17000,石川県,2012000000,2012年
458,811,事業所数,100,合計,18000,福井県,2012000000,2012年
442,811,事業所数,100,合計,19000,山梨県,2012000000,2012年
1218,811,事業所数,100,合計,20000,長野県,2012000000,2012年
1259,811,事業所数,100,合計,21000,岐阜県,2012000000,2012年
2314,811,事業所数,100,合計,22000,静岡県,2012000000,2012年
3691,811,事業所数,100,合計,23000,愛知県,2012000000,2012年
962,811,事業所数,100,合計,24000,三重県,2012000000,2012年
847,811,事業所数,100,合計,25000,滋賀県,2012000000,2012年
825,811,事業所数,100,合計,26000,京都府,2012000000,2012年
2833,811,事業所数,100,合計,27000,大阪府,2012000000,2012年
2060,811,事業所数,100,合計,28000,兵庫県,2012000000,2012年
398,811,事業所数,100,合計,29000,奈良県,2012000000,2012年
353,811,事業所数,100,合計,30000,和歌山県,2012000000,2012年
234,811,事業所数,100,合計,31000,鳥取県,2012000000,2012年
271,811,事業所数,100,合計,32000,島根県,2012000000,2012年
897,811,事業所数,100,合計,33000,岡山県,2012000000,2012年
1163,811,事業所数,100,合計,34000,広島県,2012000000,2012年
545,811,事業所数,100,合計,35000,山口県,2012000000,2012年
246,811,事業所数,100,合計,36000,徳島県,2012000000,2012年
465,811,事業所数,100,合計,37000,香川県,2012000000,2012年
537,811,事業所数,100,合計,38000,愛媛県,2012000000,2012年
193,811,事業所数,100,合計,39000,高知県,2012000000,2012年
1298,811,事業所数,100,合計,40000,福岡県,2012000000,2012年
366,811,事業所数,100,合計,41000,佐賀県,2012000000,2012年
331,811,事業所数,100,合計,42000,長崎県,2012000000,2012年
506,811,事業所数,100,合計,43000,熊本県,2012000000,2012年
387,811,事業所数,100,合計,44000,大分県,2012000000,2012年
352,811,事業所数,100,合計,45000,宮崎県,2012000000,2012年
466,811,事業所数,100,合計,46000,鹿児島県,2012000000,2012年
167,811,事業所数,100,合計,47000,沖縄県,2012000000,2012年
1383,811,事業所数,110,500m2未満,00000,全国,2012000000,2012年
29,811,事業所数,110,500m2未満,01000,北海道,2012000000,2012年
5,811,事業所数,110,500m2未満,02000,青森県,2012000000,2012年
16,811,事業所数,110,500m2未満,03000,岩手県,2012000000,2012年
16,811,事業所数,110,500m2未満,04000,宮城県,2012000000,2012年
13,811,事業所数,110,500m2未満,05000,秋田県,2012000000,2012年
15,811,事業所数,110,500m2未満,06000,山形県,2012000000,2012年
17,811,事業所数,110,500m2未満,07000,福島県,2012000000,2012年
26,811,事業所数,110,500m2未満,08000,茨城県,2012000000,2012年
18,811,事業所数,110,500m2未満,09000,栃木県,2012000000,2012年
17,811,事業所数,110,500m2未満,10000,群馬県,2012000000,2012年
80,811,事業所数,110,500m2未満,11000,埼玉県,2012000000,2012年
26,811,事業所数,110,500m2未満,12000,千葉県,2012000000,2012年
213,811,事業所数,110,500m2未満,13000,東京都,2012000000,2012年
81,811,事業所数,110,500m2未満,14000,神奈川県,2012000000,2012年
22,811,事業所数,110,500m2未満,15000,新潟県,2012000000,2012年
9,811,事業所数,110,500m2未満,16000,富山県,2012000000,2012年
3,811,事業所数,110,500m2未満,17000,石川県,2012000000,2012年
5,811,事業所数,110,500m2未満,18000,福井県,2012000000,2012年
6,811,事業所数,110,500m2未満,19000,山梨県,2012000000,2012年
17,811,事業所数,110,500m2未満,20000,長野県,2012000000,2012年
24,811,事業所数,110,500m2未満,21000,岐阜県,2012000000,2012年
39,811,事業所数,110,500m2未満,22000,静岡県,2012000000,2012年
96,811,事業所数,110,500m2未満,23000,愛知県,2012000000,2012年
13,811,事業所数,110,500m2未満,24000,三重県,2012000000,2012年
23,811,事業所数,110,500m2未満,25000,滋賀県,2012000000,2012年
46,811,事業所数,110,500m2未満,26000,京都府,2012000000,2012年
189,811,事業所数,110,500m2未満,27000,大阪府,2012000000,2012年
98,811,事業所数,110,500m2未満,28000,兵庫県,2012000000,2012年
7,811,事業所数,110,500m2未満,29000,奈良県,2012000000,2012年
4,811,事業所数,110,500m2未満,30000,和歌山県,2012000000,2012年
4,811,事業所数,110,500m2未満,31000,鳥取県,2012000000,2012年
3,811,事業所数,110,500m2未満,32000,島根県,2012000000,2012年
14,811,事業所数,110,500m2未満,33000,岡山県,2012000000,2012年
41,811,事業所数,110,500m2未満,34000,広島県,2012000000,2012年
15,811,事業所数,110,500m2未満,35000,山口県,2012000000,2012年
3,811,事業所数,110,500m2未満,36000,徳島県,2012000000,2012年
10,811,事業所数,110,500m2未満,37000,香川県,2012000000,2012年
11,811,事業所数,110,500m2未満,38000,愛媛県,2012000000,2012年
5,811,事業所数,110,500m2未満,39000,高知県,2012000000,2012年
40,811,事業所数,110,500m2未満,40000,福岡県,2012000000,2012年
6,811,事業所数,110,500m2未満,41000,佐賀県,2012000000,2012年
16,811,事業所数,110,500m2未満,42000,長崎県,2012000000,2012年
6,811,事業所数,110,500m2未満,43000,熊本県,2012000000,2012年
11,811,事業所数,110,500m2未満,44000,大分県,2012000000,2012年
6,811,事業所数,110,500m2未満,45000,宮崎県,2012000000,2012年
13,811,事業所数,110,500m2未満,46000,鹿児島県,2012000000,2012年
6,811,事業所数,110,500m2未満,47000,沖縄県,2012000000,2012年
2086,811,事業所数,120,500m2以上1000m2未満,00000,全国,2012000000,2012年
38,811,事業所数,120,500m2以上1000m2未満,01000,北海道,2012000000,2012年
14,811,事業所数,120,500m2以上1000m2未満,02000,青森県,2012000000,2012年
15,811,事業所数,120,500m2以上1000m2未満,03000,岩手県,2012000000,2012年
11,811,事業所数,120,500m2以上1000m2未満,04000,宮城県,2012000000,2012年
21,811,事業所数,120,500m2以上1000m2未満,05000,秋田県,2012000000,2012年
25,811,事業所数,120,500m2以上1000m2未満,06000,山形県,2012000000,2012年
31,811,事業所数,120,500m2以上1000m2未満,07000,福島県,2012000000,2012年
