value,tab,tab_label,cat01,cat01_label,time,time_label
922,831,事業所数（事業内容等不詳を含む）,01402,岩内町,2012000000,2012年
97,831,事業所数（事業内容等不詳を含む）,01403,泊村,2012000000,2012年
71,831,事業所数（事業内容等不詳を含む）,01404,神恵内村,2012000000,2012年
127,831,事業所数（事業内容等不詳を含む）,01405,積丹町,2012000000,2012年
192,831,事業所数（事業内容等不詳を含む）,01406,古平町,2012000000,2012年
142,831,事業所数（事業内容等不詳を含む）,01407,仁木町,2012000000,2012年
986,831,事業所数（事業内容等不詳を含む）,01408,余市町,2012000000,2012年
64,831,事業所数（事業内容等不詳を含む）,01409,赤井川村,2012000000,2012年
3263,831,事業所数（事業内容等不詳を含む）,01420,空知総合振興局,2012000000,2012年
275,831,事業所数（事業内容等不詳を含む）,01423,南幌町,2012000000,2012年
300,831,事業所数（事業内容等不詳を含む）,01424,奈井江町,2012000000,2012年
123,831,事業所数（事業内容等不詳を含む）,01425,上砂川町,2012000000,2012年
305,831,事業所数（事業内容等不詳を含む）,01427,由仁町,2012000000,2012年
480,831,事業所数（事業内容等不詳を含む）,01428,長沼町,2012000000,2012年
668,831,事業所数（事業内容等不詳を含む）,01429,栗山町,2012000000,2012年
164,831,事業所数（事業内容等不詳を含む）,01430,月形町,2012000000,2012年
93,831,事業所数（事業内容等不詳を含む）,01431,浦臼町,2012000000,2012年
205,831,事業所数（事業内容等不詳を含む）,01432,新十津川町,2012000000,2012年
148,831,事業所数（事業内容等不詳を含む）,01433,妹背牛町,2012000000,2012年
132,831,事業所数（事業内容等不詳を含む）,01434,秩父別町,2012000000,2012年
118,831,事業所数（事業内容等不詳を含む）,01436,雨竜町,2012000000,2012年
101,831,事業所数（事業内容等不詳を含む）,01437,北竜町,2012000000,2012年
151,831,事業所数（事業内容等不詳を含む）,01438,沼田町,2012000000,2012年
4216,831,事業所数（事業内容等不詳を含む）,01450,上川総合振興局,2012000000,2012年
227,831,事業所数（事業内容等不詳を含む）,01452,鷹栖町,2012000000,2012年
278,831,事業所数（事業内容等不詳を含む）,01453,東神楽町,2012000000,2012年
321,831,事業所数（事業内容等不詳を含む）,01454,当麻町,2012000000,2012年
192,831,事業所数（事業内容等不詳を含む）,01455,比布町,2012000000,2012年
161,831,事業所数（事業内容等不詳を含む）,01456,愛別町,2012000000,2012年
225,831,事業所数（事業内容等不詳を含む）,01457,上川町,2012000000,2012年
