value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
123,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,37000,香川県,2016000000,2016年
153,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,38000,愛媛県,2016000000,2016年
63,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,39000,高知県,2016000000,2016年
918,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,40000,福岡県,2016000000,2016年
111,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,40100,北九州市,2016000000,2016年
682,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,40130,福岡市,2016000000,2016年
43,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,41000,佐賀県,2016000000,2016年
105,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,42000,長崎県,2016000000,2016年
152,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,43000,熊本県,2016000000,2016年
111,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,43100,熊本市,2016000000,2016年
101,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,44000,大分県,2016000000,2016年
84,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,45000,宮崎県,2016000000,2016年
122,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,46000,鹿児島県,2016000000,2016年
169,811,事業所数,09910,391ソフトウェア業,010,従業者規模 総数,47000,沖縄県,2016000000,2016年
7097,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,00000,全国,2016000000,2016年
222,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,01000,北海道,2016000000,2016年
136,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,01100,札幌市,2016000000,2016年
34,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,02000,青森県,2016000000,2016年
59,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,03000,岩手県,2016000000,2016年
127,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,04000,宮城県,2016000000,2016年
110,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,04100,仙台市,2016000000,2016年
44,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,05000,秋田県,2016000000,2016年
48,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,06000,山形県,2016000000,2016年
78,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,07000,福島県,2016000000,2016年
116,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,08000,茨城県,2016000000,2016年
75,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,09000,栃木県,2016000000,2016年
93,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,10000,群馬県,2016000000,2016年
335,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,11000,埼玉県,2016000000,2016年
81,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,11100,さいたま市,2016000000,2016年
251,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,12000,千葉県,2016000000,2016年
34,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,12100,千葉市,2016000000,2016年
1488,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,13000,東京都,2016000000,2016年
1135,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,13100,特別区部,2016000000,2016年
646,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,14000,神奈川県,2016000000,2016年
318,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,14100,横浜市,2016000000,2016年
93,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,14130,川崎市,2016000000,2016年
46,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,14150,相模原市,2016000000,2016年
101,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,15000,新潟県,2016000000,2016年
46,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,15100,新潟市,2016000000,2016年
42,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,16000,富山県,2016000000,2016年
68,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,17000,石川県,2016000000,2016年
51,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,18000,福井県,2016000000,2016年
45,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,19000,山梨県,2016000000,2016年
147,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,20000,長野県,2016000000,2016年
85,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,21000,岐阜県,2016000000,2016年
176,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,22000,静岡県,2016000000,2016年
32,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,22100,静岡市,2016000000,2016年
57,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,22130,浜松市,2016000000,2016年
447,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,23000,愛知県,2016000000,2016年
248,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,23100,名古屋市,2016000000,2016年
66,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,24000,三重県,2016000000,2016年
61,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,25000,滋賀県,2016000000,2016年
100,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,26000,京都府,2016000000,2016年
64,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,26100,京都市,2016000000,2016年
593,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,27000,大阪府,2016000000,2016年
371,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,27100,大阪市,2016000000,2016年
20,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,27140,堺市,2016000000,2016年
239,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,28000,兵庫県,2016000000,2016年
116,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,28100,神戸市,2016000000,2016年
42,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,29000,奈良県,2016000000,2016年
33,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,30000,和歌山県,2016000000,2016年
27,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,31000,鳥取県,2016000000,2016年
31,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,32000,島根県,2016000000,2016年
92,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,33000,岡山県,2016000000,2016年
59,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,33100,岡山市,2016000000,2016年
164,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,34000,広島県,2016000000,2016年
107,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,34100,広島市,2016000000,2016年
54,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,35000,山口県,2016000000,2016年
34,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,36000,徳島県,2016000000,2016年
55,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,37000,香川県,2016000000,2016年
67,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,38000,愛媛県,2016000000,2016年
28,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,39000,高知県,2016000000,2016年
319,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,40000,福岡県,2016000000,2016年
37,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,40100,北九州市,2016000000,2016年
208,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,40130,福岡市,2016000000,2016年
23,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,41000,佐賀県,2016000000,2016年
44,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,42000,長崎県,2016000000,2016年
71,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,43000,熊本県,2016000000,2016年
51,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,43100,熊本市,2016000000,2016年
44,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,44000,大分県,2016000000,2016年
25,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,45000,宮崎県,2016000000,2016年
50,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,46000,鹿児島県,2016000000,2016年
57,811,事業所数,09910,391ソフトウェア業,020,従業者規模 4人以下,47000,沖縄県,2016000000,2016年
3234,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,00000,全国,2016000000,2016年
132,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,01000,北海道,2016000000,2016年
95,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,01100,札幌市,2016000000,2016年
19,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,02000,青森県,2016000000,2016年
24,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,03000,岩手県,2016000000,2016年
53,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,04000,宮城県,2016000000,2016年
51,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,04100,仙台市,2016000000,2016年
12,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,05000,秋田県,2016000000,2016年
18,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,06000,山形県,2016000000,2016年
28,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,07000,福島県,2016000000,2016年
43,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,08000,茨城県,2016000000,2016年
30,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,09000,栃木県,2016000000,2016年
35,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,10000,群馬県,2016000000,2016年
70,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,11000,埼玉県,2016000000,2016年
22,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,11100,さいたま市,2016000000,2016年
60,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,12000,千葉県,2016000000,2016年
13,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,12100,千葉市,2016000000,2016年
878,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,13000,東京都,2016000000,2016年
782,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,13100,特別区部,2016000000,2016年
171,811,事業所数,09910,391ソフトウェア業,030,従業者規模 5～9人,14000,神奈川県,2016000000,2016年
