value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,time,time_label
38,811,事業所数,120,500m2以上1000m2未満,06950,25はん用機械器具製造業,2016000000,2016年
116,811,事業所数,120,500m2以上1000m2未満,07220,26生産用機械器具製造業,2016000000,2016年
85,811,事業所数,120,500m2以上1000m2未満,07600,27業務用機械器具製造業,2016000000,2016年
95,811,事業所数,120,500m2以上1000m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
178,811,事業所数,120,500m2以上1000m2未満,08180,29電気機械器具製造業,2016000000,2016年
27,811,事業所数,120,500m2以上1000m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
78,811,事業所数,120,500m2以上1000m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
59,811,事業所数,120,500m2以上1000m2未満,09010,32その他の製造業,2016000000,2016年
7176,811,事業所数,130,1000m2以上3000m2未満,01490,E製造業,2016000000,2016年
1551,811,事業所数,130,1000m2以上3000m2未満,01500,09食料品製造業,2016000000,2016年
39,811,事業所数,130,1000m2以上3000m2未満,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
400,811,事業所数,130,1000m2以上3000m2未満,02280,11繊維工業,2016000000,2016年
36,811,事業所数,130,1000m2以上3000m2未満,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
70,811,事業所数,130,1000m2以上3000m2未満,03310,13家具・装備品製造業,2016000000,2016年
191,811,事業所数,130,1000m2以上3000m2未満,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
546,811,事業所数,130,1000m2以上3000m2未満,03730,15印刷・同関連業,2016000000,2016年
154,811,事業所数,130,1000m2以上3000m2未満,03880,16化学工業,2016000000,2016年
6,811,事業所数,130,1000m2以上3000m2未満,04370,17石油製品・石炭製品製造業,2016000000,2016年
472,811,事業所数,130,1000m2以上3000m2未満,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
109,811,事業所数,130,1000m2以上3000m2未満,04860,19ゴム製品製造業,2016000000,2016年
45,811,事業所数,130,1000m2以上3000m2未満,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
111,811,事業所数,130,1000m2以上3000m2未満,05300,21窯業・土石製品製造業,2016000000,2016年
68,811,事業所数,130,1000m2以上3000m2未満,05870,22鉄鋼業,2016000000,2016年
54,811,事業所数,130,1000m2以上3000m2未満,06210,23非鉄金属製造業,2016000000,2016年
656,811,事業所数,130,1000m2以上3000m2未満,06490,24金属製品製造業,2016000000,2016年
236,811,事業所数,130,1000m2以上3000m2未満,06950,25はん用機械器具製造業,2016000000,2016年
600,811,事業所数,130,1000m2以上3000m2未満,07220,26生産用機械器具製造業,2016000000,2016年
264,811,事業所数,130,1000m2以上3000m2未満,07600,27業務用機械器具製造業,2016000000,2016年
274,811,事業所数,130,1000m2以上3000m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
555,811,事業所数,130,1000m2以上3000m2未満,08180,29電気機械器具製造業,2016000000,2016年
116,811,事業所数,130,1000m2以上3000m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
438,811,事業所数,130,1000m2以上3000m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
185,811,事業所数,130,1000m2以上3000m2未満,09010,32その他の製造業,2016000000,2016年
5424,811,事業所数,140,3000m2以上5000m2未満,01490,E製造業,2016000000,2016年
1070,811,事業所数,140,3000m2以上5000m2未満,01500,09食料品製造業,2016000000,2016年
49,811,事業所数,140,3000m2以上5000m2未満,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
252,811,事業所数,140,3000m2以上5000m2未満,02280,11繊維工業,2016000000,2016年
29,811,事業所数,140,3000m2以上5000m2未満,03050,12木材・木製品製造業（家具を除く）,2016000000,2016年
61,811,事業所数,140,3000m2以上5000m2未満,03310,13家具・装備品製造業,2016000000,2016年
139,811,事業所数,140,3000m2以上5000m2未満,03480,14パルプ・紙・紙加工品製造業,2016000000,2016年
311,811,事業所数,140,3000m2以上5000m2未満,03730,15印刷・同関連業,2016000000,2016年
123,811,事業所数,140,3000m2以上5000m2未満,03880,16化学工業,2016000000,2016年
1,811,事業所数,140,3000m2以上5000m2未満,04370,17石油製品・石炭製品製造業,2016000000,2016年
383,811,事業所数,140,3000m2以上5000m2未満,04510,18プラスチック製品製造業（別掲を除く）,2016000000,2016年
67,811,事業所数,140,3000m2以上5000m2未満,04860,19ゴム製品製造業,2016000000,2016年
17,811,事業所数,140,3000m2以上5000m2未満,05070,20なめし革・同製品・毛皮製造業,2016000000,2016年
101,811,事業所数,140,3000m2以上5000m2未満,05300,21窯業・土石製品製造業,2016000000,2016年
59,811,事業所数,140,3000m2以上5000m2未満,05870,22鉄鋼業,2016000000,2016年
63,811,事業所数,140,3000m2以上5000m2未満,06210,23非鉄金属製造業,2016000000,2016年
594,811,事業所数,140,3000m2以上5000m2未満,06490,24金属製品製造業,2016000000,2016年
200,811,事業所数,140,3000m2以上5000m2未満,06950,25はん用機械器具製造業,2016000000,2016年
559,811,事業所数,140,3000m2以上5000m2未満,07220,26生産用機械器具製造業,2016000000,2016年
151,811,事業所数,140,3000m2以上5000m2未満,07600,27業務用機械器具製造業,2016000000,2016年
210,811,事業所数,140,3000m2以上5000m2未満,07930,28電子部品・デバイス・電子回路製造業,2016000000,2016年
377,811,事業所数,140,3000m2以上5000m2未満,08180,29電気機械器具製造業,2016000000,2016年
68,811,事業所数,140,3000m2以上5000m2未満,08530,30情報通信機械器具製造業,2016000000,2016年
413,811,事業所数,140,3000m2以上5000m2未満,08750,31輸送用機械器具製造業,2016000000,2016年
127,811,事業所数,140,3000m2以上5000m2未満,09010,32その他の製造業,2016000000,2016年
8411,811,事業所数,150,5000m2以上1万m2未満,01490,E製造業,2016000000,2016年
1470,811,事業所数,150,5000m2以上1万m2未満,01500,09食料品製造業,2016000000,2016年
111,811,事業所数,150,5000m2以上1万m2未満,02040,10飲料・たばこ・飼料製造業,2016000000,2016年
