value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
2322449,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0020000000,平成20年
1985708,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0021000000,平成21年
2045145,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0022000000,平成22年
1944216,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0023000000,平成23年
1776492,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000000,平成24年
2011708,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0022010000,平成22年度
1925233,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0023010000,平成23年度
461833,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000103,平成24年 1 ～ 3 月
460008,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000406,平成24年 4 ～ 6 月
427702,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000709,平成24年 7 ～ 9 月
426949,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024001012,平成24年 10 ～ 12 月
146844,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000101,平成24年1月
157011,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000202,平成24年2月
157978,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000303,平成24年3月
158709,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000404,平成24年4月
150993,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000505,平成24年5月
150306,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000606,平成24年6月
141667,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000707,平成24年7月
140379,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000808,平成24年8月
145656,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024000909,平成24年9月
144928,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024001010,平成24年10月
142823,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024001111,平成24年11月
139198,101010000,紙,104010000,消費数量 (t),115010000,1.パルプ 計 2～4,0024001212,平成24年12月
1961169,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0020000000,平成20年
1678950,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0021000000,平成21年
1750055,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0022000000,平成22年
1649577,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0023000000,平成23年
1531326,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000000,平成24年
1708962,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0022010000,平成22年度
1648403,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0023010000,平成23年度
403353,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000103,平成24年 1 ～ 3 月
395072,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000406,平成24年 4 ～ 6 月
367906,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000709,平成24年 7 ～ 9 月
364995,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024001012,平成24年 10 ～ 12 月
126128,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000101,平成24年1月
139111,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000202,平成24年2月
138114,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000303,平成24年3月
137259,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000404,平成24年4月
129530,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000505,平成24年5月
128283,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000606,平成24年6月
122993,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000707,平成24年7月
120037,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000808,平成24年8月
124876,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024000909,平成24年9月
123687,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024001010,平成24年10月
121522,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024001111,平成24年11月
119786,101010000,紙,104010000,消費数量 (t),115011000,1.パルプ 2.クラフトパルプ (1)+(2),0024001212,平成24年12月
1840186,101010000,紙,104010000,消費数量 (t),115011100,1.パルプ 2.クラフトパルプ (1)さらし 1)+2),0020000000,平成20年
1599915,101010000,紙,104010000,消費数量 (t),115011100,1.パルプ 2.クラフトパルプ (1)さらし 1)+2),0021000000,平成21年
1682288,101010000,紙,104010000,消費数量 (t),115011100,1.パルプ 2.クラフトパルプ (1)さらし 1)+2),0022000000,平成22年
