value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
808917,010005,計,050001010,合計,13020000,受入 (t),0020000000,平成20年
429935,010005,計,050001010,合計,13020000,受入 (t),0021000000,平成21年
587379,010005,計,050001010,合計,13020000,受入 (t),0022000000,平成22年
517749,010005,計,050001010,合計,13020000,受入 (t),0023000000,平成23年
450950,010005,計,050001010,合計,13020000,受入 (t),0024000000,平成24年
611497,010005,計,050001010,合計,13020000,受入 (t),0022010000,平成22年度
490008,010005,計,050001010,合計,13020000,受入 (t),0023010000,平成23年度
128703,010005,計,050001010,合計,13020000,受入 (t),0024000103,平成24年 1 ～ 3 月
126185,010005,計,050001010,合計,13020000,受入 (t),0024000406,平成24年 4 ～ 6 月
106545,010005,計,050001010,合計,13020000,受入 (t),0024000709,平成24年 7 ～ 9 月
89517,010005,計,050001010,合計,13020000,受入 (t),0024001012,平成24年 10 ～ 12 月
40729,010005,計,050001010,合計,13020000,受入 (t),0024000101,平成24年1月
46295,010005,計,050001010,合計,13020000,受入 (t),0024000202,平成24年2月
41679,010005,計,050001010,合計,13020000,受入 (t),0024000303,平成24年3月
38513,010005,計,050001010,合計,13020000,受入 (t),0024000404,平成24年4月
43424,010005,計,050001010,合計,13020000,受入 (t),0024000505,平成24年5月
44248,010005,計,050001010,合計,13020000,受入 (t),0024000606,平成24年6月
43546,010005,計,050001010,合計,13020000,受入 (t),0024000707,平成24年7月
30243,010005,計,050001010,合計,13020000,受入 (t),0024000808,平成24年8月
32756,010005,計,050001010,合計,13020000,受入 (t),0024000909,平成24年9月
35265,010005,計,050001010,合計,13020000,受入 (t),0024001010,平成24年10月
24259,010005,計,050001010,合計,13020000,受入 (t),0024001111,平成24年11月
29993,010005,計,050001010,合計,13020000,受入 (t),0024001212,平成24年12月
119150253,010005,計,050001010,合計,13040000,消費 (t),0020000000,平成20年
87755425,010005,計,050001010,合計,13040000,消費 (t),0021000000,平成21年
109971536,010005,計,050001010,合計,13040000,消費 (t),0022000000,平成22年
107981770,010005,計,050001010,合計,13040000,消費 (t),0023000000,平成23年
107596676,010005,計,050001010,合計,13040000,消費 (t),0024000000,平成24年
111183080,010005,計,050001010,合計,13040000,消費 (t),0022010000,平成22年度
106843549,010005,計,050001010,合計,13040000,消費 (t),0023010000,平成23年度
26666619,010005,計,050001010,合計,13040000,消費 (t),0024000103,平成24年 1 ～ 3 月
27603213,010005,計,050001010,合計,13040000,消費 (t),0024000406,平成24年 4 ～ 6 月
27353438,010005,計,050001010,合計,13040000,消費 (t),0024000709,平成24年 7 ～ 9 月
25973406,010005,計,050001010,合計,13040000,消費 (t),0024001012,平成24年 10 ～ 12 月
8656251,010005,計,050001010,合計,13040000,消費 (t),0024000101,平成24年1月
8648871,010005,計,050001010,合計,13040000,消費 (t),0024000202,平成24年2月
9361497,010005,計,050001010,合計,13040000,消費 (t),0024000303,平成24年3月
9108688,010005,計,050001010,合計,13040000,消費 (t),0024000404,平成24年4月
9260621,010005,計,050001010,合計,13040000,消費 (t),0024000505,平成24年5月
9233904,010005,計,050001010,合計,13040000,消費 (t),0024000606,平成24年6月
9283154,010005,計,050001010,合計,13040000,消費 (t),0024000707,平成24年7月
9235185,010005,計,050001010,合計,13040000,消費 (t),0024000808,平成24年8月
8835099,010005,計,050001010,合計,13040000,消費 (t),0024000909,平成24年9月
8859671,010005,計,050001010,合計,13040000,消費 (t),0024001010,平成24年10月
8520433,010005,計,050001010,合計,13040000,消費 (t),0024001111,平成24年11月
8593302,010005,計,050001010,合計,13040000,消費 (t),0024001212,平成24年12月
174097,010005,計,050001010,合計,13060000,販売 (t),0020000000,平成20年
134206,010005,計,050001010,合計,13060000,販売 (t),0021000000,平成21年
132812,010005,計,050001010,合計,13060000,販売 (t),0022000000,平成22年
73725,010005,計,050001010,合計,13060000,販売 (t),0023000000,平成23年
39400,010005,計,050001010,合計,13060000,販売 (t),0024000000,平成24年
132215,010005,計,050001010,合計,13060000,販売 (t),0022010000,平成22年度
52330,010005,計,050001010,合計,13060000,販売 (t),0023010000,平成23年度
11370,010005,計,050001010,合計,13060000,販売 (t),0024000103,平成24年 1 ～ 3 月
10444,010005,計,050001010,合計,13060000,販売 (t),0024000406,平成24年 4 ～ 6 月
