value,cat02,cat02_label,time,time_label
517758,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220010,2018000000_2018年(CY)
399641,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220020,2019000000_2019年(CY)
408300,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220030,2020000000_2020年(CY)
575412,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220040,2021000000_2021年(CY)
458210,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220050,2022000000_2022年(CY)
461581,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220110,2020100000_2020年度(FY)
555423,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220120,2021100000_2021年度(FY)
113411,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220310,2022000103_2022年1～3月期(Q1)
112684,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220320,2022000406_2022年4～6月期(Q2)
108625,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220330,2022000709_2022年7～9月期(Q3)
123490,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220340,2022001012_2022年10～12月期(Q4)
37103,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220510,2022000101_2022年1月(Jan.)
34107,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220520,2022000202_2022年2月(Feb.)
42201,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220530,2022000303_2022年3月(Mar.)
40173,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220540,2022000404_2022年4月(Apr.)
33881,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220550,2022000505_2022年5月(May)
38630,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220560,2022000606_2022年6月(Jun.)
34868,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220570,2022000707_2022年7月(Jul.)
31608,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220580,2022000808_2022年8月(Aug.)
42149,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220590,2022000909_2022年9月(Sep.)
41076,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220600,2022001010_2022年10月(Oct.)
41876,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220610,2022001111_2022年11月(Nov.)
40538,2350010010,製品_0101_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個,20220620,2022001212_2022年12月(Dec.)
19379,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220010,2018000000_2018年(CY)
17444,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220020,2019000000_2019年(CY)
16763,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220030,2020000000_2020年(CY)
22955,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220040,2021000000_2021年(CY)
25138,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220050,2022000000_2022年(CY)
17978,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220110,2020100000_2020年度(FY)
22597,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220120,2021100000_2021年度(FY)
5148,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220310,2022000103_2022年1～3月期(Q1)
6188,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220320,2022000406_2022年4～6月期(Q2)
6429,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220330,2022000709_2022年7～9月期(Q3)
7373,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220340,2022001012_2022年10～12月期(Q4)
1690,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220510,2022000101_2022年1月(Jan.)
1591,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220520,2022000202_2022年2月(Feb.)
1867,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220530,2022000303_2022年3月(Mar.)
1903,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220540,2022000404_2022年4月(Apr.)
1828,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220550,2022000505_2022年5月(May)
2457,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220560,2022000606_2022年6月(Jun.)
2169,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220570,2022000707_2022年7月(Jul.)
1891,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220580,2022000808_2022年8月(Aug.)
2369,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220590,2022000909_2022年9月(Sep.)
2529,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220600,2022001010_2022年10月(Oct.)
2641,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220610,2022001111_2022年11月(Nov.)
2203,2350010020,製品_0101_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円,20220620,2022001212_2022年12月(Dec.)
587857,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220010,2018000000_2018年(CY)
478438,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220020,2019000000_2019年(CY)
180314,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220030,2020000000_2020年(CY)
155121,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220040,2021000000_2021年(CY)
155277,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220050,2022000000_2022年(CY)
144093,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220110,2020100000_2020年度(FY)
158905,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220120,2021100000_2021年度(FY)
40236,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220310,2022000103_2022年1～3月期(Q1)
39470,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220320,2022000406_2022年4～6月期(Q2)
39428,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220330,2022000709_2022年7～9月期(Q3)
36143,2350010030,製品_0102_その他の可変抵抗器_A_生産数量_千個,20220340,2022001012_2022年10～12月期(Q4)
