value,cat01,cat01_label,cat02,cat02_label
12949,101031000,出荷数量 販売数量 (t),102012510,紙 印刷・情報用紙 情報用紙 複写原紙
247761,101031000,出荷数量 販売数量 (t),102012520,紙 印刷・情報用紙 情報用紙 フォーム用紙
768294,101031000,出荷数量 販売数量 (t),102012530,紙 印刷・情報用紙 情報用紙 ＰＰＣ用紙
36676,101031000,出荷数量 販売数量 (t),102012540,紙 印刷・情報用紙 情報用紙 情報記録紙
52112,101031000,出荷数量 販売数量 (t),102012590,紙 印刷・情報用紙 情報用紙 その他情報用紙
848569,101031000,出荷数量 販売数量 (t),102013000,紙 包装用紙
540204,101031000,出荷数量 販売数量 (t),102013100,紙 包装用紙 未ざらし包装紙
325708,101031000,出荷数量 販売数量 (t),102013110,紙 包装用紙 未ざらし包装紙 重袋用両更クラフト紙
181068,101031000,出荷数量 販売数量 (t),102013120,紙 包装用紙 未ざらし包装紙 その他両更クラフト紙
33428,101031000,出荷数量 販売数量 (t),102013190,紙 包装用紙 未ざらし包装紙 その他未ざらし包装紙
308365,101031000,出荷数量 販売数量 (t),102013200,紙 包装用紙 さらし包装紙
72806,101031000,出荷数量 販売数量 (t),102013210,紙 包装用紙 さらし包装紙 純白ロール紙
204525,101031000,出荷数量 販売数量 (t),102013220,紙 包装用紙 さらし包装紙 さらしクラフト紙
31034,101031000,出荷数量 販売数量 (t),102013290,紙 包装用紙 さらし包装紙 その他さらし包装紙
1767019,101031000,出荷数量 販売数量 (t),102014000,紙 衛生用紙
464647,101031000,出荷数量 販売数量 (t),102014100,紙 衛生用紙 ティシュペーパー
1030597,101031000,出荷数量 販売数量 (t),102014200,紙 衛生用紙 トイレットペーパー
168842,101031000,出荷数量 販売数量 (t),102014300,紙 衛生用紙 タオル用紙
102933,101031000,出荷数量 販売数量 (t),102014400,紙 衛生用紙 その他衛生用紙
589214,101031000,出荷数量 販売数量 (t),102015000,紙 雑種紙
542125,101031000,出荷数量 販売数量 (t),102015100,紙 雑種紙 工業用雑種紙
415610,101031000,出荷数量 販売数量 (t),102015110,紙 雑種紙 工業用雑種紙 加工原紙
14088,101031000,出荷数量 販売数量 (t),102015120,紙 雑種紙 工業用雑種紙 電気絶縁紙
112427,101031000,出荷数量 販売数量 (t),102015190,紙 雑種紙 工業用雑種紙 その他工業用雑種紙
47089,101031000,出荷数量 販売数量 (t),102015200,紙 雑種紙 家庭用雑種紙
1756247,101032000,出荷数量 販売金額（百万円),102010000,紙 計
344530,101032000,出荷数量 販売金額（百万円),102011000,紙 新聞巻取紙
868896,101032000,出荷数量 販売金額（百万円),102012000,紙 印刷・情報用紙
197972,101032000,出荷数量 販売金額（百万円),102012100,紙 印刷・情報用紙 非塗工印刷用紙
111706,101032000,出荷数量 販売金額（百万円),102012110,紙 印刷・情報用紙 非塗工印刷用紙 上級印刷紙
36566,101032000,出荷数量 販売金額（百万円),102012120,紙 印刷・情報用紙 非塗工印刷用紙 中級印刷紙
43544,101032000,出荷数量 販売金額（百万円),102012130,紙 印刷・情報用紙 非塗工印刷用紙 下級印刷紙
6156,101032000,出荷数量 販売金額（百万円),102012140,紙 印刷・情報用紙 非塗工印刷用紙 薄葉印刷紙
115593,101032000,出荷数量 販売金額（百万円),102012200,紙 印刷・情報用紙 微塗工印刷用紙
369006,101032000,出荷数量 販売金額（百万円),102012300,紙 印刷・情報用紙 塗工印刷用紙
7310,101032000,出荷数量 販売金額（百万円),102012310,紙 印刷・情報用紙 塗工印刷用紙 アート紙
201908,101032000,出荷数量 販売金額（百万円),102012320,紙 印刷・情報用紙 塗工印刷用紙 コート紙
137885,101032000,出荷数量 販売金額（百万円),102012330,紙 印刷・情報用紙 塗工印刷用紙 軽量コート紙
21903,101032000,出荷数量 販売金額（百万円),102012390,紙 印刷・情報用紙 塗工印刷用紙 その他塗工印刷紙
53267,101032000,出荷数量 販売金額（百万円),102012400,紙 印刷・情報用紙 特殊印刷用紙
13988,101032000,出荷数量 販売金額（百万円),102012410,紙 印刷・情報用紙 特殊印刷用紙 色上質紙
39279,101032000,出荷数量 販売金額（百万円),102012490,紙 印刷・情報用紙 特殊印刷用紙 その他特殊印刷用紙
133058,101032000,出荷数量 販売金額（百万円),102012500,紙 印刷・情報用紙 情報用紙
2429,101032000,出荷数量 販売金額（百万円),102012510,紙 印刷・情報用紙 情報用紙 複写原紙
28216,101032000,出荷数量 販売金額（百万円),102012520,紙 印刷・情報用紙 情報用紙 フォーム用紙
84433,101032000,出荷数量 販売金額（百万円),102012530,紙 印刷・情報用紙 情報用紙 ＰＰＣ用紙
7176,101032000,出荷数量 販売金額（百万円),102012540,紙 印刷・情報用紙 情報用紙 情報記録紙
10804,101032000,出荷数量 販売金額（百万円),102012590,紙 印刷・情報用紙 情報用紙 その他情報用紙
96886,101032000,出荷数量 販売金額（百万円),102013000,紙 包装用紙
56069,101032000,出荷数量 販売金額（百万円),102013100,紙 包装用紙 未ざらし包装紙
31620,101032000,出荷数量 販売金額（百万円),102013110,紙 包装用紙 未ざらし包装紙 重袋用両更クラフト紙
20085,101032000,出荷数量 販売金額（百万円),102013120,紙 包装用紙 未ざらし包装紙 その他両更クラフト紙
4364,101032000,出荷数量 販売金額（百万円),102013190,紙 包装用紙 未ざらし包装紙 その他未ざらし包装紙
40817,101032000,出荷数量 販売金額（百万円),102013200,紙 包装用紙 さらし包装紙
9128,101032000,出荷数量 販売金額（百万円),102013210,紙 包装用紙 さらし包装紙 純白ロール紙
24721,101032000,出荷数量 販売金額（百万円),102013220,紙 包装用紙 さらし包装紙 さらしクラフト紙
6968,101032000,出荷数量 販売金額（百万円),102013290,紙 包装用紙 さらし包装紙 その他さらし包装紙
297035,101032000,出荷数量 販売金額（百万円),102014000,紙 衛生用紙
87103,101032000,出荷数量 販売金額（百万円),102014100,紙 衛生用紙 ティシュペーパー
155540,101032000,出荷数量 販売金額（百万円),102014200,紙 衛生用紙 トイレットペーパー
30743,101032000,出荷数量 販売金額（百万円),102014300,紙 衛生用紙 タオル用紙
23649,101032000,出荷数量 販売金額（百万円),102014400,紙 衛生用紙 その他衛生用紙
148900,101032000,出荷数量 販売金額（百万円),102015000,紙 雑種紙
126895,101032000,出荷数量 販売金額（百万円),102015100,紙 雑種紙 工業用雑種紙
76361,101032000,出荷数量 販売金額（百万円),102015110,紙 雑種紙 工業用雑種紙 加工原紙
11915,101032000,出荷数量 販売金額（百万円),102015120,紙 雑種紙 工業用雑種紙 電気絶縁紙
38619,101032000,出荷数量 販売金額（百万円),102015190,紙 雑種紙 工業用雑種紙 その他工業用雑種紙
22005,101032000,出荷数量 販売金額（百万円),102015200,紙 雑種紙 家庭用雑種紙
429164,101039000,出荷数量 その他 (t),102010000,紙 計
1633,101039000,出荷数量 その他 (t),102011000,紙 新聞巻取紙
250065,101039000,出荷数量 その他 (t),102012000,紙 印刷・情報用紙
5487,101039000,出荷数量 その他 (t),102012100,紙 印刷・情報用紙 非塗工印刷用紙
4524,101039000,出荷数量 その他 (t),102012110,紙 印刷・情報用紙 非塗工印刷用紙 上級印刷紙
322,101039000,出荷数量 その他 (t),102012120,紙 印刷・情報用紙 非塗工印刷用紙 中級印刷紙
583,101039000,出荷数量 その他 (t),102012130,紙 印刷・情報用紙 非塗工印刷用紙 下級印刷紙
58,101039000,出荷数量 その他 (t),102012140,紙 印刷・情報用紙 非塗工印刷用紙 薄葉印刷紙
972,101039000,出荷数量 その他 (t),102012200,紙 印刷・情報用紙 微塗工印刷用紙
5871,101039000,出荷数量 その他 (t),102012300,紙 印刷・情報用紙 塗工印刷用紙
69,101039000,出荷数量 その他 (t),102012310,紙 印刷・情報用紙 塗工印刷用紙 アート紙
3796,101039000,出荷数量 その他 (t),102012320,紙 印刷・情報用紙 塗工印刷用紙 コート紙
1846,101039000,出荷数量 その他 (t),102012330,紙 印刷・情報用紙 塗工印刷用紙 軽量コート紙
160,101039000,出荷数量 その他 (t),102012390,紙 印刷・情報用紙 塗工印刷用紙 その他塗工印刷紙
8857,101039000,出荷数量 その他 (t),102012400,紙 印刷・情報用紙 特殊印刷用紙
114,101039000,出荷数量 その他 (t),102012410,紙 印刷・情報用紙 特殊印刷用紙 色上質紙
8743,101039000,出荷数量 その他 (t),102012490,紙 印刷・情報用紙 特殊印刷用紙 その他特殊印刷用紙
228878,101039000,出荷数量 その他 (t),102012500,紙 印刷・情報用紙 情報用紙
141913,101039000,出荷数量 その他 (t),102012510,紙 印刷・情報用紙 情報用紙 複写原紙
1124,101039000,出荷数量 その他 (t),102012520,紙 印刷・情報用紙 情報用紙 フォーム用紙
1145,101039000,出荷数量 その他 (t),102012530,紙 印刷・情報用紙 情報用紙 ＰＰＣ用紙
79855,101039000,出荷数量 その他 (t),102012540,紙 印刷・情報用紙 情報用紙 情報記録紙
4841,101039000,出荷数量 その他 (t),102012590,紙 印刷・情報用紙 情報用紙 その他情報用紙
9141,101039000,出荷数量 その他 (t),102013000,紙 包装用紙
6623,101039000,出荷数量 その他 (t),102013100,紙 包装用紙 未ざらし包装紙
1641,101039000,出荷数量 その他 (t),102013110,紙 包装用紙 未ざらし包装紙 重袋用両更クラフト紙
4526,101039000,出荷数量 その他 (t),102013120,紙 包装用紙 未ざらし包装紙 その他両更クラフト紙
456,101039000,出荷数量 その他 (t),102013190,紙 包装用紙 未ざらし包装紙 その他未ざらし包装紙
2518,101039000,出荷数量 その他 (t),102013200,紙 包装用紙 さらし包装紙
130,101039000,出荷数量 その他 (t),102013210,紙 包装用紙 さらし包装紙 純白ロール紙
2089,101039000,出荷数量 その他 (t),102013220,紙 包装用紙 さらし包装紙 さらしクラフト紙
299,101039000,出荷数量 その他 (t),102013290,紙 包装用紙 さらし包装紙 その他さらし包装紙
2182,101039000,出荷数量 その他 (t),102014000,紙 衛生用紙
10,101039000,出荷数量 その他 (t),102014100,紙 衛生用紙 ティシュペーパー
2156,101039000,出荷数量 その他 (t),102014200,紙 衛生用紙 トイレットペーパー
15,101039000,出荷数量 その他 (t),102014300,紙 衛生用紙 タオル用紙
1,101039000,出荷数量 その他 (t),102014400,紙 衛生用紙 その他衛生用紙
166143,101039000,出荷数量 その他 (t),102015000,紙 雑種紙
165840,101039000,出荷数量 その他 (t),102015100,紙 雑種紙 工業用雑種紙
164574,101039000,出荷数量 その他 (t),102015110,紙 雑種紙 工業用雑種紙 加工原紙
12,101039000,出荷数量 その他 (t),102015120,紙 雑種紙 工業用雑種紙 電気絶縁紙
1254,101039000,出荷数量 その他 (t),102015190,紙 雑種紙 工業用雑種紙 その他工業用雑種紙
303,101039000,出荷数量 その他 (t),102015200,紙 雑種紙 家庭用雑種紙
1375717,101040000,在庫数量 (t),102010000,紙 計
235471,101040000,在庫数量 (t),102011000,紙 新聞巻取紙
884913,101040000,在庫数量 (t),102012000,紙 印刷・情報用紙
231603,101040000,在庫数量 (t),102012100,紙 印刷・情報用紙 非塗工印刷用紙
131028,101040000,在庫数量 (t),102012110,紙 印刷・情報用紙 非塗工印刷用紙 上級印刷紙
47432,101040000,在庫数量 (t),102012120,紙 印刷・情報用紙 非塗工印刷用紙 中級印刷紙
49136,101040000,在庫数量 (t),102012130,紙 印刷・情報用紙 非塗工印刷用紙 下級印刷紙
4007,101040000,在庫数量 (t),102012140,紙 印刷・情報用紙 非塗工印刷用紙 薄葉印刷紙
117318,101040000,在庫数量 (t),102012200,紙 印刷・情報用紙 微塗工印刷用紙
321655,101040000,在庫数量 (t),102012300,紙 印刷・情報用紙 塗工印刷用紙
5823,101040000,在庫数量 (t),102012310,紙 印刷・情報用紙 塗工印刷用紙 アート紙
180885,101040000,在庫数量 (t),102012320,紙 印刷・情報用紙 塗工印刷用紙 コート紙
119880,101040000,在庫数量 (t),102012330,紙 印刷・情報用紙 塗工印刷用紙 軽量コート紙
15067,101040000,在庫数量 (t),102012390,紙 印刷・情報用紙 塗工印刷用紙 その他塗工印刷紙
59876,101040000,在庫数量 (t),102012400,紙 印刷・情報用紙 特殊印刷用紙
33711,101040000,在庫数量 (t),102012410,紙 印刷・情報用紙 特殊印刷用紙 色上質紙
26165,101040000,在庫数量 (t),102012490,紙 印刷・情報用紙 特殊印刷用紙 その他特殊印刷用紙
154461,101040000,在庫数量 (t),102012500,紙 印刷・情報用紙 情報用紙
9867,101040000,在庫数量 (t),102012510,紙 印刷・情報用紙 情報用紙 複写原紙
32682,101040000,在庫数量 (t),102012520,紙 印刷・情報用紙 情報用紙 フォーム用紙
93175,101040000,在庫数量 (t),102012530,紙 印刷・情報用紙 情報用紙 ＰＰＣ用紙
11637,101040000,在庫数量 (t),102012540,紙 印刷・情報用紙 情報用紙 情報記録紙
7100,101040000,在庫数量 (t),102012590,紙 印刷・情報用紙 情報用紙 その他情報用紙
106003,101040000,在庫数量 (t),102013000,紙 包装用紙
66292,101040000,在庫数量 (t),102013100,紙 包装用紙 未ざらし包装紙
38518,101040000,在庫数量 (t),102013110,紙 包装用紙 未ざらし包装紙 重袋用両更クラフト紙
23836,101040000,在庫数量 (t),102013120,紙 包装用紙 未ざらし包装紙 その他両更クラフト紙
3938,101040000,在庫数量 (t),102013190,紙 包装用紙 未ざらし包装紙 その他未ざらし包装紙
39711,101040000,在庫数量 (t),102013200,紙 包装用紙 さらし包装紙
6673,101040000,在庫数量 (t),102013210,紙 包装用紙 さらし包装紙 純白ロール紙
27388,101040000,在庫数量 (t),102013220,紙 包装用紙 さらし包装紙 さらしクラフト紙
5650,101040000,在庫数量 (t),102013290,紙 包装用紙 さらし包装紙 その他さらし包装紙
60554,101040000,在庫数量 (t),102014000,紙 衛生用紙
10478,101040000,在庫数量 (t),102014100,紙 衛生用紙 ティシュペーパー
42105,101040000,在庫数量 (t),102014200,紙 衛生用紙 トイレットペーパー
4498,101040000,在庫数量 (t),102014300,紙 衛生用紙 タオル用紙
3473,101040000,在庫数量 (t),102014400,紙 衛生用紙 その他衛生用紙
88776,101040000,在庫数量 (t),102015000,紙 雑種紙
82694,101040000,在庫数量 (t),102015100,紙 雑種紙 工業用雑種紙
65637,101040000,在庫数量 (t),102015110,紙 雑種紙 工業用雑種紙 加工原紙
2940,101040000,在庫数量 (t),102015120,紙 雑種紙 工業用雑種紙 電気絶縁紙
14117,101040000,在庫数量 (t),102015190,紙 雑種紙 工業用雑種紙 その他工業用雑種紙
6082,101040000,在庫数量 (t),102015200,紙 雑種紙 家庭用雑種紙
