value,cat01,cat01_label,cat02,cat02_label
598465,20210010,2017000000_2017年(CY),2350010010,製品_0101_半固定抵抗器_A_生産数量_千個
2012,20210010,2017000000_2017年(CY),2350010020,製品_0101_半固定抵抗器_B_生産金額_百万円
543517,20210010,2017000000_2017年(CY),2350010030,製品_0102_炭素系可変抵抗器（半固定を除く）_A_生産数量_千個
20846,20210010,2017000000_2017年(CY),2350010040,製品_0102_炭素系可変抵抗器（半固定を除く）_B_生産金額_百万円
37267,20210010,2017000000_2017年(CY),2350010050,製品_0103_その他の可変抵抗器_A_生産数量_千個
4601,20210010,2017000000_2017年(CY),2350010060,製品_0103_その他の可変抵抗器_B_生産金額_百万円
10491920,20210010,2017000000_2017年(CY),2350010070,製品_0104_ネットワーク抵抗器_A_生産数量_千個
8002,20210010,2017000000_2017年(CY),2350010080,製品_0104_ネットワーク抵抗器_B_生産金額_百万円
144003119,20210010,2017000000_2017年(CY),2350010090,製品_0105_チップ抵抗器_A_生産数量_千個
42999,20210010,2017000000_2017年(CY),2350010100,製品_0105_チップ抵抗器_B_生産金額_百万円
8358273,20210010,2017000000_2017年(CY),2350010110,製品_0106_その他の固定抵抗器_A_生産数量_千個
19416,20210010,2017000000_2017年(CY),2350010120,製品_0106_その他の固定抵抗器_B_生産金額_百万円
11922805,20210010,2017000000_2017年(CY),2350010130,製品_0107_アルミ電解コンデンサ_A_生産数量_千個
139042,20210010,2017000000_2017年(CY),2350010140,製品_0107_アルミ電解コンデンサ_B_生産金額_百万円
1811345,20210010,2017000000_2017年(CY),2350010150,製品_0108_タンタル電解コンデンサ_A_生産数量_千個
20901,20210010,2017000000_2017年(CY),2350010160,製品_0108_タンタル電解コンデンサ_B_生産金額_百万円
1003092536,20210010,2017000000_2017年(CY),2350010170,製品_0109_セラミックコンデンサ_A_生産数量_千個
427269,20210010,2017000000_2017年(CY),2350010180,製品_0109_セラミックコンデンサ_B_生産金額_百万円
339992,20210010,2017000000_2017年(CY),2350010190,製品_0110_金属化有機フィルムコンデンサ_A_生産数量_千個
12316,20210010,2017000000_2017年(CY),2350010200,製品_0110_金属化有機フィルムコンデンサ_B_生産金額_百万円
338023,20210010,2017000000_2017年(CY),2350010210,製品_0111_その他の固定コンデンサ_A_生産数量_千個
21715,20210010,2017000000_2017年(CY),2350010220,製品_0111_その他の固定コンデンサ_B_生産金額_百万円
22768,20210010,2017000000_2017年(CY),2350010230,製品_0112_トランス_A_生産数量_千個
8855,20210010,2017000000_2017年(CY),2350010240,製品_0112_トランス_B_生産金額_百万円
125915100,20210010,2017000000_2017年(CY),2350010250,製品_0113_インダクタ（コイルを含む）_A_生産数量_千個
67951,20210010,2017000000_2017年(CY),2350010260,製品_0113_インダクタ（コイルを含む）_B_生産金額_百万円
3058251,20210010,2017000000_2017年(CY),2350010270,製品_0114_水晶振動子_A_生産数量_千個
50905,20210010,2017000000_2017年(CY),2350010280,製品_0114_水晶振動子_B_生産金額_百万円
