value,cat01,cat01_label,cat02,cat02_label
274564,06010000,生産,070010000,フェノール樹脂 計 (t)
28140,06010000,生産,070011000,フェノール樹脂 成形材料 (t)
13851,06010000,生産,070012000,フェノール樹脂 積層品 (t)
115436,06010000,生産,070013000,フェノール樹脂 木材加工接着剤用 (t)
117137,06010000,生産,070019000,フェノール樹脂 その他のフェノール樹脂 (t)
70237,06010000,生産,070020000,ユリア樹脂 (t)
75134,06010000,生産,070030000,メラミン樹脂 計 (t)
2207,06010000,生産,070031000,メラミン樹脂 化粧板用 (t)
20944,06010000,生産,070032000,メラミン樹脂 塗料用 (t)
39855,06010000,生産,070033000,メラミン樹脂 接着剤用 (t)
12128,06010000,生産,070039000,メラミン樹脂 その他のメラミン樹脂 (t)
114356,06010000,生産,070040000,不飽和ポリエステル樹脂 計 (t)
82027,06010000,生産,070041000,不飽和ポリエステル樹脂 ＦＲＰ用 (t)
32329,06010000,生産,070049000,不飽和ポリエステル樹脂 その他の不飽和ポリエステル樹脂 (t)
66424,06010000,生産,070050000,アルキド樹脂 (t)
149995,06010000,生産,070060000,エポキシ樹脂 (t)
192678,06010000,生産,070070000,ウレタンフォーム 計 (t)
121876,06010000,生産,070071000,ウレタンフォーム 軟質 (t)
70802,06010000,生産,070072000,ウレタンフォーム 硬質 (t)
2604904,06010000,生産,070080000,ポリエチレン 計 (t)
1477334,06010000,生産,070081000,ポリエチレン 低密度（密度0.94未満のもの） (t)
927796,06010000,生産,070082000,ポリエチレン 高密度（密度0.94以上のもの） (t)
199774,06010000,生産,070083000,ポリエチレン エチレン・酢酸ビニルコポリマー (t)
1167702,06010000,生産,070090000,ポリスチレン 計 (t)
588559,06010000,生産,070091000,ポリスチレン 成形材料 (t)
112316,06010000,生産,070092000,ポリスチレン 発泡用 (t)
85171,06010000,生産,070093000,ポリスチレン ＡＳ樹脂 (t)
381656,06010000,生産,070094000,ポリスチレン ＡＢＳ樹脂 (t)
2390256,06010000,生産,070100000,ポリプロピレン (t)
106643,06010000,生産,070110000,石油樹脂 (t)
400482,06010000,生産,070120000,メタクリル酸エステル(モノマー) (t)
172433,06010000,生産,070130000,メタクリル樹脂 計 (t)
119341,06010000,生産,070131000,メタクリル樹脂 成形材料 (t)
53092,06010000,生産,070132000,メタクリル樹脂 その他のメタクリル樹脂 (t)
517281,06010000,生産,070140000,酢酸ビニル（モノマー） (t)
207355,06010000,生産,070150000,ポリビニルアルコール (t)
1879119,06010000,生産,070160000,塩化ビニル（モノマー） (t)
1331870,06010000,生産,070170000,塩化ビニル樹脂 計 (t)
1127722,06010000,生産,070171000,塩化ビニル樹脂 ポリマー (t)
75521,06010000,生産,070172000,塩化ビニル樹脂 コポリマー (t)
128627,06010000,生産,070173000,塩化ビニル樹脂 ペースト (t)
375662,06010000,生産,070180000,カプロラクタム (t)
222742,06010000,生産,070190000,ポリアミド系樹脂成形材料 (t)
27233,06010000,生産,070200000,ふっ素樹脂 (t)
316797,06010000,生産,070210000,ポリカーボネート (t)
124082,06010000,生産,070220000,ポリアセタール (t)
719587,06010000,生産,070230000,ポリエチレンテレフタレート 計 (t)
247717,06010000,生産,070231000,ポリエチレンテレフタレート 繊維用 (t)
131526,06010000,生産,070232000,ポリエチレンテレフタレート 容器用 (t)
340344,06010000,生産,070239000,ポリエチレンテレフタレート その他のポリエチレンテレフタレート (t)
182168,06010000,生産,070240000,ポリブチレンテレフタレート (t)
X,06010000,生産,070250000,変性ポリフェニレンエーテル (t)
250605,06010000,生産,070990000,その他の樹脂 (t)
9591,06020000,受入,070010000,フェノール樹脂 計 (t)
2724,06020000,受入,070011000,フェノール樹脂 成形材料 (t)
211,06020000,受入,070012000,フェノール樹脂 積層品 (t)
1590,06020000,受入,070013000,フェノール樹脂 木材加工接着剤用 (t)
5066,06020000,受入,070019000,フェノール樹脂 その他のフェノール樹脂 (t)
26,06020000,受入,070020000,ユリア樹脂 (t)
1049,06020000,受入,070030000,メラミン樹脂 計 (t)
424,06020000,受入,070031000,メラミン樹脂 化粧板用 (t)
605,06020000,受入,070032000,メラミン樹脂 塗料用 (t)
20,06020000,受入,070033000,メラミン樹脂 接着剤用 (t)
-,06020000,受入,070039000,メラミン樹脂 その他のメラミン樹脂 (t)
2716,06020000,受入,070040000,不飽和ポリエステル樹脂 計 (t)
2533,06020000,受入,070041000,不飽和ポリエステル樹脂 ＦＲＰ用 (t)
183,06020000,受入,070049000,不飽和ポリエステル樹脂 その他の不飽和ポリエステル樹脂 (t)
2169,06020000,受入,070050000,アルキド樹脂 (t)
26332,06020000,受入,070060000,エポキシ樹脂 (t)
36223,06020000,受入,070070000,ウレタンフォーム 計 (t)
25318,06020000,受入,070071000,ウレタンフォーム 軟質 (t)
10905,06020000,受入,070072000,ウレタンフォーム 硬質 (t)
41224,06020000,受入,070080000,ポリエチレン 計 (t)
17194,06020000,受入,070081000,ポリエチレン 低密度（密度0.94未満のもの） (t)
24030,06020000,受入,070082000,ポリエチレン 高密度（密度0.94以上のもの） (t)
-,06020000,受入,070083000,ポリエチレン エチレン・酢酸ビニルコポリマー (t)
12525,06020000,受入,070090000,ポリスチレン 計 (t)
1315,06020000,受入,070091000,ポリスチレン 成形材料 (t)
4843,06020000,受入,070092000,ポリスチレン 発泡用 (t)
6356,06020000,受入,070093000,ポリスチレン ＡＳ樹脂 (t)
11,06020000,受入,070094000,ポリスチレン ＡＢＳ樹脂 (t)
48483,06020000,受入,070100000,ポリプロピレン (t)
1575,06020000,受入,070110000,石油樹脂 (t)
53942,06020000,受入,070120000,メタクリル酸エステル(モノマー) (t)
2837,06020000,受入,070130000,メタクリル樹脂 計 (t)
1548,06020000,受入,070131000,メタクリル樹脂 成形材料 (t)
1289,06020000,受入,070132000,メタクリル樹脂 その他のメタクリル樹脂 (t)
37445,06020000,受入,070140000,酢酸ビニル（モノマー） (t)
10,06020000,受入,070150000,ポリビニルアルコール (t)
283544,06020000,受入,070160000,塩化ビニル（モノマー） (t)
85982,06020000,受入,070170000,塩化ビニル樹脂 計 (t)
85982,06020000,受入,070171000,塩化ビニル樹脂 ポリマー (t)
-,06020000,受入,070172000,塩化ビニル樹脂 コポリマー (t)
-,06020000,受入,070173000,塩化ビニル樹脂 ペースト (t)
6571,06020000,受入,070180000,カプロラクタム (t)
1370,06020000,受入,070190000,ポリアミド系樹脂成形材料 (t)
3471,06020000,受入,070200000,ふっ素樹脂 (t)
15619,06020000,受入,070210000,ポリカーボネート (t)
1335,06020000,受入,070220000,ポリアセタール (t)
109689,06020000,受入,070230000,ポリエチレンテレフタレート 計 (t)
15564,06020000,受入,070231000,ポリエチレンテレフタレート 繊維用 (t)
55551,06020000,受入,070232000,ポリエチレンテレフタレート 容器用 (t)
38574,06020000,受入,070239000,ポリエチレンテレフタレート その他のポリエチレンテレフタレート (t)
3953,06020000,受入,070240000,ポリブチレンテレフタレート (t)
X,06020000,受入,070250000,変性ポリフェニレンエーテル (t)
43,06020000,受入,070990000,その他の樹脂 (t)
13752,06030000,消費,070010000,フェノール樹脂 計 (t)
1026,06030000,消費,070011000,フェノール樹脂 成形材料 (t)
7100,06030000,消費,070012000,フェノール樹脂 積層品 (t)
36,06030000,消費,070013000,フェノール樹脂 木材加工接着剤用 (t)
5590,06030000,消費,070019000,フェノール樹脂 その他のフェノール樹脂 (t)
4022,06030000,消費,070020000,ユリア樹脂 (t)
5983,06030000,消費,070030000,メラミン樹脂 計 (t)
7,06030000,消費,070031000,メラミン樹脂 化粧板用 (t)
2733,06030000,消費,070032000,メラミン樹脂 塗料用 (t)
1924,06030000,消費,070033000,メラミン樹脂 接着剤用 (t)
1319,06030000,消費,070039000,メラミン樹脂 その他のメラミン樹脂 (t)
10330,06030000,消費,070040000,不飽和ポリエステル樹脂 計 (t)
