value,cat01,cat01_label,cat02,cat02_label,time,time_label
38711,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2016000000,2016年
42107,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2017000000,2017年
40671,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2018000000,2018年
30605,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2019000000,2019年
25640,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000000,2020年
37218,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2018100000,2018年度
29354,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2019100000,2019年度
6499,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000103,2020年1～3月期
5789,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000406,2020年4～6月期
6508,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000709,2020年7～9月期
6844,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020001012,2020年10～12月期
2170,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000101,2020年1月
2258,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000202,2020年2月
2071,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000303,2020年3月
2081,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000404,2020年4月
1713,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000505,2020年5月
1995,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000606,2020年6月
2185,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000707,2020年7月
2045,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000808,2020年8月
2278,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020000909,2020年9月
2179,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020001010,2020年10月
2366,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020001111,2020年11月
2299,01000110,生産 数量 (千台),357600000,電子部品 スイッチング電源 (40),2020001212,2020年12月
144971759,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2016000000,2016年
164032561,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2017000000,2017年
176372090,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2018000000,2018年
155989902,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2019000000,2019年
148829897,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000000,2020年
174639742,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2018100000,2018年度
154008976,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2019100000,2019年度
39227829,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000103,2020年1～3月期
35116268,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000406,2020年4～6月期
33414314,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000709,2020年7～9月期
41071486,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020001012,2020年10～12月期
12319372,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000101,2020年1月
13069452,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000202,2020年2月
13839005,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000303,2020年3月
13307116,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000404,2020年4月
11304878,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000505,2020年5月
10504274,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000606,2020年6月
10366272,01000210,生産 数量 (千個),352300000,電子部品 受動部品 抵抗器 (1～6),2020000707,2020年7月
