value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label,unit
492572812,100,合計,100,売上高,100,売上高の内訳（金額）,2016100000,2016年度,百万円
485198660,100,合計,100,売上高,100,売上高の内訳（金額）,2015100000,2015年度,百万円
493029099,100,合計,100,売上高,100,売上高の内訳（金額）,2014100000,2014年度,百万円
100.0,100,合計,100,売上高,110,売上高の内訳（割合）,2016100000,2016年度,%
100.0,100,合計,100,売上高,110,売上高の内訳（割合）,2015100000,2015年度,%
100.0,100,合計,100,売上高,110,売上高の内訳（割合）,2014100000,2014年度,%
63959297,100,合計,110,建設事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
69168419,100,合計,110,建設事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
67969844,100,合計,110,建設事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
13.0,100,合計,110,建設事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
14.3,100,合計,110,建設事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
13.8,100,合計,110,建設事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
117608361,100,合計,120,製造品売上高,100,売上高の内訳（金額）,2016100000,2016年度,百万円
113431797,100,合計,120,製造品売上高,100,売上高の内訳（金額）,2015100000,2015年度,百万円
108657188,100,合計,120,製造品売上高,100,売上高の内訳（金額）,2014100000,2014年度,百万円
23.9,100,合計,120,製造品売上高,110,売上高の内訳（割合）,2016100000,2016年度,%
23.4,100,合計,120,製造品売上高,110,売上高の内訳（割合）,2015100000,2015年度,%
22.0,100,合計,120,製造品売上高,110,売上高の内訳（割合）,2014100000,2014年度,%
10884088,100,合計,130,加工賃収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
10148504,100,合計,130,加工賃収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
11794831,100,合計,130,加工賃収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
2.2,100,合計,130,加工賃収入,110,売上高の内訳（割合）,2016100000,2016年度,%
2.1,100,合計,130,加工賃収入,110,売上高の内訳（割合）,2015100000,2015年度,%
2.4,100,合計,130,加工賃収入,110,売上高の内訳（割合）,2014100000,2014年度,%
9311566,100,合計,140,情報通信事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
9551071,100,合計,140,情報通信事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
8258865,100,合計,140,情報通信事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
1.9,100,合計,140,情報通信事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
2.0,100,合計,140,情報通信事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
1.7,100,合計,140,情報通信事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
24213244,100,合計,150,運輸，郵便事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
23065431,100,合計,150,運輸，郵便事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
22411338,100,合計,150,運輸，郵便事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
4.9,100,合計,150,運輸，郵便事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
4.8,100,合計,150,運輸，郵便事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
4.5,100,合計,150,運輸，郵便事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
109263297,100,合計,160,卸売の商品売上高,100,売上高の内訳（金額）,2016100000,2016年度,百万円
111283075,100,合計,160,卸売の商品売上高,100,売上高の内訳（金額）,2015100000,2015年度,百万円
117276542,100,合計,160,卸売の商品売上高,100,売上高の内訳（金額）,2014100000,2014年度,百万円
22.2,100,合計,160,卸売の商品売上高,110,売上高の内訳（割合）,2016100000,2016年度,%
22.9,100,合計,160,卸売の商品売上高,110,売上高の内訳（割合）,2015100000,2015年度,%
23.8,100,合計,160,卸売の商品売上高,110,売上高の内訳（割合）,2014100000,2014年度,%
71607934,100,合計,170,小売の商品売上高,100,売上高の内訳（金額）,2016100000,2016年度,百万円
62569887,100,合計,170,小売の商品売上高,100,売上高の内訳（金額）,2015100000,2015年度,百万円
63932155,100,合計,170,小売の商品売上高,100,売上高の内訳（金額）,2014100000,2014年度,百万円
14.5,100,合計,170,小売の商品売上高,110,売上高の内訳（割合）,2016100000,2016年度,%
12.9,100,合計,170,小売の商品売上高,110,売上高の内訳（割合）,2015100000,2015年度,%
13.0,100,合計,170,小売の商品売上高,110,売上高の内訳（割合）,2014100000,2014年度,%
20374470,100,合計,180,不動産，物品賃貸事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
21155031,100,合計,180,不動産，物品賃貸事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
25303259,100,合計,180,不動産，物品賃貸事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
4.1,100,合計,180,不動産，物品賃貸事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
4.4,100,合計,180,不動産，物品賃貸事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
5.1,100,合計,180,不動産，物品賃貸事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
9891922,100,合計,190,学術研究，専門・技術サービス事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
10990903,100,合計,190,学術研究，専門・技術サービス事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
10485703,100,合計,190,学術研究，専門・技術サービス事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
2.0,100,合計,190,学術研究，専門・技術サービス事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
2.3,100,合計,190,学術研究，専門・技術サービス事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
2.1,100,合計,190,学術研究，専門・技術サービス事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
2388371,100,合計,200,宿泊事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
2406253,100,合計,200,宿泊事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
2413847,100,合計,200,宿泊事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
0.5,100,合計,200,宿泊事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
0.5,100,合計,200,宿泊事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
0.5,100,合計,200,宿泊事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
10856111,100,合計,210,飲食サービス事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
10641800,100,合計,210,飲食サービス事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
11211133,100,合計,210,飲食サービス事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
2.2,100,合計,210,飲食サービス事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
2.2,100,合計,210,飲食サービス事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
2.3,100,合計,210,飲食サービス事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
20712021,100,合計,220,生活関連サービス，娯楽事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
20795878,100,合計,220,生活関連サービス，娯楽事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
21309694,100,合計,220,生活関連サービス，娯楽事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
4.2,100,合計,220,生活関連サービス，娯楽事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
4.3,100,合計,220,生活関連サービス，娯楽事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
4.3,100,合計,220,生活関連サービス，娯楽事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
18926540,100,合計,230,サービス事業（他に分類されない）の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
17708052,100,合計,230,サービス事業（他に分類されない）の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
18950473,100,合計,230,サービス事業（他に分類されない）の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
3.8,100,合計,230,サービス事業（他に分類されない）の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
3.6,100,合計,230,サービス事業（他に分類されない）の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
3.8,100,合計,230,サービス事業（他に分類されない）の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
2575591,100,合計,240,その他の事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
2282559,100,合計,240,その他の事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
3054227,100,合計,240,その他の事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
0.5,100,合計,240,その他の事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
0.5,100,合計,240,その他の事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
0.6,100,合計,240,その他の事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
64349684,110,建設業_計,100,売上高,100,売上高の内訳（金額）,2016100000,2016年度,百万円
70625639,110,建設業_計,100,売上高,100,売上高の内訳（金額）,2015100000,2015年度,百万円
69842561,110,建設業_計,100,売上高,100,売上高の内訳（金額）,2014100000,2014年度,百万円
100.0,110,建設業_計,100,売上高,110,売上高の内訳（割合）,2016100000,2016年度,%
100.0,110,建設業_計,100,売上高,110,売上高の内訳（割合）,2015100000,2015年度,%
100.0,110,建設業_計,100,売上高,110,売上高の内訳（割合）,2014100000,2014年度,%
60848118,110,建設業_計,110,建設事業の収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
66576923,110,建設業_計,110,建設事業の収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
65203556,110,建設業_計,110,建設事業の収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
94.6,110,建設業_計,110,建設事業の収入,110,売上高の内訳（割合）,2016100000,2016年度,%
94.3,110,建設業_計,110,建設事業の収入,110,売上高の内訳（割合）,2015100000,2015年度,%
93.4,110,建設業_計,110,建設事業の収入,110,売上高の内訳（割合）,2014100000,2014年度,%
448478,110,建設業_計,120,製造品売上高,100,売上高の内訳（金額）,2016100000,2016年度,百万円
697533,110,建設業_計,120,製造品売上高,100,売上高の内訳（金額）,2015100000,2015年度,百万円
605624,110,建設業_計,120,製造品売上高,100,売上高の内訳（金額）,2014100000,2014年度,百万円
0.7,110,建設業_計,120,製造品売上高,110,売上高の内訳（割合）,2016100000,2016年度,%
1.0,110,建設業_計,120,製造品売上高,110,売上高の内訳（割合）,2015100000,2015年度,%
0.9,110,建設業_計,120,製造品売上高,110,売上高の内訳（割合）,2014100000,2014年度,%
79651,110,建設業_計,130,加工賃収入,100,売上高の内訳（金額）,2016100000,2016年度,百万円
98677,110,建設業_計,130,加工賃収入,100,売上高の内訳（金額）,2015100000,2015年度,百万円
99929,110,建設業_計,130,加工賃収入,100,売上高の内訳（金額）,2014100000,2014年度,百万円
0.1,110,建設業_計,130,加工賃収入,110,売上高の内訳（割合）,2016100000,2016年度,%
0.1,110,建設業_計,130,加工賃収入,110,売上高の内訳（割合）,2015100000,2015年度,%
