value,cat01,cat01_label,time,time_label
858331,000000,合計,19000000,平成19年
821342,000000,合計,19010000,平成19年度
827823,000000,合計,20000000,平成20年
197980,000000,合計,20001012,平成20年 10 ～ 12月
67142,000000,合計,20001111,平成20年11月
64559,000000,合計,20001212,平成20年12月
796656,000000,合計,20010000,平成20年度
722277,000000,合計,21000000,平成21年
63965,000000,合計,21000101,平成21年1月
168699,000000,合計,21000103,平成21年 1 ～ 3 月
47969,000000,合計,21000202,平成21年2月
56765,000000,合計,21000303,平成21年3月
62443,000000,合計,21000404,平成21年4月
188498,000000,合計,21000406,平成21年 4 ～ 6 月
65533,000000,合計,21000505,平成21年5月
60522,000000,合計,21000606,平成21年6月
47949,000000,合計,21000707,平成21年7月
153126,000000,合計,21000709,平成21年 7 ～ 9 月
53514,000000,合計,21000808,平成21年8月
51663,000000,合計,21000909,平成21年9月
65068,000000,合計,21001010,平成21年10月
211954,000000,合計,21001012,平成21年 10 ～ 12月
71265,000000,合計,21001111,平成21年11月
75621,000000,合計,21001212,平成21年12月
68854,000000,合計,22000101,平成22年1月
7.6,000000,合計,50000000,前年同月比 (%)
420151,010000,フェロマンガン 計,19000000,平成19年
408145,010000,フェロマンガン 計,19010000,平成19年度
431181,010000,フェロマンガン 計,20000000,平成20年
110065,010000,フェロマンガン 計,20001012,平成20年 10 ～ 12月
34015,010000,フェロマンガン 計,20001111,平成20年11月
36482,010000,フェロマンガン 計,20001212,平成20年12月
427139,010000,フェロマンガン 計,20010000,平成20年度
361375,010000,フェロマンガン 計,21000000,平成21年
36972,010000,フェロマンガン 計,21000101,平成21年1月
94664,010000,フェロマンガン 計,21000103,平成21年 1 ～ 3 月
27905,010000,フェロマンガン 計,21000202,平成21年2月
29787,010000,フェロマンガン 計,21000303,平成21年3月
31701,010000,フェロマンガン 計,21000404,平成21年4月
87732,010000,フェロマンガン 計,21000406,平成21年 4 ～ 6 月
28886,010000,フェロマンガン 計,21000505,平成21年5月
27145,010000,フェロマンガン 計,21000606,平成21年6月
15630,010000,フェロマンガン 計,21000707,平成21年7月
58613,010000,フェロマンガン 計,21000709,平成21年 7 ～ 9 月
24388,010000,フェロマンガン 計,21000808,平成21年8月
18595,010000,フェロマンガン 計,21000909,平成21年9月
36906,010000,フェロマンガン 計,21001010,平成21年10月
120366,010000,フェロマンガン 計,21001012,平成21年 10 ～ 12月
42447,010000,フェロマンガン 計,21001111,平成21年11月
41013,010000,フェロマンガン 計,21001212,平成21年12月
35290,010000,フェロマンガン 計,22000101,平成22年1月
-4.5,010000,フェロマンガン 計,50000000,前年同月比 (%)
312330,010010,フェロマンガン 高炭素,19000000,平成19年
299637,010010,フェロマンガン 高炭素,19010000,平成19年度
323500,010010,フェロマンガン 高炭素,20000000,平成20年
84657,010010,フェロマンガン 高炭素,20001012,平成20年 10 ～ 12月
25958,010010,フェロマンガン 高炭素,20001111,平成20年11月
29262,010010,フェロマンガン 高炭素,20001212,平成20年12月
323712,010010,フェロマンガン 高炭素,20010000,平成20年度
283220,010010,フェロマンガン 高炭素,21000000,平成21年
28686,010010,フェロマンガン 高炭素,21000101,平成21年1月
72061,010010,フェロマンガン 高炭素,21000103,平成21年 1 ～ 3 月
20655,010010,フェロマンガン 高炭素,21000202,平成21年2月
22720,010010,フェロマンガン 高炭素,21000303,平成21年3月
