value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
37685319,030000000,現金給与総額,02010,合計,020010000,金額 （百万円）,2007000000,2007年
37126981.6,030000000,現金給与総額,02010,合計,020010000,金額 （百万円）,2008000000,2008年
1.2,030000000,現金給与総額,02010,合計,030010000,前年比 （％）,2007000000,2007年
-1.5,030000000,現金給与総額,02010,合計,030010000,前年比 （％）,2008000000,2008年
100,030000000,現金給与総額,02010,合計,050010000,構成比 （％）,2007000000,2007年
100,030000000,現金給与総額,02010,合計,050010000,構成比 （％）,2008000000,2008年
2106471,030000000,現金給与総額,02020,４人～９人,020010000,金額 （百万円）,2007000000,2007年
2138970.2,030000000,現金給与総額,02020,４人～９人,020010000,金額 （百万円）,2008000000,2008年
-7.1,030000000,現金給与総額,02020,４人～９人,030010000,前年比 （％）,2007000000,2007年
1.5,030000000,現金給与総額,02020,４人～９人,030010000,前年比 （％）,2008000000,2008年
5.6,030000000,現金給与総額,02020,４人～９人,050010000,構成比 （％）,2007000000,2007年
5.8,030000000,現金給与総額,02020,４人～９人,050010000,構成比 （％）,2008000000,2008年
2860516,030000000,現金給与総額,02030,１０人～１９人,020010000,金額 （百万円）,2007000000,2007年
2775094.6,030000000,現金給与総額,02030,１０人～１９人,020010000,金額 （百万円）,2008000000,2008年
-2.6,030000000,現金給与総額,02030,１０人～１９人,030010000,前年比 （％）,2007000000,2007年
-3,030000000,現金給与総額,02030,１０人～１９人,030010000,前年比 （％）,2008000000,2008年
7.6,030000000,現金給与総額,02030,１０人～１９人,050010000,構成比 （％）,2007000000,2007年
7.5,030000000,現金給与総額,02030,１０人～１９人,050010000,構成比 （％）,2008000000,2008年
2686629,030000000,現金給与総額,02040,２０人～２９人,020010000,金額 （百万円）,2007000000,2007年
2587160.2,030000000,現金給与総額,02040,２０人～２９人,020010000,金額 （百万円）,2008000000,2008年
-1.5,030000000,現金給与総額,02040,２０人～２９人,030010000,前年比 （％）,2007000000,2007年
-3.7,030000000,現金給与総額,02040,２０人～２９人,030010000,前年比 （％）,2008000000,2008年
7.1,030000000,現金給与総額,02040,２０人～２９人,050010000,構成比 （％）,2007000000,2007年
7,030000000,現金給与総額,02040,２０人～２９人,050010000,構成比 （％）,2008000000,2008年
2447145,030000000,現金給与総額,02050,３０人～４９人,020010000,金額 （百万円）,2007000000,2007年
2415071.6,030000000,現金給与総額,02050,３０人～４９人,020010000,金額 （百万円）,2008000000,2008年
-1.5,030000000,現金給与総額,02050,３０人～４９人,030010000,前年比 （％）,2007000000,2007年
-1.3,030000000,現金給与総額,02050,３０人～４９人,030010000,前年比 （％）,2008000000,2008年
6.5,030000000,現金給与総額,02050,３０人～４９人,050010000,構成比 （％）,2007000000,2007年
6.5,030000000,現金給与総額,02050,３０人～４９人,050010000,構成比 （％）,2008000000,2008年
4389510,030000000,現金給与総額,02060,５０人～９９人,020010000,金額 （百万円）,2007000000,2007年
4270428.6,030000000,現金給与総額,02060,５０人～９９人,020010000,金額 （百万円）,2008000000,2008年
-0.7,030000000,現金給与総額,02060,５０人～９９人,030010000,前年比 （％）,2007000000,2007年
-2.7,030000000,現金給与総額,02060,５０人～９９人,030010000,前年比 （％）,2008000000,2008年
11.6,030000000,現金給与総額,02060,５０人～９９人,050010000,構成比 （％）,2007000000,2007年
11.5,030000000,現金給与総額,02060,５０人～９９人,050010000,構成比 （％）,2008000000,2008年
4970661,030000000,現金給与総額,02070,１００人～１９９人,020010000,金額 （百万円）,2007000000,2007年
4848386.1,030000000,現金給与総額,02070,１００人～１９９人,020010000,金額 （百万円）,2008000000,2008年
0.5,030000000,現金給与総額,02070,１００人～１９９人,030010000,前年比 （％）,2007000000,2007年
-2.5,030000000,現金給与総額,02070,１００人～１９９人,030010000,前年比 （％）,2008000000,2008年
13.2,030000000,現金給与総額,02070,１００人～１９９人,050010000,構成比 （％）,2007000000,2007年
13.1,030000000,現金給与総額,02070,１００人～１９９人,050010000,構成比 （％）,2008000000,2008年
2845307,030000000,現金給与総額,02080,２００人～２９９人,020010000,金額 （百万円）,2007000000,2007年
2876960.7,030000000,現金給与総額,02080,２００人～２９９人,020010000,金額 （百万円）,2008000000,2008年
0.3,030000000,現金給与総額,02080,２００人～２９９人,030010000,前年比 （％）,2007000000,2007年
1.1,030000000,現金給与総額,02080,２００人～２９９人,030010000,前年比 （％）,2008000000,2008年
7.6,030000000,現金給与総額,02080,２００人～２９９人,050010000,構成比 （％）,2007000000,2007年
7.7,030000000,現金給与総額,02080,２００人～２９９人,050010000,構成比 （％）,2008000000,2008年
3567598,030000000,現金給与総額,02090,３００人～４９９人,020010000,金額 （百万円）,2007000000,2007年
3531971,030000000,現金給与総額,02090,３００人～４９９人,020010000,金額 （百万円）,2008000000,2008年
2,030000000,現金給与総額,02090,３００人～４９９人,030010000,前年比 （％）,2007000000,2007年
-1,030000000,現金給与総額,02090,３００人～４９９人,030010000,前年比 （％）,2008000000,2008年
9.5,030000000,現金給与総額,02090,３００人～４９９人,050010000,構成比 （％）,2007000000,2007年
9.5,030000000,現金給与総額,02090,３００人～４９９人,050010000,構成比 （％）,2008000000,2008年
4234910,030000000,現金給与総額,02100,５００人～９９９人,020010000,金額 （百万円）,2007000000,2007年
4069350.5,030000000,現金給与総額,02100,５００人～９９９人,020010000,金額 （百万円）,2008000000,2008年
0.8,030000000,現金給与総額,02100,５００人～９９９人,030010000,前年比 （％）,2007000000,2007年
