value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
258232,010000000,事業所数,02010,合計,010010000,実数 （人）,2007000000,2007年
262893,010000000,事業所数,02010,合計,010010000,実数 （人）,2008000000,2008年
-5.9,010000000,事業所数,02010,合計,030010000,前年比 （％）,2007000000,2007年
1.8,010000000,事業所数,02010,合計,030010000,前年比 （％）,2008000000,2008年
100,010000000,事業所数,02010,合計,050010000,構成比 （％）,2007000000,2007年
100,010000000,事業所数,02010,合計,050010000,構成比 （％）,2008000000,2008年
117259,010000000,事業所数,02020,４人～９人,010010000,実数 （人）,2007000000,2007年
127064,010000000,事業所数,02020,４人～９人,010010000,実数 （人）,2008000000,2008年
-9.5,010000000,事業所数,02020,４人～９人,030010000,前年比 （％）,2007000000,2007年
8.4,010000000,事業所数,02020,４人～９人,030010000,前年比 （％）,2008000000,2008年
45.4,010000000,事業所数,02020,４人～９人,050010000,構成比 （％）,2007000000,2007年
48.3,010000000,事業所数,02020,４人～９人,050010000,構成比 （％）,2008000000,2008年
62441,010000000,事業所数,02030,１０人～１９人,010010000,実数 （人）,2007000000,2007年
60162,010000000,事業所数,02030,１０人～１９人,010010000,実数 （人）,2008000000,2008年
-3.7,010000000,事業所数,02030,１０人～１９人,030010000,前年比 （％）,2007000000,2007年
-3.6,010000000,事業所数,02030,１０人～１９人,030010000,前年比 （％）,2008000000,2008年
24.2,010000000,事業所数,02030,１０人～１９人,050010000,構成比 （％）,2007000000,2007年
22.9,010000000,事業所数,02030,１０人～１９人,050010000,構成比 （％）,2008000000,2008年
30850,010000000,事業所数,02040,２０人～２９人,010010000,実数 （人）,2007000000,2007年
29425,010000000,事業所数,02040,２０人～２９人,010010000,実数 （人）,2008000000,2008年
-3.2,010000000,事業所数,02040,２０人～２９人,030010000,前年比 （％）,2007000000,2007年
-4.6,010000000,事業所数,02040,２０人～２９人,030010000,前年比 （％）,2008000000,2008年
11.9,010000000,事業所数,02040,２０人～２９人,050010000,構成比 （％）,2007000000,2007年
11.2,010000000,事業所数,02040,２０人～２９人,050010000,構成比 （％）,2008000000,2008年
16770,010000000,事業所数,02050,３０人～４９人,010010000,実数 （人）,2007000000,2007年
16357,010000000,事業所数,02050,３０人～４９人,010010000,実数 （人）,2008000000,2008年
-2.8,010000000,事業所数,02050,３０人～４９人,030010000,前年比 （％）,2007000000,2007年
-2.5,010000000,事業所数,02050,３０人～４９人,030010000,前年比 （％）,2008000000,2008年
6.5,010000000,事業所数,02050,３０人～４９人,050010000,構成比 （％）,2007000000,2007年
6.2,010000000,事業所数,02050,３０人～４９人,050010000,構成比 （％）,2008000000,2008年
16242,010000000,事業所数,02060,５０人～９９人,010010000,実数 （人）,2007000000,2007年
15640,010000000,事業所数,02060,５０人～９９人,010010000,実数 （人）,2008000000,2008年
