value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,time,time_label
8.4,050000000,製造品出荷額等,02080,２００人～２９９人,050010000,構成比 （％）,2008000000,2008年
43094927.7,050000000,製造品出荷額等,02090,３００人～４９９人,020010000,金額 （百万円）,2008000000,2008年
-2.5,050000000,製造品出荷額等,02090,３００人～４９９人,030010000,前年比 （％）,2008000000,2008年
12.9,050000000,製造品出荷額等,02090,３００人～４９９人,050010000,構成比 （％）,2008000000,2008年
42804308.5,050000000,製造品出荷額等,02100,５００人～９９９人,020010000,金額 （百万円）,2008000000,2008年
-0.7,050000000,製造品出荷額等,02100,５００人～９９９人,030010000,前年比 （％）,2008000000,2008年
12.8,050000000,製造品出荷額等,02100,５００人～９９９人,050010000,構成比 （％）,2008000000,2008年
89872327.9,050000000,製造品出荷額等,02110,１０００人以上,020010000,金額 （百万円）,2008000000,2008年
-0.8,050000000,製造品出荷額等,02110,１０００人以上,030010000,前年比 （％）,2008000000,2008年
26.9,050000000,製造品出荷額等,02110,１０００人以上,050010000,構成比 （％）,2008000000,2008年
100852400.1,060000000,付加価値額,02010,合計,020010000,金額 （百万円）,2008000000,2008年
-7.2,060000000,付加価値額,02010,合計,030010000,前年比 （％）,2008000000,2008年
100,060000000,付加価値額,02010,合計,050010000,構成比 （％）,2008000000,2008年
4285191.9,060000000,付加価値額,02020,４人～９人,020010000,金額 （百万円）,2008000000,2008年
-0.9,060000000,付加価値額,02020,４人～９人,030010000,前年比 （％）,2008000000,2008年
4.2,060000000,付加価値額,02020,４人～９人,050010000,構成比 （％）,2008000000,2008年
6129229,060000000,付加価値額,02030,１０人～１９人,020010000,金額 （百万円）,2008000000,2008年
-5.5,060000000,付加価値額,02030,１０人～１９人,030010000,前年比 （％）,2008000000,2008年
6.1,060000000,付加価値額,02030,１０人～１９人,050010000,構成比 （％）,2008000000,2008年
6149178.7,060000000,付加価値額,02040,２０人～２９人,020010000,金額 （百万円）,2008000000,2008年
-5.2,060000000,付加価値額,02040,２０人～２９人,030010000,前年比 （％）,2008000000,2008年
6.1,060000000,付加価値額,02040,２０人～２９人,050010000,構成比 （％）,2008000000,2008年
