value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
37262,100,売上（収入）金額,110,500万円以下,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
34773,100,売上（収入）金額,110,500万円以下,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
37471,100,売上（収入）金額,110,500万円以下,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
3007536,100,売上（収入）金額,120,500万円超～1千万円,100,合計,2016100000,2016年度,百万円
3256335,100,売上（収入）金額,120,500万円超～1千万円,100,合計,2015100000,2015年度,百万円
3197196,100,売上（収入）金額,120,500万円超～1千万円,100,合計,2014100000,2014年度,百万円
230739,100,売上（収入）金額,120,500万円超～1千万円,110,建設業,2016100000,2016年度,百万円
217322,100,売上（収入）金額,120,500万円超～1千万円,110,建設業,2015100000,2015年度,百万円
258401,100,売上（収入）金額,120,500万円超～1千万円,110,建設業,2014100000,2014年度,百万円
240610,100,売上（収入）金額,120,500万円超～1千万円,120,製造業,2016100000,2016年度,百万円
296202,100,売上（収入）金額,120,500万円超～1千万円,120,製造業,2015100000,2015年度,百万円
285832,100,売上（収入）金額,120,500万円超～1千万円,120,製造業,2014100000,2014年度,百万円
3091,100,売上（収入）金額,120,500万円超～1千万円,130,情報通信業,2016100000,2016年度,百万円
3339,100,売上（収入）金額,120,500万円超～1千万円,130,情報通信業,2015100000,2015年度,百万円
2823,100,売上（収入）金額,120,500万円超～1千万円,130,情報通信業,2014100000,2014年度,百万円
19262,100,売上（収入）金額,120,500万円超～1千万円,140,運輸業，郵便業,2016100000,2016年度,百万円
20238,100,売上（収入）金額,120,500万円超～1千万円,140,運輸業，郵便業,2015100000,2015年度,百万円
24544,100,売上（収入）金額,120,500万円超～1千万円,140,運輸業，郵便業,2014100000,2014年度,百万円
56997,100,売上（収入）金額,120,500万円超～1千万円,150,卸売業,2016100000,2016年度,百万円
65903,100,売上（収入）金額,120,500万円超～1千万円,150,卸売業,2015100000,2015年度,百万円
72689,100,売上（収入）金額,120,500万円超～1千万円,150,卸売業,2014100000,2014年度,百万円
725540,100,売上（収入）金額,120,500万円超～1千万円,160,小売業,2016100000,2016年度,百万円
767082,100,売上（収入）金額,120,500万円超～1千万円,160,小売業,2015100000,2015年度,百万円
628792,100,売上（収入）金額,120,500万円超～1千万円,160,小売業,2014100000,2014年度,百万円
224349,100,売上（収入）金額,120,500万円超～1千万円,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
227219,100,売上（収入）金額,120,500万円超～1千万円,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
