value,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
469368325,100,売上高,100,計,100,合計,2016100000,2016年度,百万円
461742295,100,売上高,100,計,100,合計,2015100000,2015年度,百万円
469240442,100,売上高,100,計,100,合計,2014100000,2014年度,百万円
62022932,100,売上高,100,計,110,建設業,2016100000,2016年度,百万円
68248517,100,売上高,100,計,110,建設業,2015100000,2015年度,百万円
67352530,100,売上高,100,計,110,建設業,2014100000,2014年度,百万円
130115182,100,売上高,100,計,120,製造業,2016100000,2016年度,百万円
124137819,100,売上高,100,計,120,製造業,2015100000,2015年度,百万円
121173301,100,売上高,100,計,120,製造業,2014100000,2014年度,百万円
9239058,100,売上高,100,計,130,情報通信業,2016100000,2016年度,百万円
9719292,100,売上高,100,計,130,情報通信業,2015100000,2015年度,百万円
8289252,100,売上高,100,計,130,情報通信業,2014100000,2014年度,百万円
24762690,100,売上高,100,計,140,運輸業，郵便業,2016100000,2016年度,百万円
23454102,100,売上高,100,計,140,運輸業，郵便業,2015100000,2015年度,百万円
23051648,100,売上高,100,計,140,運輸業，郵便業,2014100000,2014年度,百万円
107601527,100,売上高,100,計,150,卸売業,2016100000,2016年度,百万円
110230469,100,売上高,100,計,150,卸売業,2015100000,2015年度,百万円
116847918,100,売上高,100,計,150,卸売業,2014100000,2014年度,百万円
64877835,100,売上高,100,計,160,小売業,2016100000,2016年度,百万円
55568300,100,売上高,100,計,160,小売業,2015100000,2015年度,百万円
56815818,100,売上高,100,計,160,小売業,2014100000,2014年度,百万円
17405387,100,売上高,100,計,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
18370796,100,売上高,100,計,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
22320208,100,売上高,100,計,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
7845916,100,売上高,100,計,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
8258891,100,売上高,100,計,180,学術研究，専門・技術サービス業,2015100000,2015年度,百万円
8157395,100,売上高,100,計,180,学術研究，専門・技術サービス業,2014100000,2014年度,百万円
8859940,100,売上高,100,計,190,宿泊業，飲食サービス業,2016100000,2016年度,百万円
9352079,100,売上高,100,計,190,宿泊業，飲食サービス業,2015100000,2015年度,百万円
9226578,100,売上高,100,計,190,宿泊業，飲食サービス業,2014100000,2014年度,百万円
19149668,100,売上高,100,計,200,生活関連サービス業，娯楽業,2016100000,2016年度,百万円
18963634,100,売上高,100,計,200,生活関連サービス業，娯楽業,2015100000,2015年度,百万円
19922902,100,売上高,100,計,200,生活関連サービス業，娯楽業,2014100000,2014年度,百万円
17488190,100,売上高,100,計,210,サービス業（他に分類されないもの）,2016100000,2016年度,百万円
15438396,100,売上高,100,計,210,サービス業（他に分類されないもの）,2015100000,2015年度,百万円
16082892,100,売上高,100,計,210,サービス業（他に分類されないもの）,2014100000,2014年度,百万円
175288,100,売上高,110,500万円以下,100,合計,2016100000,2016年度,百万円
166169,100,売上高,110,500万円以下,100,合計,2015100000,2015年度,百万円
176555,100,売上高,110,500万円以下,100,合計,2014100000,2014年度,百万円
4526,100,売上高,110,500万円以下,110,建設業,2016100000,2016年度,百万円
9949,100,売上高,110,500万円以下,110,建設業,2015100000,2015年度,百万円
6957,100,売上高,110,500万円以下,110,建設業,2014100000,2014年度,百万円
16622,100,売上高,110,500万円以下,120,製造業,2016100000,2016年度,百万円
17290,100,売上高,110,500万円以下,120,製造業,2015100000,2015年度,百万円
22831,100,売上高,110,500万円以下,120,製造業,2014100000,2014年度,百万円
5558,100,売上高,110,500万円以下,130,情報通信業,2016100000,2016年度,百万円
6781,100,売上高,110,500万円以下,130,情報通信業,2015100000,2015年度,百万円
7678,100,売上高,110,500万円以下,130,情報通信業,2014100000,2014年度,百万円
2144,100,売上高,110,500万円以下,140,運輸業，郵便業,2016100000,2016年度,百万円
1947,100,売上高,110,500万円以下,140,運輸業，郵便業,2015100000,2015年度,百万円
1731,100,売上高,110,500万円以下,140,運輸業，郵便業,2014100000,2014年度,百万円
9338,100,売上高,110,500万円以下,150,卸売業,2016100000,2016年度,百万円
7030,100,売上高,110,500万円以下,150,卸売業,2015100000,2015年度,百万円
6936,100,売上高,110,500万円以下,150,卸売業,2014100000,2014年度,百万円
40361,100,売上高,110,500万円以下,160,小売業,2016100000,2016年度,百万円
27615,100,売上高,110,500万円以下,160,小売業,2015100000,2015年度,百万円
27671,100,売上高,110,500万円以下,160,小売業,2014100000,2014年度,百万円
49266,100,売上高,110,500万円以下,170,不動産業，物品賃貸業,2016100000,2016年度,百万円
50383,100,売上高,110,500万円以下,170,不動産業，物品賃貸業,2015100000,2015年度,百万円
54305,100,売上高,110,500万円以下,170,不動産業，物品賃貸業,2014100000,2014年度,百万円
16624,100,売上高,110,500万円以下,180,学術研究，専門・技術サービス業,2016100000,2016年度,百万円
