value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
46100,001,人口,000,総数,002,　　平成19年,006,　65歳以上,001,　男,00000,全国,2007000000,2007年,人
11200,001,人口,000,総数,002,　　平成19年,006,　65歳以上,002,　女,00000,全国,2007000000,2007年,人
112600,001,人口,000,総数,003,　　　平成19年9月以降,000,総数,000,総数,00000,全国,2007000000,2007年,人
55000,001,人口,000,総数,003,　　　平成19年9月以降,000,総数,001,　男,00000,全国,2007000000,2007年,人
57500,001,人口,000,総数,003,　　　平成19年9月以降,000,総数,002,　女,00000,全国,2007000000,2007年,人
24000,001,人口,000,総数,003,　　　平成19年9月以降,001,　15～24歳,000,総数,00000,全国,2007000000,2007年,人
10100,001,人口,000,総数,003,　　　平成19年9月以降,001,　15～24歳,001,　男,00000,全国,2007000000,2007年,人
13800,001,人口,000,総数,003,　　　平成19年9月以降,001,　15～24歳,002,　女,00000,全国,2007000000,2007年,人
34600,001,人口,000,総数,003,　　　平成19年9月以降,002,　25～34歳,000,総数,00000,全国,2007000000,2007年,人
17600,001,人口,000,総数,003,　　　平成19年9月以降,002,　25～34歳,001,　男,00000,全国,2007000000,2007年,人
17100,001,人口,000,総数,003,　　　平成19年9月以降,002,　25～34歳,002,　女,00000,全国,2007000000,2007年,人
27800,001,人口,000,総数,003,　　　平成19年9月以降,003,　35～44歳,000,総数,00000,全国,2007000000,2007年,人
11500,001,人口,000,総数,003,　　　平成19年9月以降,003,　35～44歳,001,　男,00000,全国,2007000000,2007年,人
16300,001,人口,000,総数,003,　　　平成19年9月以降,003,　35～44歳,002,　女,00000,全国,2007000000,2007年,人
14700,001,人口,000,総数,003,　　　平成19年9月以降,004,　45～54歳,000,総数,00000,全国,2007000000,2007年,人
6800,001,人口,000,総数,003,　　　平成19年9月以降,004,　45～54歳,001,　男,00000,全国,2007000000,2007年,人
7900,001,人口,000,総数,003,　　　平成19年9月以降,004,　45～54歳,002,　女,00000,全国,2007000000,2007年,人
9800,001,人口,000,総数,003,　　　平成19年9月以降,005,　55～64歳,000,総数,00000,全国,2007000000,2007年,人
7500,001,人口,000,総数,003,　　　平成19年9月以降,005,　55～64歳,001,　男,00000,全国,2007000000,2007年,人
2300,001,人口,000,総数,003,　　　平成19年9月以降,005,　55～64歳,002,　女,00000,全国,2007000000,2007年,人
1700,001,人口,000,総数,003,　　　平成19年9月以降,006,　65歳以上,000,総数,00000,全国,2007000000,2007年,人
1500,001,人口,000,総数,003,　　　平成19年9月以降,006,　65歳以上,001,　男,00000,全国,2007000000,2007年,人
100,001,人口,000,総数,003,　　　平成19年9月以降,006,　65歳以上,002,　女,00000,全国,2007000000,2007年,人
220800,001,人口,000,総数,004,　　　平成19年8月,000,総数,000,総数,00000,全国,2007000000,2007年,人
105500,001,人口,000,総数,004,　　　平成19年8月,000,総数,001,　男,00000,全国,2007000000,2007年,人
115300,001,人口,000,総数,004,　　　平成19年8月,000,総数,002,　女,00000,全国,2007000000,2007年,人
51300,001,人口,000,総数,004,　　　平成19年8月,001,　15～24歳,000,総数,00000,全国,2007000000,2007年,人
25300,001,人口,000,総数,004,　　　平成19年8月,001,　15～24歳,001,　男,00000,全国,2007000000,2007年,人
26000,001,人口,000,総数,004,　　　平成19年8月,001,　15～24歳,002,　女,00000,全国,2007000000,2007年,人
69900,001,人口,000,総数,004,　　　平成19年8月,002,　25～34歳,000,総数,00000,全国,2007000000,2007年,人
33600,001,人口,000,総数,004,　　　平成19年8月,002,　25～34歳,001,　男,00000,全国,2007000000,2007年,人
36300,001,人口,000,総数,004,　　　平成19年8月,002,　25～34歳,002,　女,00000,全国,2007000000,2007年,人
49100,001,人口,000,総数,004,　　　平成19年8月,003,　35～44歳,000,総数,00000,全国,2007000000,2007年,人
20300,001,人口,000,総数,004,　　　平成19年8月,003,　35～44歳,001,　男,00000,全国,2007000000,2007年,人
28700,001,人口,000,総数,004,　　　平成19年8月,003,　35～44歳,002,　女,00000,全国,2007000000,2007年,人
27300,001,人口,000,総数,004,　　　平成19年8月,004,　45～54歳,000,総数,00000,全国,2007000000,2007年,人
10400,001,人口,000,総数,004,　　　平成19年8月,004,　45～54歳,001,　男,00000,全国,2007000000,2007年,人
16900,001,人口,000,総数,004,　　　平成19年8月,004,　45～54歳,002,　女,00000,全国,2007000000,2007年,人
19100,001,人口,000,総数,004,　　　平成19年8月,005,　55～64歳,000,総数,00000,全国,2007000000,2007年,人
12600,001,人口,000,総数,004,　　　平成19年8月,005,　55～64歳,001,　男,00000,全国,2007000000,2007年,人
6500,001,人口,000,総数,004,　　　平成19年8月,005,　55～64歳,002,　女,00000,全国,2007000000,2007年,人
4000,001,人口,000,総数,004,　　　平成19年8月,006,　65歳以上,000,総数,00000,全国,2007000000,2007年,人
3200,001,人口,000,総数,004,　　　平成19年8月,006,　65歳以上,001,　男,00000,全国,2007000000,2007年,人
800,001,人口,000,総数,004,　　　平成19年8月,006,　65歳以上,002,　女,00000,全国,2007000000,2007年,人
229300,001,人口,000,総数,005,　　　平成19年7月,000,総数,000,総数,00000,全国,2007000000,2007年,人
107300,001,人口,000,総数,005,　　　平成19年7月,000,総数,001,　男,00000,全国,2007000000,2007年,人
122000,001,人口,000,総数,005,　　　平成19年7月,000,総数,002,　女,00000,全国,2007000000,2007年,人
51200,001,人口,000,総数,005,　　　平成19年7月,001,　15～24歳,000,総数,00000,全国,2007000000,2007年,人
23000,001,人口,000,総数,005,　　　平成19年7月,001,　15～24歳,001,　男,00000,全国,2007000000,2007年,人
28200,001,人口,000,総数,005,　　　平成19年7月,001,　15～24歳,002,　女,00000,全国,2007000000,2007年,人
75700,001,人口,000,総数,005,　　　平成19年7月,002,　25～34歳,000,総数,00000,全国,2007000000,2007年,人
36900,001,人口,000,総数,005,　　　平成19年7月,002,　25～34歳,001,　男,00000,全国,2007000000,2007年,人
38800,001,人口,000,総数,005,　　　平成19年7月,002,　25～34歳,002,　女,00000,全国,2007000000,2007年,人
50500,001,人口,000,総数,005,　　　平成19年7月,003,　35～44歳,000,総数,00000,全国,2007000000,2007年,人
20200,001,人口,000,総数,005,　　　平成19年7月,003,　35～44歳,001,　男,00000,全国,2007000000,2007年,人
30300,001,人口,000,総数,005,　　　平成19年7月,003,　35～44歳,002,　女,00000,全国,2007000000,2007年,人
29700,001,人口,000,総数,005,　　　平成19年7月,004,　45～54歳,000,総数,00000,全国,2007000000,2007年,人
12300,001,人口,000,総数,005,　　　平成19年7月,004,　45～54歳,001,　男,00000,全国,2007000000,2007年,人
17300,001,人口,000,総数,005,　　　平成19年7月,004,　45～54歳,002,　女,00000,全国,2007000000,2007年,人
19100,001,人口,000,総数,005,　　　平成19年7月,005,　55～64歳,000,総数,00000,全国,2007000000,2007年,人
12300,001,人口,000,総数,005,　　　平成19年7月,005,　55～64歳,001,　男,00000,全国,2007000000,2007年,人
6800,001,人口,000,総数,005,　　　平成19年7月,005,　55～64歳,002,　女,00000,全国,2007000000,2007年,人
3100,001,人口,000,総数,005,　　　平成19年7月,006,　65歳以上,000,総数,00000,全国,2007000000,2007年,人
2500,001,人口,000,総数,005,　　　平成19年7月,006,　65歳以上,001,　男,00000,全国,2007000000,2007年,人
600,001,人口,000,総数,005,　　　平成19年7月,006,　65歳以上,002,　女,00000,全国,2007000000,2007年,人
