value,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
9648,000,男女計,000,総数,203,15～19歳,000,総数,00000,全国,1987000000,1987年,千人
9610,000,男女計,000,総数,203,15～19歳,001,　未婚,00000,全国,1987000000,1987年,千人
36,000,男女計,000,総数,203,15～19歳,002,　有配偶,00000,全国,1987000000,1987年,千人
0,000,男女計,000,総数,203,15～19歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
8320,000,男女計,000,総数,204,20～24歳,000,総数,00000,全国,1987000000,1987年,千人
7347,000,男女計,000,総数,204,20～24歳,001,　未婚,00000,全国,1987000000,1987年,千人
949,000,男女計,000,総数,204,20～24歳,002,　有配偶,00000,全国,1987000000,1987年,千人
22,000,男女計,000,総数,204,20～24歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
7785,000,男女計,000,総数,205,25～29歳,000,総数,00000,全国,1987000000,1987年,千人
3695,000,男女計,000,総数,205,25～29歳,001,　未婚,00000,全国,1987000000,1987年,千人
3998,000,男女計,000,総数,205,25～29歳,002,　有配偶,00000,全国,1987000000,1987年,千人
87,000,男女計,000,総数,205,25～29歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
8223,000,男女計,000,総数,206,30～34歳,000,総数,00000,全国,1987000000,1987年,千人
1578,000,男女計,000,総数,206,30～34歳,001,　未婚,00000,全国,1987000000,1987年,千人
6463,000,男女計,000,総数,206,30～34歳,002,　有配偶,00000,全国,1987000000,1987年,千人
177,000,男女計,000,総数,206,30～34歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
10886,000,男女計,000,総数,207,35～39歳,000,総数,00000,全国,1987000000,1987年,千人
1102,000,男女計,000,総数,207,35～39歳,001,　未婚,00000,全国,1987000000,1987年,千人
9377,000,男女計,000,総数,207,35～39歳,002,　有配偶,00000,全国,1987000000,1987年,千人
398,000,男女計,000,総数,207,35～39歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
9038,000,男女計,000,総数,208,40～44歳,000,総数,00000,全国,1987000000,1987年,千人
552,000,男女計,000,総数,208,40～44歳,001,　未婚,00000,全国,1987000000,1987年,千人
8062,000,男女計,000,総数,208,40～44歳,002,　有配偶,00000,全国,1987000000,1987年,千人
419,000,男女計,000,総数,208,40～44歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
8610,000,男女計,000,総数,209,45～49歳,000,総数,00000,全国,1987000000,1987年,千人
353,000,男女計,000,総数,209,45～49歳,001,　未婚,00000,全国,1987000000,1987年,千人
7716,000,男女計,000,総数,209,45～49歳,002,　有配偶,00000,全国,1987000000,1987年,千人
525,000,男女計,000,総数,209,45～49歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
8138,000,男女計,000,総数,210,50～54歳,000,総数,00000,全国,1987000000,1987年,千人
252,000,男女計,000,総数,210,50～54歳,001,　未婚,00000,全国,1987000000,1987年,千人
7246,000,男女計,000,総数,210,50～54歳,002,　有配偶,00000,全国,1987000000,1987年,千人
629,000,男女計,000,総数,210,50～54歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
7331,000,男女計,000,総数,211,55～59歳,000,総数,00000,全国,1987000000,1987年,千人
219,000,男女計,000,総数,211,55～59歳,001,　未婚,00000,全国,1987000000,1987年,千人
6340,000,男女計,000,総数,211,55～59歳,002,　有配偶,00000,全国,1987000000,1987年,千人
763,000,男女計,000,総数,211,55～59歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
6036,000,男女計,000,総数,212,60～64歳,000,総数,00000,全国,1987000000,1987年,千人
137,000,男女計,000,総数,212,60～64歳,001,　未婚,00000,全国,1987000000,1987年,千人
4908,000,男女計,000,総数,212,60～64歳,002,　有配偶,00000,全国,1987000000,1987年,千人
974,000,男女計,000,総数,212,60～64歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
4425,000,男女計,000,総数,213,65～69歳,000,総数,00000,全国,1987000000,1987年,千人
82,000,男女計,000,総数,213,65～69歳,001,　未婚,00000,全国,1987000000,1987年,千人
3160,000,男女計,000,総数,213,65～69歳,002,　有配偶,00000,全国,1987000000,1987年,千人
1175,000,男女計,000,総数,213,65～69歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
3669,000,男女計,000,総数,214,70～74歳,000,総数,00000,全国,1987000000,1987年,千人
45,000,男女計,000,総数,214,70～74歳,001,　未婚,00000,全国,1987000000,1987年,千人
2241,000,男女計,000,総数,214,70～74歳,002,　有配偶,00000,全国,1987000000,1987年,千人
1374,000,男女計,000,総数,214,70～74歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
97337,000,男女計,000,総数,515,15歳以上,000,総数,00000,全国,1987000000,1987年,千人
25019,000,男女計,000,総数,515,15歳以上,001,　未婚,00000,全国,1987000000,1987年,千人
62543,000,男女計,000,総数,515,15歳以上,002,　有配偶,00000,全国,1987000000,1987年,千人
9613,000,男女計,000,総数,515,15歳以上,003,　死別・離別,00000,全国,1987000000,1987年,千人
5227,000,男女計,000,総数,575,75歳以上,000,総数,00000,全国,1987000000,1987年,千人
47,000,男女計,000,総数,575,75歳以上,001,　未婚,00000,全国,1987000000,1987年,千人
2046,000,男女計,000,総数,575,75歳以上,002,　有配偶,00000,全国,1987000000,1987年,千人
3069,000,男女計,000,総数,575,75歳以上,003,　死別・離別,00000,全国,1987000000,1987年,千人
1621,000,男女計,001,　有業者,203,15～19歳,000,総数,00000,全国,1987000000,1987年,千人
1606,000,男女計,001,　有業者,203,15～19歳,001,　未婚,00000,全国,1987000000,1987年,千人
15,000,男女計,001,　有業者,203,15～19歳,002,　有配偶,00000,全国,1987000000,1987年,千人
0,000,男女計,001,　有業者,203,15～19歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
5960,000,男女計,001,　有業者,204,20～24歳,000,総数,00000,全国,1987000000,1987年,千人
5417,000,男女計,001,　有業者,204,20～24歳,001,　未婚,00000,全国,1987000000,1987年,千人
526,000,男女計,001,　有業者,204,20～24歳,002,　有配偶,00000,全国,1987000000,1987年,千人
16,000,男女計,001,　有業者,204,20～24歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
5820,000,男女計,001,　有業者,205,25～29歳,000,総数,00000,全国,1987000000,1987年,千人
3322,000,男女計,001,　有業者,205,25～29歳,001,　未婚,00000,全国,1987000000,1987年,千人
2426,000,男女計,001,　有業者,205,25～29歳,002,　有配偶,00000,全国,1987000000,1987年,千人
68,000,男女計,001,　有業者,205,25～29歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
6016,000,男女計,001,　有業者,206,30～34歳,000,総数,00000,全国,1987000000,1987年,千人
1390,000,男女計,001,　有業者,206,30～34歳,001,　未婚,00000,全国,1987000000,1987年,千人
4479,000,男女計,001,　有業者,206,30～34歳,002,　有配偶,00000,全国,1987000000,1987年,千人
147,000,男女計,001,　有業者,206,30～34歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
8571,000,男女計,001,　有業者,207,35～39歳,000,総数,00000,全国,1987000000,1987年,千人
930,000,男女計,001,　有業者,207,35～39歳,001,　未婚,00000,全国,1987000000,1987年,千人
7295,000,男女計,001,　有業者,207,35～39歳,002,　有配偶,00000,全国,1987000000,1987年,千人
343,000,男女計,001,　有業者,207,35～39歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
7477,000,男女計,001,　有業者,208,40～44歳,000,総数,00000,全国,1987000000,1987年,千人
437,000,男女計,001,　有業者,208,40～44歳,001,　未婚,00000,全国,1987000000,1987年,千人
6674,000,男女計,001,　有業者,208,40～44歳,002,　有配偶,00000,全国,1987000000,1987年,千人
363,000,男女計,001,　有業者,208,40～44歳,003,　死別・離別,00000,全国,1987000000,1987年,千人
