value,cat01,cat01_label,cat02,cat02_label
5380601,00070100,消費者・販売業者向販売,00070100,ガソリン　計
723260,00070100,消費者・販売業者向販売,00070200,自動車用　高級
4643747,00070100,消費者・販売業者向販売,00070300,自動車用　並級
13594,00070100,消費者・販売業者向販売,00070400,その他用
4789442,00070100,消費者・販売業者向販売,00070500,ナフサ　計
4780978,00070100,消費者・販売業者向販売,00070600,石油化学用
8464,00070100,消費者・販売業者向販売,00070700,その他用
185337,00070100,消費者・販売業者向販売,00070800,潤滑油　計
32505,00070100,消費者・販売業者向販売,00070900,ガソリンエンジン油
20383,00070100,消費者・販売業者向販売,00071000,ディーゼルエンジン油
14456,00070100,消費者・販売業者向販売,00071100,その他車両用
15180,00070100,消費者・販売業者向販売,00071200,船舶用エンジン油
32598,00070100,消費者・販売業者向販売,00071300,機械油
10637,00070100,消費者・販売業者向販売,00071400,金属加工油
3745,00070100,消費者・販売業者向販売,00071500,電気絶縁油
39374,00070100,消費者・販売業者向販売,00071600,その他特定用途向け
16459,00070100,消費者・販売業者向販売,00071700,その他
1029258,00070200,在庫,00070100,ガソリン　計
228359,00070200,在庫,00070200,自動車用　高級
795313,00070200,在庫,00070300,自動車用　並級
5586,00070200,在庫,00070400,その他用
417477,00070200,在庫,00070500,ナフサ　計
417414,00070200,在庫,00070600,石油化学用
63,00070200,在庫,00070700,その他用
167897,00070200,在庫,00070800,潤滑油　計
22963,00070200,在庫,00070900,ガソリンエンジン油
10294,00070200,在庫,00071000,ディーゼルエンジン油
12499,00070200,在庫,00071100,その他車両用
11930,00070200,在庫,00071200,船舶用エンジン油
19259,00070200,在庫,00071300,機械油
10669,00070200,在庫,00071400,金属加工油
2909,00070200,在庫,00071500,電気絶縁油
49715,00070200,在庫,00071600,その他特定用途向け
27659,00070200,在庫,00071700,その他
