value,cat01,cat01_label,cat02,cat02_label,area,area_label
51854,0000000010,計,0000000010,計,00000,計
2974,0000000010,計,0000000010,計,01100,札幌市
1816,0000000010,計,0000000010,計,04100,仙台市
1900,0000000010,計,0000000010,計,11100,さいたま市
1532,0000000010,計,0000000010,計,12100,千葉市
11832,0000000010,計,0000000010,計,13100,東京（23区）
5356,0000000010,計,0000000010,計,14100,横浜市
1863,0000000010,計,0000000010,計,14130,川崎市
1535,0000000010,計,0000000010,計,15100,新潟市
1220,0000000010,計,0000000010,計,22100,静岡市
1376,0000000010,計,0000000010,計,22130,浜松市
3480,0000000010,計,0000000010,計,23100,名古屋市
2724,0000000010,計,0000000010,計,26100,京都市
4236,0000000010,計,0000000010,計,27100,大阪市
1376,0000000010,計,0000000010,計,27140,堺市
2650,0000000010,計,0000000010,計,28100,神戸市
1991,0000000010,計,0000000010,計,34100,広島市
1705,0000000010,計,0000000010,計,40100,北九州市
2288,0000000010,計,0000000010,計,40130,福岡市
44217,0000000010,計,0000000020,公立,00000,計
2820,0000000010,計,0000000020,公立,01100,札幌市
1704,0000000010,計,0000000020,公立,04100,仙台市
1694,0000000010,計,0000000020,公立,11100,さいたま市
1427,0000000010,計,0000000020,公立,12100,千葉市
8588,0000000010,計,0000000020,公立,13100,東京（23区）
4545,0000000010,計,0000000020,公立,14100,横浜市
1675,0000000010,計,0000000020,公立,14130,川崎市
1483,0000000010,計,0000000020,公立,15100,新潟市
1057,0000000010,計,0000000020,公立,22100,静岡市
1279,0000000010,計,0000000020,公立,22130,浜松市
3101,0000000010,計,0000000020,公立,23100,名古屋市
2231,0000000010,計,0000000020,公立,26100,京都市
3684,0000000010,計,0000000020,公立,27100,大阪市
1325,0000000010,計,0000000020,公立,27140,堺市
2341,0000000010,計,0000000020,公立,28100,神戸市
1664,0000000010,計,0000000020,公立,34100,広島市
1555,0000000010,計,0000000020,公立,40100,北九州市
2044,0000000010,計,0000000020,公立,40130,福岡市
7115,0000000010,計,0000000030,私立,00000,計
133,0000000010,計,0000000030,私立,01100,札幌市
89,0000000010,計,0000000030,私立,04100,仙台市
179,0000000010,計,0000000030,私立,11100,さいたま市
76,0000000010,計,0000000030,私立,12100,千葉市
3124,0000000010,計,0000000030,私立,13100,東京（23区）
791,0000000010,計,0000000030,私立,14100,横浜市
188,0000000010,計,0000000030,私立,14130,川崎市
35,0000000010,計,0000000030,私立,15100,新潟市
142,0000000010,計,0000000030,私立,22100,静岡市
80,0000000010,計,0000000030,私立,22130,浜松市
336,0000000010,計,0000000030,私立,23100,名古屋市
443,0000000010,計,0000000030,私立,26100,京都市
511,0000000010,計,0000000030,私立,27100,大阪市
51,0000000010,計,0000000030,私立,27140,堺市
284,0000000010,計,0000000030,私立,28100,神戸市
297,0000000010,計,0000000030,私立,34100,広島市
133,0000000010,計,0000000030,私立,40100,北九州市
223,0000000010,計,0000000030,私立,40130,福岡市
30104,0000000020,男,0000000010,計,00000,計
1825,0000000020,男,0000000010,計,01100,札幌市
1010,0000000020,男,0000000010,計,04100,仙台市
1148,0000000020,男,0000000010,計,11100,さいたま市
913,0000000020,男,0000000010,計,12100,千葉市
6856,0000000020,男,0000000010,計,13100,東京（23区）
3076,0000000020,男,0000000010,計,14100,横浜市
1085,0000000020,男,0000000010,計,14130,川崎市
856,0000000020,男,0000000010,計,15100,新潟市
756,0000000020,男,0000000010,計,22100,静岡市
894,0000000020,男,0000000010,計,22130,浜松市
2001,0000000020,男,0000000010,計,23100,名古屋市
1630,0000000020,男,0000000010,計,26100,京都市
2331,0000000020,男,0000000010,計,27100,大阪市
732,0000000020,男,0000000010,計,27140,堺市
1628,0000000020,男,0000000010,計,28100,神戸市
1131,0000000020,男,0000000010,計,34100,広島市
912,0000000020,男,0000000010,計,40100,北九州市
1320,0000000020,男,0000000010,計,40130,福岡市
25417,0000000020,男,0000000020,公立,00000,計
1744,0000000020,男,0000000020,公立,01100,札幌市
950,0000000020,男,0000000020,公立,04100,仙台市
1012,0000000020,男,0000000020,公立,11100,さいたま市
832,0000000020,男,0000000020,公立,12100,千葉市
4926,0000000020,男,0000000020,公立,13100,東京（23区）
2572,0000000020,男,0000000020,公立,14100,横浜市
979,0000000020,男,0000000020,公立,14130,川崎市
819,0000000020,男,0000000020,公立,15100,新潟市
649,0000000020,男,0000000020,公立,22100,静岡市
833,0000000020,男,0000000020,公立,22130,浜松市
1735,0000000020,男,0000000020,公立,23100,名古屋市
1344,0000000020,男,0000000020,公立,26100,京都市
1959,0000000020,男,0000000020,公立,27100,大阪市
701,0000000020,男,0000000020,公立,27140,堺市
1447,0000000020,男,0000000020,公立,28100,神戸市
915,0000000020,男,0000000020,公立,34100,広島市
827,0000000020,男,0000000020,公立,40100,北九州市
1173,0000000020,男,0000000020,公立,40130,福岡市
4323,0000000020,男,0000000030,私立,00000,計
64,0000000020,男,0000000030,私立,01100,札幌市
46,0000000020,男,0000000030,私立,04100,仙台市
115,0000000020,男,0000000030,私立,11100,さいたま市
59,0000000020,男,0000000030,私立,12100,千葉市
1851,0000000020,男,0000000030,私立,13100,東京（23区）
490,0000000020,男,0000000030,私立,14100,横浜市
106,0000000020,男,0000000030,私立,14130,川崎市
24,0000000020,男,0000000030,私立,15100,新潟市
89,0000000020,男,0000000030,私立,22100,静岡市
46,0000000020,男,0000000030,私立,22130,浜松市
232,0000000020,男,0000000030,私立,23100,名古屋市
258,0000000020,男,0000000030,私立,26100,京都市
343,0000000020,男,0000000030,私立,27100,大阪市
31,0000000020,男,0000000030,私立,27140,堺市
165,0000000020,男,0000000030,私立,28100,神戸市
196,0000000020,男,0000000030,私立,34100,広島市
75,0000000020,男,0000000030,私立,40100,北九州市
133,0000000020,男,0000000030,私立,40130,福岡市
21750,0000000030,女,0000000010,計,00000,計
1149,0000000030,女,0000000010,計,01100,札幌市
806,0000000030,女,0000000010,計,04100,仙台市
752,0000000030,女,0000000010,計,11100,さいたま市
619,0000000030,女,0000000010,計,12100,千葉市
4976,0000000030,女,0000000010,計,13100,東京（23区）
2280,0000000030,女,0000000010,計,14100,横浜市
778,0000000030,女,0000000010,計,14130,川崎市
679,0000000030,女,0000000010,計,15100,新潟市
464,0000000030,女,0000000010,計,22100,静岡市
482,0000000030,女,0000000010,計,22130,浜松市
1479,0000000030,女,0000000010,計,23100,名古屋市
1094,0000000030,女,0000000010,計,26100,京都市
1905,0000000030,女,0000000010,計,27100,大阪市
644,0000000030,女,0000000010,計,27140,堺市
1022,0000000030,女,0000000010,計,28100,神戸市
860,0000000030,女,0000000010,計,34100,広島市
793,0000000030,女,0000000010,計,40100,北九州市
968,0000000030,女,0000000010,計,40130,福岡市
18800,0000000030,女,0000000020,公立,00000,計
1076,0000000030,女,0000000020,公立,01100,札幌市
754,0000000030,女,0000000020,公立,04100,仙台市
682,0000000030,女,0000000020,公立,11100,さいたま市
595,0000000030,女,0000000020,公立,12100,千葉市
3662,0000000030,女,0000000020,公立,13100,東京（23区）
1973,0000000030,女,0000000020,公立,14100,横浜市
696,0000000030,女,0000000020,公立,14130,川崎市
664,0000000030,女,0000000020,公立,15100,新潟市
408,0000000030,女,0000000020,公立,22100,静岡市
446,0000000030,女,0000000020,公立,22130,浜松市
1366,0000000030,女,0000000020,公立,23100,名古屋市
887,0000000030,女,0000000020,公立,26100,京都市
1725,0000000030,女,0000000020,公立,27100,大阪市
624,0000000030,女,0000000020,公立,27140,堺市
894,0000000030,女,0000000020,公立,28100,神戸市
749,0000000030,女,0000000020,公立,34100,広島市
728,0000000030,女,0000000020,公立,40100,北九州市
871,0000000030,女,0000000020,公立,40130,福岡市
2792,0000000030,女,0000000030,私立,00000,計
69,0000000030,女,0000000030,私立,01100,札幌市
43,0000000030,女,0000000030,私立,04100,仙台市
64,0000000030,女,0000000030,私立,11100,さいたま市
17,0000000030,女,0000000030,私立,12100,千葉市
1273,0000000030,女,0000000030,私立,13100,東京（23区）
301,0000000030,女,0000000030,私立,14100,横浜市
82,0000000030,女,0000000030,私立,14130,川崎市
11,0000000030,女,0000000030,私立,15100,新潟市
53,0000000030,女,0000000030,私立,22100,静岡市
34,0000000030,女,0000000030,私立,22130,浜松市
104,0000000030,女,0000000030,私立,23100,名古屋市
185,0000000030,女,0000000030,私立,26100,京都市
168,0000000030,女,0000000030,私立,27100,大阪市
20,0000000030,女,0000000030,私立,27140,堺市
119,0000000030,女,0000000030,私立,28100,神戸市
101,0000000030,女,0000000030,私立,34100,広島市
58,0000000030,女,0000000030,私立,40100,北九州市
90,0000000030,女,0000000030,私立,40130,福岡市
