value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
3800,0000000800,学校数・学級数・児童生徒数・教職員数,06900,小学校-私立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
1889,0000000800,学校数・学級数・児童生徒数・教職員数,06900,小学校-私立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
1911,0000000800,学校数・学級数・児童生徒数・教職員数,06900,小学校-私立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
1096,0000000800,学校数・学級数・児童生徒数・教職員数,06900,小学校-私立,195,教員数（兼務者）,00000,全国,2006000000,2006年
795,0000000800,学校数・学級数・児童生徒数・教職員数,06900,小学校-私立,200,職員数（本務者）,00000,全国,2006000000,2006年
10992,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,010,学校数-計,00000,全国,2006000000,2006年
10921,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,020,学校数-本校,00000,全国,2006000000,2006年
71,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,030,学校数-分校,00000,全国,2006000000,2006年
118467,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,040,学級数,00000,全国,2006000000,2006年
3601527,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,080,児童生徒数-計,00000,全国,2006000000,2006年
1842098,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,090,児童生徒数-男,00000,全国,2006000000,2006年
1759429,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,100,児童生徒数-女,00000,全国,2006000000,2006年
248280,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,170,教員数（本務者）-計,00000,全国,2006000000,2006年
146036,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,180,教員数（本務者）-男,00000,全国,2006000000,2006年
102244,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,190,教員数（本務者）-女,00000,全国,2006000000,2006年
30612,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,195,教員数（兼務者）,00000,全国,2006000000,2006年
34318,0000000800,学校数・学級数・児童生徒数・教職員数,06990,中学校-計,200,職員数（本務者）,00000,全国,2006000000,2006年
76,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,010,学校数-計,00000,全国,2006000000,2006年
76,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,020,学校数-本校,00000,全国,2006000000,2006年
0,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,030,学校数-分校,00000,全国,2006000000,2006年
863,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,040,学級数,00000,全国,2006000000,2006年
33407,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,080,児童生徒数-計,00000,全国,2006000000,2006年
16787,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,090,児童生徒数-男,00000,全国,2006000000,2006年
16620,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,100,児童生徒数-女,00000,全国,2006000000,2006年
1642,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,170,教員数（本務者）-計,00000,全国,2006000000,2006年
1185,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,180,教員数（本務者）-男,00000,全国,2006000000,2006年
457,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,190,教員数（本務者）-女,00000,全国,2006000000,2006年
800,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,195,教員数（兼務者）,00000,全国,2006000000,2006年
151,0000000800,学校数・学級数・児童生徒数・教職員数,07000,中学校-国立,200,職員数（本務者）,00000,全国,2006000000,2006年
10190,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,010,学校数-計,00000,全国,2006000000,2006年
10119,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,020,学校数-本校,00000,全国,2006000000,2006年
71,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,030,学校数-分校,00000,全国,2006000000,2006年
110646,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,040,学級数,00000,全国,2006000000,2006年
3320772,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,080,児童生徒数-計,00000,全国,2006000000,2006年
1709374,0000000800,学校数・学級数・児童生徒数・教職員数,07100,中学校-公立,090,児童生徒数-男,00000,全国,2006000000,2006年
