value,cat01,cat01_label,cat02,cat02_label,area,area_label
56725,0000000010,計,0000000010,計,00000,計
3160,0000000010,計,0000000010,計,01100,札幌市
2134,0000000010,計,0000000010,計,04100,仙台市
2324,0000000010,計,0000000010,計,11100,さいたま市
1703,0000000010,計,0000000010,計,12100,千葉市
13093,0000000010,計,0000000010,計,13100,東京（23区）
4789,0000000010,計,0000000010,計,14100,横浜市
1487,0000000010,計,0000000010,計,14130,川崎市
1650,0000000010,計,0000000010,計,15100,新潟市
1549,0000000010,計,0000000010,計,22100,静岡市
1578,0000000010,計,0000000010,計,22130,浜松市
3916,0000000010,計,0000000010,計,23100,名古屋市
3090,0000000010,計,0000000010,計,26100,京都市
5452,0000000010,計,0000000010,計,27100,大阪市
1348,0000000010,計,0000000010,計,27140,堺市
3028,0000000010,計,0000000010,計,28100,神戸市
2143,0000000010,計,0000000010,計,34100,広島市
1874,0000000010,計,0000000010,計,40100,北九州市
2407,0000000010,計,0000000010,計,40130,福岡市
33973,0000000010,計,0000000020,公立,00000,計
2315,0000000010,計,0000000020,公立,01100,札幌市
1203,0000000010,計,0000000020,公立,04100,仙台市
1520,0000000010,計,0000000020,公立,11100,さいたま市
1294,0000000010,計,0000000020,公立,12100,千葉市
5912,0000000010,計,0000000020,公立,13100,東京（23区）
3131,0000000010,計,0000000020,公立,14100,横浜市
1171,0000000010,計,0000000020,公立,14130,川崎市
1199,0000000010,計,0000000020,公立,15100,新潟市
995,0000000010,計,0000000020,公立,22100,静岡市
1186,0000000010,計,0000000020,公立,22130,浜松市
2165,0000000010,計,0000000020,公立,23100,名古屋市
1753,0000000010,計,0000000020,公立,26100,京都市
3452,0000000010,計,0000000020,公立,27100,大阪市
1075,0000000010,計,0000000020,公立,27140,堺市
1854,0000000010,計,0000000020,公立,28100,神戸市
1360,0000000010,計,0000000020,公立,34100,広島市
1138,0000000010,計,0000000020,公立,40100,北九州市
1250,0000000010,計,0000000020,公立,40130,福岡市
22361,0000000010,計,0000000030,私立,00000,計
845,0000000010,計,0000000030,私立,01100,札幌市
931,0000000010,計,0000000030,私立,04100,仙台市
804,0000000010,計,0000000030,私立,11100,さいたま市
409,0000000010,計,0000000030,私立,12100,千葉市
6975,0000000010,計,0000000030,私立,13100,東京（23区）
1658,0000000010,計,0000000030,私立,14100,横浜市
316,0000000010,計,0000000030,私立,14130,川崎市
451,0000000010,計,0000000030,私立,15100,新潟市
554,0000000010,計,0000000030,私立,22100,静岡市
392,0000000010,計,0000000030,私立,22130,浜松市
1725,0000000010,計,0000000030,私立,23100,名古屋市
1301,0000000010,計,0000000030,私立,26100,京都市
1922,0000000010,計,0000000030,私立,27100,大阪市
273,0000000010,計,0000000030,私立,27140,堺市
1174,0000000010,計,0000000030,私立,28100,神戸市
738,0000000010,計,0000000030,私立,34100,広島市
736,0000000010,計,0000000030,私立,40100,北九州市
1157,0000000010,計,0000000030,私立,40130,福岡市
15652,0000000030,女,0000000010,計,00000,計
614,0000000030,女,0000000010,計,01100,札幌市
531,0000000030,女,0000000010,計,04100,仙台市
626,0000000030,女,0000000010,計,11100,さいたま市
438,0000000030,女,0000000010,計,12100,千葉市
3951,0000000030,女,0000000010,計,13100,東京（23区）
1337,0000000030,女,0000000010,計,14100,横浜市
394,0000000030,女,0000000010,計,14130,川崎市
514,0000000030,女,0000000010,計,15100,新潟市
407,0000000030,女,0000000010,計,22100,静岡市
393,0000000030,女,0000000010,計,22130,浜松市
1025,0000000030,女,0000000010,計,23100,名古屋市
880,0000000030,女,0000000010,計,26100,京都市
1549,0000000030,女,0000000010,計,27100,大阪市
409,0000000030,女,0000000010,計,27140,堺市
730,0000000030,女,0000000010,計,28100,神戸市
582,0000000030,女,0000000010,計,34100,広島市
578,0000000030,女,0000000010,計,40100,北九州市
694,0000000030,女,0000000010,計,40130,福岡市
9439,0000000030,女,0000000020,公立,00000,計
395,0000000030,女,0000000020,公立,01100,札幌市
236,0000000030,女,0000000020,公立,04100,仙台市
432,0000000030,女,0000000020,公立,11100,さいたま市
332,0000000030,女,0000000020,公立,12100,千葉市
1878,0000000030,女,0000000020,公立,13100,東京（23区）
868,0000000030,女,0000000020,公立,14100,横浜市
281,0000000030,女,0000000020,公立,14130,川崎市
401,0000000030,女,0000000020,公立,15100,新潟市
269,0000000030,女,0000000020,公立,22100,静岡市
293,0000000030,女,0000000020,公立,22130,浜松市
619,0000000030,女,0000000020,公立,23100,名古屋市
515,0000000030,女,0000000020,公立,26100,京都市
1026,0000000030,女,0000000020,公立,27100,大阪市
331,0000000030,女,0000000020,公立,27140,堺市
433,0000000030,女,0000000020,公立,28100,神戸市
409,0000000030,女,0000000020,公立,34100,広島市
345,0000000030,女,0000000020,公立,40100,北九州市
376,0000000030,女,0000000020,公立,40130,福岡市
6112,0000000030,女,0000000030,私立,00000,計
219,0000000030,女,0000000030,私立,01100,札幌市
295,0000000030,女,0000000030,私立,04100,仙台市
194,0000000030,女,0000000030,私立,11100,さいたま市
106,0000000030,女,0000000030,私立,12100,千葉市
2022,0000000030,女,0000000030,私立,13100,東京（23区）
469,0000000030,女,0000000030,私立,14100,横浜市
113,0000000030,女,0000000030,私立,14130,川崎市
113,0000000030,女,0000000030,私立,15100,新潟市
138,0000000030,女,0000000030,私立,22100,静岡市
100,0000000030,女,0000000030,私立,22130,浜松市
398,0000000030,女,0000000030,私立,23100,名古屋市
356,0000000030,女,0000000030,私立,26100,京都市
503,0000000030,女,0000000030,私立,27100,大阪市
78,0000000030,女,0000000030,私立,27140,堺市
297,0000000030,女,0000000030,私立,28100,神戸市
160,0000000030,女,0000000030,私立,34100,広島市
233,0000000030,女,0000000030,私立,40100,北九州市
318,0000000030,女,0000000030,私立,40130,福岡市
