value,tab,tab_label,cat01,cat01_label,cat03,cat03_label,cat04,cat04_label,area,area_label,time,time_label,unit
5396,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,020,知的障害,00000,全国,2006000000,2006年,人
468,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,030,肢体不自由,00000,全国,2006000000,2006年,人
185,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
34,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,050,弱視,00000,全国,2006000000,2006年,人
127,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,060,難聴,00000,全国,2006000000,2006年,人
152,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,070,言語障害,00000,全国,2006000000,2006年,人
3854,0000000240,児童数（特別支援学級）,01000,1学年,02000,公立,080,情緒障害,00000,全国,2006000000,2006年,人
27,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,010,計,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,020,知的障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,030,肢体不自由,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,050,弱視,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,060,難聴,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,070,言語障害,00000,全国,2006000000,2006年,人
27,0000000240,児童数（特別支援学級）,01000,1学年,03000,私立,080,情緒障害,00000,全国,2006000000,2006年,人
11830,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,010,計,00000,全国,2006000000,2006年,人
6502,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,020,知的障害,00000,全国,2006000000,2006年,人
512,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,030,肢体不自由,00000,全国,2006000000,2006年,人
195,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
44,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,050,弱視,00000,全国,2006000000,2006年,人
132,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,060,難聴,00000,全国,2006000000,2006年,人
274,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,070,言語障害,00000,全国,2006000000,2006年,人
4171,0000000240,児童数（特別支援学級）,02000,2学年,00000,計,080,情緒障害,00000,全国,2006000000,2006年,人
20,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,010,計,00000,全国,2006000000,2006年,人
20,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,020,知的障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,030,肢体不自由,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,050,弱視,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,060,難聴,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,070,言語障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,01000,国立,080,情緒障害,00000,全国,2006000000,2006年,人
11782,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,010,計,00000,全国,2006000000,2006年,人
6482,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,020,知的障害,00000,全国,2006000000,2006年,人
512,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,030,肢体不自由,00000,全国,2006000000,2006年,人
195,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
44,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,050,弱視,00000,全国,2006000000,2006年,人
132,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,060,難聴,00000,全国,2006000000,2006年,人
274,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,070,言語障害,00000,全国,2006000000,2006年,人
4143,0000000240,児童数（特別支援学級）,02000,2学年,02000,公立,080,情緒障害,00000,全国,2006000000,2006年,人
28,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,010,計,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,020,知的障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,030,肢体不自由,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,050,弱視,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,060,難聴,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,070,言語障害,00000,全国,2006000000,2006年,人
28,0000000240,児童数（特別支援学級）,02000,2学年,03000,私立,080,情緒障害,00000,全国,2006000000,2006年,人
12353,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,010,計,00000,全国,2006000000,2006年,人
7033,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,020,知的障害,00000,全国,2006000000,2006年,人
518,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,030,肢体不自由,00000,全国,2006000000,2006年,人
213,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
41,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,050,弱視,00000,全国,2006000000,2006年,人
157,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,060,難聴,00000,全国,2006000000,2006年,人
218,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,070,言語障害,00000,全国,2006000000,2006年,人
4173,0000000240,児童数（特別支援学級）,03000,3学年,00000,計,080,情緒障害,00000,全国,2006000000,2006年,人
13,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,010,計,00000,全国,2006000000,2006年,人
13,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,020,知的障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,030,肢体不自由,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,040,病弱・身体虚弱,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,050,弱視,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,060,難聴,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,070,言語障害,00000,全国,2006000000,2006年,人
0,0000000240,児童数（特別支援学級）,03000,3学年,01000,国立,080,情緒障害,00000,全国,2006000000,2006年,人
