value,tab,tab_label,cat01,cat01_label,area,area_label,time,time_label
5,0000001040,学級数・生徒数・教員数,040,学級数,00200,計,2016000000,2016年
128,0000001040,学級数・生徒数・教員数,210,生徒数,00200,計,2016000000,2016年
11,0000001040,学級数・生徒数・教員数,220,教員数‐本務者,00200,計,2016000000,2016年
2,0000001040,学級数・生徒数・教員数,230,教員数‐兼務者,00200,計,2016000000,2016年
