value,tab,tab_label,area,area_label,time,time_label,unit
32793,300,受注高,00042,北海道地方,2018000505,2018年5月,百万円
43225,300,受注高,00042,北海道地方,2018000404,2018年4月,百万円
54798,300,受注高,00042,北海道地方,2018000303,2018年3月,百万円
10094,300,受注高,00042,北海道地方,2018000202,2018年2月,百万円
18941,300,受注高,00042,北海道地方,2018000101,2018年1月,百万円
33820,300,受注高,00042,北海道地方,2017001212,2017年12月,百万円
65064,300,受注高,00042,北海道地方,2017001111,2017年11月,百万円
24542,300,受注高,00042,北海道地方,2017001010,2017年10月,百万円
40017,300,受注高,00042,北海道地方,2017000909,2017年9月,百万円
32642,300,受注高,00042,北海道地方,2017000808,2017年8月,百万円
24489,300,受注高,00042,北海道地方,2017000707,2017年7月,百万円
39669,300,受注高,00042,北海道地方,2017000606,2017年6月,百万円
14910,300,受注高,00042,北海道地方,2017000505,2017年5月,百万円
24459,300,受注高,00042,北海道地方,2017000404,2017年4月,百万円
96311,300,受注高,00042,北海道地方,2017000303,2017年3月,百万円
32382,300,受注高,00042,北海道地方,2017000202,2017年2月,百万円
21997,300,受注高,00042,北海道地方,2017000101,2017年1月,百万円
43276,300,受注高,00042,北海道地方,2016001212,2016年12月,百万円
12159,300,受注高,00042,北海道地方,2016001111,2016年11月,百万円
21113,300,受注高,00042,北海道地方,2016001010,2016年10月,百万円
40965,300,受注高,00042,北海道地方,2016000909,2016年9月,百万円
26404,300,受注高,00042,北海道地方,2016000808,2016年8月,百万円
25385,300,受注高,00042,北海道地方,2016000707,2016年7月,百万円
20101,300,受注高,00042,北海道地方,2016000606,2016年6月,百万円
21239,300,受注高,00042,北海道地方,2016000505,2016年5月,百万円
22874,300,受注高,00042,北海道地方,2016000404,2016年4月,百万円
80128,300,受注高,00042,北海道地方,2016000303,2016年3月,百万円
19629,300,受注高,00042,北海道地方,2016000202,2016年2月,百万円
11901,300,受注高,00042,北海道地方,2016000101,2016年1月,百万円
44633,300,受注高,00042,北海道地方,2015001212,2015年12月,百万円
23862,300,受注高,00042,北海道地方,2015001111,2015年11月,百万円
30306,300,受注高,00042,北海道地方,2015001010,2015年10月,百万円
29110,300,受注高,00042,北海道地方,2015000909,2015年9月,百万円
30406,300,受注高,00042,北海道地方,2015000808,2015年8月,百万円
22192,300,受注高,00042,北海道地方,2015000707,2015年7月,百万円
25256,300,受注高,00042,北海道地方,2015000606,2015年6月,百万円
21901,300,受注高,00042,北海道地方,2015000505,2015年5月,百万円
39983,300,受注高,00042,北海道地方,2015000404,2015年4月,百万円
53403,300,受注高,00042,北海道地方,2015000303,2015年3月,百万円
26884,300,受注高,00042,北海道地方,2015000202,2015年2月,百万円
59800,300,受注高,00042,北海道地方,2015000101,2015年1月,百万円
37129,300,受注高,00042,北海道地方,2014001212,2014年12月,百万円
21194,300,受注高,00042,北海道地方,2014001111,2014年11月,百万円
34603,300,受注高,00042,北海道地方,2014001010,2014年10月,百万円
25540,300,受注高,00042,北海道地方,2014000909,2014年9月,百万円
28147,300,受注高,00042,北海道地方,2014000808,2014年8月,百万円
29224,300,受注高,00042,北海道地方,2014000707,2014年7月,百万円
27630,300,受注高,00042,北海道地方,2014000606,2014年6月,百万円
23400,300,受注高,00042,北海道地方,2014000505,2014年5月,百万円
46198,300,受注高,00042,北海道地方,2014000404,2014年4月,百万円
62108,300,受注高,00042,北海道地方,2014000303,2014年3月,百万円
18412,300,受注高,00042,北海道地方,2014000202,2014年2月,百万円
18723,300,受注高,00042,北海道地方,2014000101,2014年1月,百万円
17132,300,受注高,00042,北海道地方,2013001212,2013年12月,百万円
18584,300,受注高,00042,北海道地方,2013001111,2013年11月,百万円
20993,300,受注高,00042,北海道地方,2013001010,2013年10月,百万円
70848,300,受注高,00042,北海道地方,2013000909,2013年9月,百万円
35445,300,受注高,00042,北海道地方,2013000808,2013年8月,百万円
23823,300,受注高,00042,北海道地方,2013000707,2013年7月,百万円
27744,300,受注高,00042,北海道地方,2013000606,2013年6月,百万円
17275,300,受注高,00042,北海道地方,2013000505,2013年5月,百万円
38735,300,受注高,00042,北海道地方,2013000404,2013年4月,百万円
65414,300,受注高,00042,北海道地方,2013000303,2013年3月,百万円
18382,300,受注高,00042,北海道地方,2013000202,2013年2月,百万円
14517,300,受注高,00042,北海道地方,2013000101,2013年1月,百万円
22182,300,受注高,00042,北海道地方,2012001212,2012年12月,百万円
18276,300,受注高,00042,北海道地方,2012001111,2012年11月,百万円
19587,300,受注高,00042,北海道地方,2012001010,2012年10月,百万円
20000,300,受注高,00042,北海道地方,2012000909,2012年9月,百万円
41357,300,受注高,00042,北海道地方,2012000808,2012年8月,百万円
37612,300,受注高,00042,北海道地方,2012000707,2012年7月,百万円
16549,300,受注高,00042,北海道地方,2012000606,2012年6月,百万円
18143,300,受注高,00042,北海道地方,2012000505,2012年5月,百万円
36680,300,受注高,00042,北海道地方,2012000404,2012年4月,百万円
58239,300,受注高,00042,北海道地方,2012000303,2012年3月,百万円
20635,300,受注高,00042,北海道地方,2012000202,2012年2月,百万円
15996,300,受注高,00042,北海道地方,2012000101,2012年1月,百万円
17887,300,受注高,00042,北海道地方,2011001212,2011年12月,百万円
27719,300,受注高,00042,北海道地方,2011001111,2011年11月,百万円
16428,300,受注高,00042,北海道地方,2011001010,2011年10月,百万円
21032,300,受注高,00042,北海道地方,2011000909,2011年9月,百万円
12844,300,受注高,00042,北海道地方,2011000808,2011年8月,百万円
17648,300,受注高,00042,北海道地方,2011000707,2011年7月,百万円
