value,tab,tab_label,cat01,cat01_label,cat02,cat02_label,cat03,cat03_label,cat04,cat04_label,time,time_label,unit
2840882,300,受注高,100,計,100,計,100,計,290,19 塗装工事業,2023100000,2023年度,百万円
1459557,300,受注高,100,計,100,計,100,計,290,19 塗装工事業,2022100000,2022年度,百万円
806957,300,受注高,100,計,100,計,100,計,290,19 塗装工事業,2021100000,2021年度,百万円
138173,300,受注高,100,計,100,計,100,計,300,20 ガラス工事業,2023100000,2023年度,百万円
897876,300,受注高,100,計,100,計,100,計,300,20 ガラス工事業,2022100000,2022年度,百万円
98133,300,受注高,100,計,100,計,100,計,300,20 ガラス工事業,2021100000,2021年度,百万円
1858909,300,受注高,100,計,100,計,100,計,310,21 建具工事業,2023100000,2023年度,百万円
1492510,300,受注高,100,計,100,計,100,計,310,21 建具工事業,2022100000,2022年度,百万円
1539315,300,受注高,100,計,100,計,100,計,310,21 建具工事業,2021100000,2021年度,百万円
653987,300,受注高,100,計,100,計,100,計,320,22 防水工事業,2023100000,2023年度,百万円
499565,300,受注高,100,計,100,計,100,計,320,22 防水工事業,2022100000,2022年度,百万円
364341,300,受注高,100,計,100,計,100,計,320,22 防水工事業,2021100000,2021年度,百万円
2445963,300,受注高,100,計,100,計,100,計,330,23 内装工事業,2023100000,2023年度,百万円
4123077,300,受注高,100,計,100,計,100,計,330,23 内装工事業,2022100000,2022年度,百万円
3643839,300,受注高,100,計,100,計,100,計,330,23 内装工事業,2021100000,2021年度,百万円
428616,300,受注高,100,計,100,計,100,計,340,24 はつり・解体工事業,2023100000,2023年度,百万円
390119,300,受注高,100,計,100,計,100,計,340,24 はつり・解体工事業,2022100000,2022年度,百万円
762182,300,受注高,100,計,100,計,100,計,340,24 はつり・解体工事業,2021100000,2021年度,百万円
8744826,300,受注高,100,計,100,計,100,計,350,25 電気工事業,2023100000,2023年度,百万円
9933201,300,受注高,100,計,100,計,100,計,350,25 電気工事業,2022100000,2022年度,百万円
9532869,300,受注高,100,計,100,計,100,計,350,25 電気工事業,2021100000,2021年度,百万円
2233331,300,受注高,100,計,100,計,100,計,360,26 電気通信工事業,2023100000,2023年度,百万円
1827430,300,受注高,100,計,100,計,100,計,360,26 電気通信工事業,2022100000,2022年度,百万円
2433661,300,受注高,100,計,100,計,100,計,360,26 電気通信工事業,2021100000,2021年度,百万円
9355753,300,受注高,100,計,100,計,100,計,370,27 管工事業,2023100000,2023年度,百万円
8480140,300,受注高,100,計,100,計,100,計,370,27 管工事業,2022100000,2022年度,百万円
7076919,300,受注高,100,計,100,計,100,計,370,27 管工事業,2021100000,2021年度,百万円
60212,300,受注高,100,計,100,計,100,計,380,28 さく井工事業,2023100000,2023年度,百万円
78049,300,受注高,100,計,100,計,100,計,380,28 さく井工事業,2022100000,2022年度,百万円
97287,300,受注高,100,計,100,計,100,計,380,28 さく井工事業,2021100000,2021年度,百万円
361469,300,受注高,100,計,100,計,100,計,390,29 熱絶縁工事業,2023100000,2023年度,百万円
397251,300,受注高,100,計,100,計,100,計,390,29 熱絶縁工事業,2022100000,2022年度,百万円
708165,300,受注高,100,計,100,計,100,計,390,29 熱絶縁工事業,2021100000,2021年度,百万円
6520275,300,受注高,100,計,100,計,100,計,400,30 機械器具設置工事業,2023100000,2023年度,百万円
6476090,300,受注高,100,計,100,計,100,計,400,30 機械器具設置工事業,2022100000,2022年度,百万円
6085670,300,受注高,100,計,100,計,100,計,400,30 機械器具設置工事業,2021100000,2021年度,百万円
899520,300,受注高,100,計,100,計,100,計,410,31 消防施設工事業,2023100000,2023年度,百万円
246394,300,受注高,100,計,100,計,100,計,410,31 消防施設工事業,2022100000,2022年度,百万円
260467,300,受注高,100,計,100,計,100,計,410,31 消防施設工事業,2021100000,2021年度,百万円
466525,300,受注高,100,計,100,計,100,計,420,32 その他の設備工事業,2023100000,2023年度,百万円
680956,300,受注高,100,計,100,計,100,計,420,32 その他の設備工事業,2022100000,2022年度,百万円
790638,300,受注高,100,計,100,計,100,計,420,32 その他の設備工事業,2021100000,2021年度,百万円
63212963,300,受注高,100,計,100,計,100,計,430,33 総合工事業（再掲）(01～08),2023100000,2023年度,百万円
70116266,300,受注高,100,計,100,計,100,計,430,33 総合工事業（再掲）(01～08),2022100000,2022年度,百万円
64128978,300,受注高,100,計,100,計,100,計,430,33 総合工事業（再掲）(01～08),2021100000,2021年度,百万円
16759223,300,受注高,100,計,100,計,100,計,440,34 職別工事業（再掲）(09～24),2023100000,2023年度,百万円
18341561,300,受注高,100,計,100,計,100,計,440,34 職別工事業（再掲）(09～24),2022100000,2022年度,百万円
15879358,300,受注高,100,計,100,計,100,計,440,34 職別工事業（再掲）(09～24),2021100000,2021年度,百万円
28641910,300,受注高,100,計,100,計,100,計,450,35 設備工事業（再掲）(25～32),2023100000,2023年度,百万円
28119511,300,受注高,100,計,100,計,100,計,450,35 設備工事業（再掲）(25～32),2022100000,2022年度,百万円
26985675,300,受注高,100,計,100,計,100,計,450,35 設備工事業（再掲）(25～32),2021100000,2021年度,百万円
3613067,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",100,計,2023100000,2023年度,百万円
2000503,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",100,計,2022100000,2022年度,百万円
1934180,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",100,計,2021100000,2021年度,百万円
34426,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",110,01 一般土木建築工事業,2023100000,2023年度,百万円
47067,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",110,01 一般土木建築工事業,2022100000,2022年度,百万円
46480,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",110,01 一般土木建築工事業,2021100000,2021年度,百万円
329819,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",120,02 土木工事業,2023100000,2023年度,百万円
384066,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",120,02 土木工事業,2022100000,2022年度,百万円
303930,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",120,02 土木工事業,2021100000,2021年度,百万円
16671,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",130,03 造園工事業,2023100000,2023年度,百万円
11598,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",130,03 造園工事業,2022100000,2022年度,百万円
39639,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",130,03 造園工事業,2021100000,2021年度,百万円
17818,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",140,04 水道施設工事業,2023100000,2023年度,百万円
15361,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",140,04 水道施設工事業,2022100000,2022年度,百万円
11775,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",140,04 水道施設工事業,2021100000,2021年度,百万円
56028,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",150,05 舗装工事業,2023100000,2023年度,百万円
26402,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",150,05 舗装工事業,2022100000,2022年度,百万円
35027,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",150,05 舗装工事業,2021100000,2021年度,百万円
4836,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",160,06 しゅんせつ工事業,2023100000,2023年度,百万円
10456,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",160,06 しゅんせつ工事業,2022100000,2022年度,百万円
6214,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",160,06 しゅんせつ工事業,2021100000,2021年度,百万円
378027,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",170,07 建築工事業,2023100000,2023年度,百万円
462412,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",170,07 建築工事業,2022100000,2022年度,百万円
290651,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",170,07 建築工事業,2021100000,2021年度,百万円
53117,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",180,08 木造建築工事業,2023100000,2023年度,百万円
72788,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",180,08 木造建築工事業,2022100000,2022年度,百万円
56678,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",180,08 木造建築工事業,2021100000,2021年度,百万円
24401,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",190,09 大工工事業,2023100000,2023年度,百万円
17978,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",190,09 大工工事業,2022100000,2022年度,百万円
79393,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",190,09 大工工事業,2021100000,2021年度,百万円
130440,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",200,10 とび・土工・コンクリート工事業,2023100000,2023年度,百万円
112716,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",200,10 とび・土工・コンクリート工事業,2022100000,2022年度,百万円
144176,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",200,10 とび・土工・コンクリート工事業,2021100000,2021年度,百万円
52275,300,受注高,100,計,100,計,110,"01 ～1,000万円未満",210,11 鉄骨工事業,2023100000,2023年度,百万円
