value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
ＮＯ,010111000,010111000,110,単位2,50103,103_大韓民国,1993000000,1993年
ＮＯ,010111000,010111000,110,単位2,50205,205_英国,1994000000,1994年
ＮＯ,010111000,010111000,110,単位2,50205,205_英国,1991000000,1991年
ＮＯ,010111000,010111000,110,単位2,50304,304_アメリカ合衆国,1995000000,1995年
ＮＯ,010111000,010111000,110,単位2,50304,304_アメリカ合衆国,1994000000,1994年
ＮＯ,010111000,010111000,110,単位2,50304,304_アメリカ合衆国,1993000000,1993年
ＮＯ,010111000,010111000,110,単位2,50304,304_アメリカ合衆国,1992000000,1992年
0,010111000,010111000,120,合計_数量1,50103,103_大韓民国,1993000000,1993年
0,010111000,010111000,120,合計_数量1,50205,205_英国,1994000000,1994年
0,010111000,010111000,120,合計_数量1,50205,205_英国,1991000000,1991年
0,010111000,010111000,120,合計_数量1,50304,304_アメリカ合衆国,1995000000,1995年
0,010111000,010111000,120,合計_数量1,50304,304_アメリカ合衆国,1994000000,1994年
0,010111000,010111000,120,合計_数量1,50304,304_アメリカ合衆国,1993000000,1993年
0,010111000,010111000,120,合計_数量1,50304,304_アメリカ合衆国,1992000000,1992年
7,010111000,010111000,130,合計_数量2,50103,103_大韓民国,1993000000,1993年
2,010111000,010111000,130,合計_数量2,50205,205_英国,1994000000,1994年
3,010111000,010111000,130,合計_数量2,50205,205_英国,1991000000,1991年
1,010111000,010111000,130,合計_数量2,50304,304_アメリカ合衆国,1995000000,1995年
6,010111000,010111000,130,合計_数量2,50304,304_アメリカ合衆国,1994000000,1994年
2,010111000,010111000,130,合計_数量2,50304,304_アメリカ合衆国,1993000000,1993年
5,010111000,010111000,130,合計_数量2,50304,304_アメリカ合衆国,1992000000,1992年
