value,cat01,cat01_label,cat02,cat02_label,area,area_label,time,time_label
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2010000000,2010年
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2008000000,2008年
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2007000000,2007年
ＮＯ,010110000,010110000,110,単位2,50103,103_大韓民国,2006000000,2006年
ＮＯ,010110000,010110000,110,単位2,50105,105_中華人民共和国,2010000000,2010年
ＮＯ,010110000,010110000,110,単位2,50205,205_英国,2009000000,2009年
ＮＯ,010110000,010110000,110,単位2,50205,205_英国,2008000000,2008年
ＮＯ,010110000,010110000,110,単位2,50206,206_アイルランド,2006000000,2006年
ＮＯ,010110000,010110000,110,単位2,50207,207_オランダ,2010000000,2010年
ＮＯ,010110000,010110000,110,単位2,50207,207_オランダ,2008000000,2008年
ＮＯ,010110000,010110000,110,単位2,50207,207_オランダ,2007000000,2007年
ＮＯ,010110000,010110000,110,単位2,50210,210_フランス,2010000000,2010年
ＮＯ,010110000,010110000,110,単位2,50210,210_フランス,2009000000,2009年
ＮＯ,010110000,010110000,110,単位2,50210,210_フランス,2008000000,2008年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2010000000,2010年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2008000000,2008年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2007000000,2007年
ＮＯ,010110000,010110000,110,単位2,50304,304_アメリカ合衆国,2006000000,2006年
ＮＯ,010110000,010110000,110,単位2,50601,601_オーストラリア,2007000000,2007年
ＮＯ,010110000,010110000,110,単位2,50601,601_オーストラリア,2006000000,2006年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2010000000,2010年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2008000000,2008年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2007000000,2007年
0,010110000,010110000,120,合計_数量1,50103,103_大韓民国,2006000000,2006年
0,010110000,010110000,120,合計_数量1,50105,105_中華人民共和国,2010000000,2010年
0,010110000,010110000,120,合計_数量1,50205,205_英国,2009000000,2009年
0,010110000,010110000,120,合計_数量1,50205,205_英国,2008000000,2008年
0,010110000,010110000,120,合計_数量1,50206,206_アイルランド,2006000000,2006年
0,010110000,010110000,120,合計_数量1,50207,207_オランダ,2010000000,2010年
0,010110000,010110000,120,合計_数量1,50207,207_オランダ,2008000000,2008年
0,010110000,010110000,120,合計_数量1,50207,207_オランダ,2007000000,2007年
0,010110000,010110000,120,合計_数量1,50210,210_フランス,2010000000,2010年
0,010110000,010110000,120,合計_数量1,50210,210_フランス,2009000000,2009年
0,010110000,010110000,120,合計_数量1,50210,210_フランス,2008000000,2008年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2010000000,2010年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2008000000,2008年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2007000000,2007年
0,010110000,010110000,120,合計_数量1,50304,304_アメリカ合衆国,2006000000,2006年
0,010110000,010110000,120,合計_数量1,50601,601_オーストラリア,2007000000,2007年
0,010110000,010110000,120,合計_数量1,50601,601_オーストラリア,2006000000,2006年
5,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2010000000,2010年
9,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2008000000,2008年
16,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2007000000,2007年
24,010110000,010110000,130,合計_数量2,50103,103_大韓民国,2006000000,2006年
81,010110000,010110000,130,合計_数量2,50105,105_中華人民共和国,2010000000,2010年
1,010110000,010110000,130,合計_数量2,50205,205_英国,2009000000,2009年
1,010110000,010110000,130,合計_数量2,50205,205_英国,2008000000,2008年
1,010110000,010110000,130,合計_数量2,50206,206_アイルランド,2006000000,2006年
1,010110000,010110000,130,合計_数量2,50207,207_オランダ,2010000000,2010年
7,010110000,010110000,130,合計_数量2,50207,207_オランダ,2008000000,2008年
1,010110000,010110000,130,合計_数量2,50207,207_オランダ,2007000000,2007年
2,010110000,010110000,130,合計_数量2,50210,210_フランス,2010000000,2010年
1,010110000,010110000,130,合計_数量2,50210,210_フランス,2009000000,2009年
2,010110000,010110000,130,合計_数量2,50210,210_フランス,2008000000,2008年
2,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2010000000,2010年
6,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2008000000,2008年
8,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2007000000,2007年
3,010110000,010110000,130,合計_数量2,50304,304_アメリカ合衆国,2006000000,2006年
3,010110000,010110000,130,合計_数量2,50601,601_オーストラリア,2007000000,2007年
12,010110000,010110000,130,合計_数量2,50601,601_オーストラリア,2006000000,2006年
